ablaze	alight [0.88] aflame [0.71] jasdev [0.66] afire [0.64] battlemented [0.63] kytv [0.62] gazebos [0.62] choker [0.60] firework [0.60] gamin [0.58] 
arrive	depart [0.81] gather [0.78] retire [0.77] perform [0.76] begin [0.75] expire [0.74] dine [0.73] leave [0.72] stay [0.72] reopen [0.72] 
carlos	ryan [0.89] andre [0.89] miguel [0.89] garcia [0.88] juan [0.88] fernando [0.88] sergio [0.88] jason [0.88] torres [0.87] aaron [0.87] 
casualties	deaths [0.78] fatalities [0.77] incidents [0.73] civilians [0.72] killings [0.71] suicides [0.71] arrests [0.70] insurgents [0.68] threats [0.68] attacks [0.68] 
expense	height [0.68] risk [0.67] disadvantage [0.66] arcseconds [0.66] valuation [0.66] forefront [0.65] backlog [0.64] behest [0.64] value [0.64] income [0.64] 
fishing	boats [0.76] trucks [0.73] salmon [0.71] timber [0.71] beaches [0.71] cargo [0.70] sand [0.70] tuna [0.70] taxis [0.69] boat [0.68] 
rocket	missiles [0.82] launchers [0.81] drone [0.80] artillery [0.78] submarine [0.77] ballistic [0.77] rockets [0.77] grenade [0.76] aircraft [0.76] bomb [0.76] 
suffer	recover [0.78] emerge [0.76] deter [0.75] arise [0.74] occur [0.73] differ [0.72] survive [0.71] benefit [0.71] disappear [0.70] die [0.70] 
sugar	milk [0.87] fruit [0.84] corn [0.83] fat [0.83] meat [0.83] vegetables [0.82] butter [0.81] pork [0.81] chocolate [0.80] juice [0.80] 
volume	volumes [0.81] inventory [0.76] revenue [0.73] frequency [0.72] revenues [0.71] margins [0.70] segment [0.70] availability [0.69] value [0.69] output [0.69] 
anywhere	somewhere [0.73] nowhere [0.64] anybody [0.55] anything [0.55] everything [0.53] everybody [0.52] somebody [0.51] anyplace [0.51] everyone [0.49] nowt [0.49] 
birthday	wedding [0.69] anniversary [0.66] happymeal [0.63] homecoming [0.62] sermon [0.60] percentile [0.60] appearance [0.58] arrondissement [0.58] celebrated [0.58] maiden [0.57] 
brazilian	argentine [0.83] belgian [0.78] italian [0.76] chilean [0.75] hungarian [0.73] portuguese [0.72] sergio [0.72] norwegian [0.71] fernando [0.71] croatian [0.70] 
burned	burnt [0.84] flattened [0.81] dumped [0.81] flooded [0.81] destroyed [0.79] planted [0.78] damaged [0.76] ripped [0.75] smashed [0.74] drowned [0.74] 
category	mode [0.71] segment [0.67] marketplace [0.66] factor [0.65] format [0.64] trend [0.63] context [0.63] categories [0.63] genre [0.61] ingredient [0.61] 
gathering	demonstration [0.67] summit [0.64] briefing [0.63] forum [0.62] meeting [0.59] seminar [0.59] forefront [0.59] prayers [0.58] prayer [0.58] funerals [0.57] 
invest	participate [0.79] rein [0.77] engage [0.74] raise [0.73] addition [0.72] contribute [0.72] acquire [0.72] expand [0.72] intervene [0.72] grow [0.71] 
overhaul	reform [0.79] outline [0.71] initiative [0.71] repeal [0.70] legislation [0.69] mandate [0.69] reforms [0.68] expansion [0.68] measure [0.65] implementation [0.65] 
stick	rub [0.81] bow [0.80] try [0.80] catch [0.78] sing [0.78] fill [0.77] go [0.77] relax [0.77] compare [0.77] switch [0.77] 
stuck	fitted [0.74] jammed [0.71] sleeping [0.69] sitting [0.69] staying [0.68] caught [0.68] sprayed [0.68] planted [0.67] sync [0.67] locked [0.66] 
uncertainty	confusion [0.81] optimism [0.81] worries [0.75] gloom [0.75] concerns [0.74] pessimism [0.74] turmoil [0.73] controversy [0.73] anxieties [0.72] speculation [0.72] 
birmingham	cardiff [0.93] bristol [0.91] swansea [0.90] aberdeen [0.90] glasgow [0.90] nottingham [0.89] southampton [0.89] leicester [0.87] coventry [0.87] leeds [0.87] 
campus	campuses [0.77] boulevard [0.72] mall [0.72] premises [0.68] terrace [0.68] interstate [0.68] beach [0.67] waterfront [0.66] lawn [0.66] hilltop [0.66] 
comfortable	relaxed [0.76] straightforward [0.69] happy [0.69] uncomfortable [0.68] realistic [0.68] decorated [0.67] convincing [0.66] pleasant [0.66] dissatisfied [0.66] satisfying [0.66] 
conversation	conversations [0.84] discussion [0.71] relationship [0.71] discussions [0.71] encounters [0.71] confrontation [0.70] encounter [0.70] affair [0.70] interaction [0.69] feud [0.68] 
finds	reveals [0.72] thinks [0.72] feels [0.70] acknowledges [0.69] explains [0.69] knows [0.68] loves [0.68] keeps [0.68] explained [0.68] adds [0.67] 
foster	hospice [0.72] palliative [0.66] nurse [0.66] physician [0.65] claire [0.64] kathleen [0.62] duncan [0.62] linda [0.62] danny [0.62] jane [0.61] 
announced	unveiled [0.77] announces [0.72] declared [0.70] confirmed [0.69] announcing [0.67] revealed [0.65] warned [0.63] launched [0.63] approved [0.61] suggested [0.61] 
great	good [0.71] wonderful [0.67] fantastic [0.64] brilliant [0.62] perfect [0.60] tremendous [0.59] greatest [0.59] unique [0.59] genuine [0.58] glorious [0.58] 
research	study [0.68] studies [0.66] scientific [0.62] analysis [0.62] consultancy [0.61] laboratories [0.60] science [0.59] genetics [0.59] institute [0.59] economics [0.58] 
final	finals [0.77] fourth [0.73] sixth [0.71] second [0.69] seventh [0.69] fifth [0.69] opening [0.68] semifinals [0.67] ninth [0.66] eighth [0.66] 
march	june [0.96] april [0.96] july [0.95] february [0.92] december [0.91] october [0.91] november [0.91] january [0.91] september [0.90] august [0.90] 
given	offered [0.72] shown [0.62] giving [0.58] provided [0.58] taken [0.55] put [0.54] granted [0.54] afforded [0.54] meant [0.54] delivered [0.53] 
prices	inventories [0.83] price [0.79] inflation [0.77] stocks [0.77] yields [0.75] demand [0.72] foreclosures [0.71] exports [0.70] rates [0.69] sharply [0.69] 
become	come [0.57] prove [0.55] find [0.54] becoming [0.54] endure [0.54] make [0.53] be [0.53] survive [0.53] grown [0.52] been [0.51] 
taken	taking [0.69] drawn [0.66] flown [0.65] thrown [0.64] gone [0.61] shown [0.60] redeployed [0.58] switched [0.57] withdrawn [0.57] chosen [0.57] 
making	made [0.77] make [0.69] giving [0.55] putting [0.55] makes [0.54] delivering [0.53] bringing [0.48] keeping [0.47] offering [0.46] setting [0.45] 
industry	sector [0.75] industries [0.71] global [0.65] market [0.65] business [0.64] companies [0.64] consumer [0.64] marketplace [0.62] manufacturing [0.62] automotive [0.61] 
across	around [0.73] throughout [0.72] along [0.65] through [0.57] outside [0.57] inside [0.52] onto [0.51] surrounding [0.50] coastal [0.49] beneath [0.46] 
capital	investment [0.61] equity [0.59] funds [0.57] investments [0.55] bank [0.55] dubai [0.55] region [0.55] currency [0.55] province [0.54] liquidity [0.54] 
death	disappearance [0.74] stabbing [0.73] murder [0.70] slaying [0.66] abduction [0.65] rape [0.64] deaths [0.64] murders [0.64] birth [0.63] victim [0.63] 
start	begin [0.78] end [0.73] finish [0.71] return [0.70] catch [0.67] break [0.67] resume [0.65] stop [0.65] stick [0.64] lift [0.64] 
global	broader [0.68] emerging [0.66] industry [0.65] economic [0.65] innovation [0.62] manufacturing [0.61] rapid [0.61] technological [0.61] growth [0.61] climate [0.61] 
sales	revenues [0.82] revenue [0.76] profits [0.76] inventories [0.73] production [0.73] volumes [0.72] earnings [0.72] pc [0.70] prices [0.69] profit [0.69] 
likely	unlikely [0.76] expected [0.75] poised [0.68] projected [0.65] supposed [0.64] willing [0.64] reluctant [0.64] inclined [0.61] determined [0.61] expecting [0.60] 
quarter	period [0.76] earnings [0.68] half [0.67] profit [0.66] decline [0.66] profits [0.66] net [0.66] loss [0.65] gdp [0.65] revenues [0.64] 
earlier	later [0.75] ago [0.69] last [0.67] previous [0.64] following [0.53] after [0.53] yesterday [0.50] prior [0.50] preceding [0.46] recently [0.45] 
department	bureau [0.73] ministry [0.73] dept [0.64] agency [0.63] secretary [0.60] epa [0.60] authority [0.57] contractor [0.57] pentagon [0.56] faa [0.56] 
university	college [0.77] harvard [0.73] cambridge [0.73] uc [0.71] yale [0.70] institute [0.70] johns [0.70] berkeley [0.69] oxford [0.69] hopkins [0.69] 
general	gen [0.52] tata [0.50] gonzlez [0.47] genral [0.47] parliamentary [0.46] tamo [0.45] deputy [0.45] arocho [0.44] napolitano [0.43] conovitz [0.43] 
economy	recession [0.82] economic [0.72] downturn [0.71] recovery [0.70] crisis [0.69] trend [0.69] inflation [0.69] slowdown [0.68] sector [0.68] market [0.67] 
better	worse [0.71] harder [0.67] cheaper [0.67] stronger [0.67] bigger [0.66] quicker [0.63] easier [0.63] less [0.63] richer [0.63] safer [0.62] 
added	explained [0.72] admits [0.71] adds [0.70] replied [0.70] acknowledged [0.69] believes [0.69] says [0.69] noted [0.68] insists [0.68] said [0.67] 
though	although [0.75] but [0.69] however [0.69] if [0.64] because [0.55] kune [0.50] nor [0.49] convinced [0.46] confident [0.46] indeed [0.46] 
services	service [0.74] facilities [0.73] solutions [0.70] providers [0.70] systems [0.69] communications [0.69] applications [0.69] programs [0.68] resources [0.67] industries [0.67] 
killed	wounded [0.85] kidnapped [0.76] killing [0.76] captured [0.75] attacked [0.75] injured [0.74] murdered [0.73] arrested [0.73] detained [0.73] ambushed [0.71] 
power	electricity [0.70] capacity [0.64] control [0.63] gas [0.61] fuel [0.61] energy [0.60] coal [0.59] arsenals [0.59] weapons [0.57] land [0.56] 
change	changes [0.73] shift [0.71] changing [0.60] present [0.59] progress [0.57] modelers [0.57] reform [0.56] challenge [0.56] move [0.56] reverse [0.55] 
recent	previous [0.62] formative [0.56] subsequent [0.56] intervening [0.54] past [0.53] latest [0.49] several [0.48] preceding [0.47] coming [0.47] dramatic [0.46] 
major	key [0.66] leading [0.58] significant [0.58] biggest [0.56] big [0.55] regional [0.55] potential [0.52] main [0.52] emerging [0.51] global [0.50] 
members	representatives [0.75] member [0.74] directors [0.70] governors [0.70] staffers [0.67] leaders [0.67] commissioners [0.66] supervisors [0.65] employees [0.65] chairmen [0.64] 
campaign	campaigns [0.68] fundraising [0.64] speech [0.58] candidacy [0.58] nomination [0.58] campaigning [0.56] ad [0.56] mccain [0.55] presidency [0.55] strategy [0.55] 
white	black [0.62] blue [0.59] red [0.59] clothe [0.58] spokesmule [0.57] peas [0.56] bunny [0.56] doobu [0.56] mengs [0.55] woodlea [0.55] 
local	wildlife [0.60] municipal [0.57] chinese [0.55] livestock [0.55] rural [0.55] dahad [0.55] departments [0.55] various [0.55] churches [0.54] communities [0.54] 
saturday	sunday [0.96] friday [0.90] wednesday [0.89] tuesday [0.89] monday [0.89] thursday [0.89] jan [0.73] nov [0.73] oct [0.72] feb [0.71] 
information	documentation [0.68] details [0.68] data [0.68] feedback [0.66] advice [0.66] guidance [0.65] material [0.63] updates [0.63] tips [0.62] documents [0.62] 
service	services [0.74] network [0.63] unit [0.60] maintenance [0.56] facilities [0.55] equipment [0.55] airline [0.55] logistics [0.54] communications [0.53] transport [0.53] 
never	nobody [0.61] always [0.61] rarely [0.60] finally [0.59] ever [0.59] actually [0.59] nothing [0.57] hardly [0.57] barely [0.55] not [0.55] 
every	each [0.78] another [0.57] this [0.52] typical [0.50] whole [0.49] full [0.49] single [0.48] one [0.47] any [0.47] next [0.46] 
british	french [0.74] german [0.71] canadian [0.69] swedish [0.68] dutch [0.68] italian [0.65] japanese [0.64] indian [0.62] scottish [0.62] australian [0.61] 
companies	firms [0.91] corporations [0.80] manufacturers [0.79] businesses [0.79] banks [0.76] lenders [0.76] suppliers [0.76] automakers [0.75] retailers [0.74] industries [0.73] 
little	nothing [0.68] something [0.64] much [0.60] good [0.59] everything [0.59] bit [0.58] anything [0.58] no [0.57] everybody [0.55] someone [0.55] 
federal	regulators [0.59] enforcement [0.58] grants [0.58] oversight [0.58] bankruptcy [0.57] municipal [0.57] subsidies [0.57] irs [0.56] funding [0.56] epa [0.56] 
women	adults [0.83] men [0.80] girls [0.79] mothers [0.78] teenagers [0.78] females [0.76] males [0.75] babies [0.74] youngsters [0.74] infants [0.73] 
already	also [0.58] still [0.55] now [0.52] currently [0.50] largely [0.50] that [0.46] steadily [0.45] historically [0.42] traditionally [0.42] rjk [0.42] 
system	systems [0.71] structure [0.66] process [0.64] mechanism [0.64] scheme [0.60] device [0.59] platform [0.59] measure [0.58] program [0.58] solution [0.58] 
third	fourth [0.91] fifth [0.89] second [0.85] sixth [0.83] seventh [0.79] eighth [0.77] ninth [0.73] finals [0.66] first [0.65] final [0.65] 
