ablaze	alight [0.88] aflame [0.70] afire [0.68] ditko [0.64] patterned [0.56] torches [0.56] haphazardly [0.56] breezeblock [0.55] filet [0.55] bungee [0.55] 
arrive	depart [0.83] gather [0.79] begin [0.77] perform [0.77] retire [0.76] dine [0.74] leave [0.73] expire [0.72] stay [0.71] resume [0.70] 
carlos	fernando [0.90] andre [0.90] ryan [0.90] luis [0.89] miguel [0.89] aaron [0.89] juan [0.88] alonso [0.88] garcia [0.88] jason [0.88] 
casualties	deaths [0.78] civilians [0.77] fatalities [0.76] killings [0.75] incidents [0.74] arrests [0.72] insurgents [0.72] suicides [0.71] soldiers [0.71] attacks [0.71] 
expense	disadvantage [0.69] height [0.68] forefront [0.67] risk [0.67] behest [0.65] value [0.65] valuation [0.64] ratio [0.64] backlog [0.63] income [0.63] 
fishing	boats [0.79] container [0.74] cargo [0.73] beaches [0.72] trucks [0.72] ocean [0.72] taxis [0.72] tuna [0.72] sand [0.72] boat [0.71] 
rocket	missiles [0.82] bomb [0.79] launchers [0.79] drone [0.79] submarine [0.78] artillery [0.78] rockets [0.77] grenade [0.76] ballistic [0.76] aircraft [0.76] 
suffer	recover [0.77] arise [0.75] emerge [0.74] occur [0.74] differ [0.72] survive [0.72] vary [0.72] benefit [0.71] deter [0.70] worsen [0.70] 
sugar	milk [0.87] fruit [0.86] fat [0.84] meat [0.84] vegetables [0.82] corn [0.82] butter [0.81] juice [0.81] cane [0.81] pork [0.81] 
volume	volumes [0.82] inventory [0.77] segment [0.73] value [0.73] revenue [0.73] margins [0.72] frequency [0.71] revenues [0.71] output [0.71] valuation [0.71] 
anywhere	somewhere [0.73] nowhere [0.62] anyplace [0.60] anything [0.57] everything [0.55] anybody [0.55] everybody [0.51] everyone [0.50] somebody [0.50] anyone [0.49] 
birthday	wedding [0.68] anniversary [0.66] percentile [0.60] birthdays [0.60] homecoming [0.59] celebrated [0.59] appearance [0.59] tropez [0.59] prom [0.58] mirren [0.58] 
brazilian	argentine [0.83] belgian [0.77] italian [0.76] sergio [0.75] portuguese [0.74] fernando [0.73] norwegian [0.73] playmaker [0.72] roberto [0.72] valencia [0.72] 
burned	burnt [0.83] flattened [0.82] dumped [0.82] destroyed [0.81] planted [0.80] flooded [0.80] damaged [0.77] burning [0.76] smashed [0.76] parked [0.75] 
category	mode [0.69] segment [0.67] marketplace [0.67] factor [0.65] format [0.63] trend [0.62] ingredient [0.62] cycle [0.62] categories [0.61] atmosphere [0.60] 
gathering	demonstration [0.68] forum [0.65] briefing [0.65] prayer [0.62] summit [0.61] prayers [0.61] forefront [0.59] meeting [0.58] staging [0.58] conference [0.58] 
invest	participate [0.80] rein [0.78] expand [0.74] engage [0.74] addition [0.73] grow [0.72] contribute [0.72] raise [0.72] acquire [0.72] operate [0.72] 
overhaul	reform [0.79] outline [0.72] initiative [0.71] repeal [0.71] legislation [0.70] reforms [0.68] mandate [0.68] revision [0.67] austerity [0.66] provision [0.66] 
stick	rub [0.83] try [0.81] proceed [0.78] relax [0.78] fill [0.78] bow [0.78] communicate [0.77] go [0.77] catch [0.77] sing [0.77] 
stuck	fitted [0.73] jammed [0.71] sitting [0.71] sleeping [0.70] staying [0.68] caught [0.68] planted [0.68] sprayed [0.67] riding [0.67] loaded [0.66] 
uncertainty	optimism [0.81] confusion [0.79] pessimism [0.78] gloom [0.76] concerns [0.75] worries [0.75] turmoil [0.74] upheaval [0.74] concern [0.73] anxieties [0.72] 
birmingham	cardiff [0.92] swansea [0.92] glasgow [0.90] nottingham [0.90] aberdeen [0.90] bristol [0.90] southampton [0.89] leicester [0.88] coventry [0.87] leeds [0.87] 
campus	campuses [0.76] boulevard [0.73] mall [0.72] terrace [0.71] waterfront [0.69] interstate [0.69] outskirts [0.68] beach [0.67] premises [0.67] lawn [0.67] 
comfortable	relaxed [0.76] happy [0.71] pleasant [0.70] straightforward [0.70] chloramines [0.68] uncomfortable [0.68] polite [0.68] decorated [0.68] dissatisfied [0.67] bored [0.67] 
conversation	conversations [0.83] encounter [0.70] affair [0.70] discussion [0.70] relationship [0.70] quarrel [0.70] interaction [0.69] confrontation [0.69] spat [0.69] discussions [0.68] 
finds	reveals [0.72] thinks [0.70] keeps [0.70] feels [0.70] adds [0.70] puts [0.69] explains [0.68] sees [0.68] loves [0.68] tells [0.67] 
foster	hospice [0.72] larpent [0.68] nurse [0.67] physician [0.66] palliative [0.66] claire [0.64] jane [0.63] kathleen [0.63] ann [0.63] karen [0.63] 
announced	unveiled [0.77] announces [0.70] announcing [0.68] confirmed [0.68] declared [0.67] warned [0.63] launched [0.63] revealed [0.62] disclosed [0.61] indicated [0.60] 
great	good [0.71] wonderful [0.70] fantastic [0.66] brilliant [0.62] perfect [0.61] genuine [0.61] greatest [0.61] tremendous [0.60] nice [0.59] glorious [0.59] 
research	study [0.70] studies [0.68] scientific [0.64] consultancy [0.63] analysis [0.62] laboratories [0.62] institute [0.62] science [0.62] genetics [0.61] engineering [0.60] 
final	finals [0.78] fourth [0.77] sixth [0.74] seventh [0.73] second [0.73] fifth [0.71] eighth [0.71] opening [0.70] ninth [0.70] third [0.68] 
march	april [0.96] june [0.96] july [0.96] february [0.92] october [0.92] november [0.92] december [0.92] september [0.92] august [0.91] january [0.91] 
given	offered [0.73] shown [0.63] provided [0.60] giving [0.59] meant [0.56] afforded [0.56] taken [0.55] considered [0.54] put [0.53] assessed [0.53] 
prices	inventories [0.82] price [0.81] stocks [0.79] inflation [0.79] yields [0.77] demand [0.74] foreclosures [0.72] sharply [0.71] profits [0.71] rates [0.70] 
become	come [0.58] prove [0.56] endure [0.55] becoming [0.54] survive [0.54] grown [0.54] be [0.54] been [0.54] find [0.53] make [0.53] 
taken	taking [0.68] drawn [0.65] thrown [0.64] flown [0.63] gone [0.62] shown [0.60] removed [0.58] chosen [0.58] carried [0.57] withdrawn [0.57] 
making	made [0.77] make [0.71] giving [0.54] delivering [0.54] putting [0.53] makes [0.53] offering [0.49] keeping [0.48] bringing [0.47] getting [0.46] 
industry	sector [0.78] industries [0.72] market [0.67] consumer [0.66] companies [0.66] business [0.65] marketplace [0.65] global [0.65] conglomerate [0.63] automotive [0.63] 
across	around [0.74] throughout [0.71] along [0.64] through [0.58] coastal [0.55] outside [0.54] onto [0.52] surrounding [0.50] inside [0.49] inland [0.48] 
capital	investment [0.63] equity [0.59] funds [0.59] bank [0.58] region [0.58] banks [0.57] liquidity [0.57] dubai [0.57] banking [0.57] assets [0.56] 
death	stabbing [0.76] disappearance [0.75] murder [0.73] slaying [0.69] rape [0.69] victim [0.67] deaths [0.66] abduction [0.66] murders [0.65] arrest [0.65] 
start	begin [0.78] end [0.73] finish [0.72] return [0.71] break [0.70] catch [0.68] go [0.66] arrive [0.66] stick [0.65] lift [0.65] 
global	broader [0.70] emerging [0.69] economic [0.68] warming [0.65] industry [0.65] climate [0.65] imbalances [0.64] growth [0.63] consumer [0.63] technological [0.62] 
sales	revenues [0.83] profits [0.78] revenue [0.77] inventories [0.75] earnings [0.74] volumes [0.74] production [0.74] pc [0.72] retail [0.71] margins [0.71] 
likely	unlikely [0.75] expected [0.75] poised [0.68] projected [0.63] willing [0.63] expecting [0.63] reluctant [0.62] inclined [0.61] hoping [0.61] supposed [0.61] 
quarter	period [0.77] earnings [0.71] profit [0.70] net [0.68] half [0.68] profits [0.67] gdp [0.67] loss [0.67] revenues [0.67] decline [0.66] 
earlier	later [0.74] ago [0.69] last [0.68] previous [0.64] after [0.53] following [0.53] yesterday [0.51] prior [0.48] preceding [0.45] early [0.45] 
department	ministry [0.73] bureau [0.72] dept [0.67] agency [0.65] secretary [0.61] epa [0.60] authority [0.60] contractor [0.58] commission [0.58] usda [0.57] 
university	college [0.77] harvard [0.75] cambridge [0.73] institute [0.71] graduate [0.71] professor [0.71] uc [0.71] yale [0.69] hopkins [0.69] johns [0.69] 
general	preet [0.51] gen [0.50] parliamentary [0.49] tamo [0.49] deputy [0.49] orum [0.47] tata [0.47] napolitano [0.47] defence [0.46] counsel [0.45] 
economy	recession [0.84] economic [0.77] downturn [0.74] recovery [0.74] slowdown [0.72] crisis [0.72] trend [0.72] sector [0.71] growth [0.70] inflation [0.70] 
better	worse [0.72] stronger [0.70] bigger [0.69] harder [0.68] cheaper [0.66] quicker [0.66] less [0.65] faster [0.65] healthier [0.65] richer [0.64] 
added	admits [0.71] explained [0.70] adds [0.70] noted [0.70] acknowledged [0.69] says [0.68] said [0.68] replied [0.67] believes [0.67] insisted [0.67] 
though	although [0.75] but [0.72] however [0.69] if [0.63] because [0.56] yet [0.46] when [0.45] nor [0.44] where [0.44] while [0.44] 
services	service [0.76] providers [0.75] facilities [0.74] systems [0.73] solutions [0.71] applications [0.70] programs [0.70] communications [0.70] industries [0.69] assistance [0.68] 
killed	wounded [0.86] killing [0.78] injured [0.76] kidnapped [0.75] attacked [0.75] arrested [0.73] detained [0.73] captured [0.72] ambushed [0.72] died [0.72] 
power	electricity [0.68] control [0.63] capacity [0.62] energy [0.61] fuel [0.61] gas [0.61] coal [0.61] land [0.59] arsenals [0.59] weapons [0.57] 
change	changes [0.74] shift [0.72] present [0.61] changing [0.60] reverse [0.58] reform [0.58] future [0.57] progress [0.57] move [0.57] warming [0.56] 
recent	previous [0.62] intervening [0.57] formative [0.57] past [0.54] subsequent [0.53] several [0.50] latest [0.49] coming [0.47] dramatic [0.47] preceding [0.46] 
major	key [0.68] significant [0.60] leading [0.59] biggest [0.57] regional [0.57] big [0.54] emerging [0.54] potential [0.53] global [0.53] main [0.51] 
members	representatives [0.75] member [0.74] directors [0.70] governors [0.70] leaders [0.67] commissioners [0.66] trustees [0.66] chairmen [0.65] supervisors [0.65] volunteers [0.65] 
campaign	campaigns [0.71] fundraising [0.63] mccain [0.60] nomination [0.59] campaigning [0.59] speech [0.58] candidacy [0.58] strategy [0.56] democratic [0.56] election [0.56] 
white	black [0.62] blue [0.60] red [0.60] chatham [0.57] bunny [0.57] waffle [0.56] spokesmule [0.56] purple [0.56] peas [0.56] jacket [0.56] 
local	wildlife [0.60] livestock [0.57] various [0.56] municipal [0.56] communities [0.56] libraries [0.56] leisure [0.55] chinese [0.55] private [0.55] rural [0.55] 
saturday	sunday [0.97] friday [0.91] wednesday [0.89] tuesday [0.89] monday [0.89] thursday [0.89] jan [0.76] nov [0.75] feb [0.74] oct [0.73] 
information	documentation [0.71] details [0.69] data [0.68] feedback [0.67] advice [0.66] guidance [0.66] updates [0.63] material [0.63] content [0.62] applications [0.61] 
service	services [0.76] network [0.66] unit [0.63] maintenance [0.61] airline [0.59] equipment [0.58] facilities [0.56] communications [0.56] assistance [0.55] transport [0.55] 
never	nobody [0.65] nothing [0.61] always [0.60] rarely [0.60] hardly [0.59] actually [0.59] ever [0.59] finally [0.58] not [0.57] somehow [0.57] 
every	each [0.79] another [0.57] whole [0.52] this [0.51] full [0.51] one [0.49] single [0.49] valentine [0.48] typical [0.48] next [0.47] 
british	french [0.73] german [0.68] dutch [0.68] canadian [0.65] swedish [0.64] italian [0.62] scottish [0.61] indian [0.60] american [0.60] japanese [0.60] 
companies	firms [0.92] businesses [0.80] corporations [0.80] manufacturers [0.79] suppliers [0.78] banks [0.77] lenders [0.77] automakers [0.77] industries [0.75] retailers [0.73] 
little	nothing [0.70] something [0.66] everything [0.62] bit [0.61] good [0.60] much [0.60] no [0.59] everybody [0.58] anything [0.58] everyone [0.58] 
federal	regulators [0.61] oversight [0.61] grants [0.59] enforcement [0.59] irs [0.59] regulatory [0.58] regulations [0.58] fda [0.58] municipal [0.57] funding [0.57] 
women	adults [0.84] men [0.82] girls [0.79] mothers [0.79] teenagers [0.76] females [0.76] babies [0.76] infants [0.75] couples [0.74] children [0.74] 
already	also [0.58] still [0.53] now [0.52] currently [0.50] largely [0.48] that [0.46] steadily [0.45] natex [0.44] ulsd [0.43] bansky [0.43] 
system	systems [0.72] mechanism [0.68] structure [0.68] process [0.66] scheme [0.61] infrastructure [0.61] measure [0.61] regulation [0.60] device [0.60] regulations [0.59] 
third	fourth [0.91] fifth [0.88] second [0.86] sixth [0.83] seventh [0.79] eighth [0.76] ninth [0.72] final [0.68] finals [0.67] first [0.66] 
