ablaze	alight [0.86] afire [0.74] aflame [0.70] multicolor [0.67] ksander [0.66] sohrawardy [0.64] canopied [0.64] gamin [0.64] hanieyh [0.63] shuvo [0.63] 
yorkshire	sussex [0.91] midlands [0.88] lanarkshire [0.84] devon [0.84] belfast [0.83] staffordshire [0.82] somerset [0.82] lincolnshire [0.81] dorset [0.80] lancashire [0.80] 
atmosphere	universe [0.78] landscape [0.75] mood [0.74] shade [0.74] ecosystem [0.73] glow [0.72] realm [0.72] chaos [0.72] context [0.71] spirit [0.71] 
breast	prostate [0.92] lung [0.90] cervical [0.89] ovarian [0.87] colorectal [0.87] cancer [0.85] pancreatic [0.85] colon [0.85] kidney [0.83] bowel [0.83] 
carter	perry [0.89] wallace [0.89] wilson [0.89] alexander [0.89] miller [0.89] thompson [0.88] campbell [0.88] graham [0.88] mccarthy [0.88] adams [0.88] 
darfur	lebanon [0.90] sudan [0.87] xinjiang [0.86] rwanda [0.86] beirut [0.86] bosnia [0.86] somalia [0.86] kenya [0.85] cambodia [0.85] anbar [0.85] 
dialogue	cooperation [0.82] negotiations [0.79] alliances [0.78] discussions [0.78] confrontation [0.77] diplomacy [0.77] talks [0.77] rapprochement [0.76] reconciliation [0.75] discussion [0.75] 
expanding	improving [0.82] shifting [0.73] evolving [0.73] shrinking [0.73] increasing [0.73] strengthening [0.72] promoting [0.72] dwindling [0.71] upgrading [0.71] limiting [0.71] 
firefighters	officers [0.83] rescuers [0.83] crews [0.82] villagers [0.81] divers [0.81] detectives [0.81] paramedics [0.79] deputies [0.78] ambulances [0.76] gunmen [0.76] 
investigate	examine [0.88] clarify [0.84] assess [0.83] prosecute [0.81] determine [0.81] commit [0.81] verify [0.81] enforce [0.81] expose [0.81] relate [0.80] 
pages	clips [0.80] videos [0.79] columns [0.77] maps [0.77] recordings [0.77] photos [0.75] articles [0.75] page [0.74] lists [0.74] files [0.73] 
saving	collecting [0.65] improving [0.60] buying [0.60] savings [0.59] generating [0.58] cutting [0.58] raising [0.58] creating [0.58] precious [0.58] delivering [0.58] 
sunni	shiite [0.95] shia [0.94] shi [0.92] ite [0.89] kurdish [0.89] separatist [0.88] militia [0.87] tibetan [0.85] arabs [0.85] ethnic [0.85] 
tennessee	kentucky [0.93] utah [0.91] missouri [0.90] wisconsin [0.90] minnesota [0.90] alabama [0.90] nebraska [0.89] colorado [0.88] connecticut [0.88] memphis [0.88] 
volunteers	youngsters [0.82] fishermen [0.81] schoolchildren [0.81] villagers [0.81] students [0.80] pupils [0.80] motorists [0.80] tourists [0.79] divers [0.79] teenagers [0.79] 
arrive	depart [0.83] retire [0.83] expire [0.82] dine [0.82] gather [0.81] perform [0.80] reappear [0.80] explode [0.78] reopen [0.77] participate [0.76] 
carlos	ryan [0.90] fernando [0.89] tommy [0.89] jason [0.89] garcia [0.89] luis [0.88] andre [0.88] shane [0.88] juan [0.88] matt [0.88] 
casualties	deaths [0.80] fatalities [0.80] incidents [0.75] killings [0.74] arrests [0.73] suicides [0.73] civilians [0.71] threats [0.69] interrogations [0.69] accidents [0.69] 
expense	risk [0.70] disadvantage [0.69] valuation [0.69] income [0.68] salaries [0.68] height [0.67] payout [0.67] indebtedness [0.66] backlog [0.66] rate [0.66] 
fishing	tuna [0.70] ski [0.70] dirt [0.70] boats [0.70] cargo [0.70] trucks [0.69] timber [0.69] container [0.68] commuter [0.68] railroad [0.68] 
rocket	drone [0.81] bomb [0.79] missiles [0.78] ballistic [0.77] grenade [0.77] launchers [0.76] artillery [0.75] submarine [0.74] missile [0.74] mortar [0.73] 
suffer	recover [0.80] emerge [0.80] arise [0.79] deter [0.78] differ [0.78] discourage [0.77] worsen [0.75] occur [0.75] survive [0.75] disappear [0.75] 
sugar	milk [0.88] fruit [0.84] meat [0.83] fat [0.81] butter [0.81] chocolate [0.81] pork [0.81] corn [0.81] juice [0.81] vegetable [0.80] 
volume	volumes [0.84] inventory [0.80] segment [0.76] margins [0.75] frequency [0.75] revenue [0.74] temperature [0.74] output [0.74] revenues [0.73] volatility [0.72] 
anywhere	somewhere [0.76] anyplace [0.71] nowhere [0.67] anybody [0.61] anything [0.60] somebody [0.59] everything [0.58] everybody [0.57] everywhere [0.56] everyone [0.54] 
birthday	wedding [0.72] anniversary [0.67] percentile [0.64] homecoming [0.63] lap [0.62] appearance [0.61] arrondissement [0.60] sermon [0.60] birthdays [0.59] maiden [0.59] 
brazilian	argentine [0.84] belgian [0.80] italian [0.80] norwegian [0.78] portuguese [0.77] chilean [0.76] hungarian [0.76] swedish [0.75] ukrainian [0.73] german [0.73] 
burned	burnt [0.85] dumped [0.84] planted [0.82] flooded [0.82] flattened [0.81] smashed [0.79] destroyed [0.79] tossed [0.78] washed [0.78] dug [0.77] 
category	mode [0.72] marketplace [0.70] segment [0.70] context [0.69] format [0.68] factor [0.68] genre [0.67] trend [0.66] cycle [0.66] phenomenon [0.66] 
gathering	demonstration [0.65] summit [0.64] briefing [0.63] conference [0.61] meeting [0.61] forum [0.60] apex [0.59] forefront [0.59] massacre [0.59] demonstrations [0.58] 
invest	participate [0.85] rein [0.79] engage [0.79] intervene [0.79] indulge [0.77] enroll [0.76] contribute [0.76] grow [0.76] weigh [0.75] operate [0.75] 
overhaul	reform [0.79] repeal [0.74] initiative [0.74] mandate [0.72] outline [0.72] reforms [0.71] implementation [0.70] revamp [0.70] expansion [0.70] allocation [0.70] 
stick	sing [0.84] rub [0.83] bow [0.82] communicate [0.81] proceed [0.80] tread [0.80] catch [0.80] connect [0.79] merge [0.79] relax [0.79] 
stuck	fitted [0.79] jammed [0.76] sprayed [0.74] staying [0.72] sitting [0.71] caught [0.71] locked [0.71] sleeping [0.70] paired [0.69] sync [0.69] 
uncertainty	confusion [0.84] optimism [0.83] gloom [0.80] unease [0.79] controversy [0.79] turmoil [0.78] tension [0.77] concerns [0.77] anxieties [0.77] upheaval [0.77] 
birmingham	cardiff [0.94] bristol [0.91] swansea [0.91] glasgow [0.91] aberdeen [0.90] southampton [0.89] dublin [0.88] leeds [0.88] nottingham [0.88] plymouth [0.87] 
campus	mall [0.78] terrace [0.75] campuses [0.75] waterfront [0.75] boulevard [0.73] premises [0.72] beach [0.71] motorway [0.71] interstate [0.71] plaza [0.71] 
comfortable	relaxed [0.77] uncomfortable [0.76] pleasant [0.73] respectable [0.73] cluttered [0.73] nonhierarchical [0.71] convincing [0.71] bored [0.70] straightforward [0.70] predictable [0.70] 
conversation	conversations [0.84] confrontation [0.75] spat [0.73] correspondence [0.73] interaction [0.73] discussions [0.72] feud [0.72] interactions [0.71] quarrel [0.71] dialogue [0.71] 
finds	reveals [0.76] acknowledges [0.73] thinks [0.72] puts [0.71] explains [0.71] tells [0.70] suggests [0.70] sees [0.70] keeps [0.70] argues [0.70] 
foster	hospice [0.73] arne [0.66] palliative [0.66] nurse [0.62] kathleen [0.62] federline [0.62] claire [0.62] physician [0.61] heath [0.61] danny [0.61] 
announced	unveiled [0.80] declared [0.74] confirmed [0.73] announces [0.71] revealed [0.70] warned [0.69] launched [0.67] suggested [0.66] insisted [0.66] indicated [0.65] 
great	good [0.72] wonderful [0.64] genuine [0.63] big [0.62] fantastic [0.61] greatest [0.60] perfect [0.60] unique [0.60] brilliant [0.59] tremendous [0.59] 
research	study [0.67] studies [0.64] analysis [0.63] scientific [0.59] consultancy [0.59] science [0.58] genetics [0.58] engineering [0.58] economics [0.58] technology [0.58] 
final	finals [0.73] fourth [0.73] opening [0.70] second [0.70] sixth [0.69] seventh [0.68] fifth [0.67] ninth [0.67] eighth [0.65] third [0.65] 
march	june [0.96] april [0.96] july [0.96] december [0.92] november [0.92] february [0.92] october [0.91] january [0.91] august [0.91] september [0.91] 
given	offered [0.72] shown [0.62] provided [0.61] giving [0.61] put [0.58] taken [0.57] afforded [0.54] give [0.53] granted [0.53] brought [0.52] 
prices	inventories [0.82] stocks [0.78] price [0.77] inflation [0.76] yields [0.75] demand [0.73] foreclosures [0.72] exports [0.72] rates [0.71] markets [0.70] 
become	becoming [0.58] endure [0.56] prove [0.55] find [0.55] create [0.55] make [0.53] survive [0.53] became [0.53] come [0.53] remain [0.53] 
taken	taking [0.72] drawn [0.66] thrown [0.65] flown [0.63] take [0.61] shown [0.60] switched [0.60] gone [0.60] put [0.59] carried [0.58] 
making	made [0.77] make [0.71] putting [0.61] giving [0.59] delivering [0.59] bringing [0.56] keeping [0.55] setting [0.53] offering [0.53] placing [0.52] 
industry	sector [0.77] industries [0.69] marketplace [0.65] business [0.65] market [0.64] enterprise [0.63] conglomerate [0.62] manufacturing [0.62] companies [0.61] automotive [0.61] 
across	around [0.76] throughout [0.72] along [0.69] through [0.61] outside [0.61] inside [0.58] onto [0.54] surrounding [0.53] within [0.53] coastal [0.52] 
capital	investment [0.59] equity [0.58] province [0.56] region [0.56] housing [0.55] banking [0.54] bank [0.54] liquidity [0.54] debt [0.54] funds [0.53] 
death	disappearance [0.73] stabbing [0.72] murder [0.69] slaying [0.65] birth [0.64] rape [0.64] abduction [0.63] dismissal [0.63] arrest [0.63] conviction [0.62] 
start	begin [0.79] end [0.71] finish [0.70] stop [0.69] return [0.69] catch [0.68] break [0.66] harvest [0.65] stick [0.64] ease [0.64] 
global	broader [0.71] climate [0.64] economic [0.64] emerging [0.63] wider [0.63] strategic [0.62] worsening [0.62] consumer [0.61] technological [0.60] liquidity [0.60] 
sales	revenues [0.82] revenue [0.77] profits [0.77] production [0.74] inventories [0.73] earnings [0.72] volumes [0.71] purchases [0.70] margins [0.70] prices [0.70] 
likely	expected [0.77] unlikely [0.76] willing [0.67] reluctant [0.66] poised [0.66] probably [0.66] projected [0.65] able [0.64] supposed [0.64] determined [0.63] 
quarter	period [0.76] half [0.69] earnings [0.68] decline [0.68] gdp [0.68] profit [0.67] contraction [0.66] quarters [0.66] profits [0.66] turnover [0.65] 
earlier	later [0.76] ago [0.67] previous [0.66] last [0.66] prior [0.58] preceding [0.54] following [0.53] yesterday [0.53] after [0.52] recent [0.50] 
department	ministry [0.76] bureau [0.72] dept [0.65] secretary [0.63] agency [0.62] authority [0.59] chamber [0.59] departmentʼs [0.59] faa [0.59] epa [0.58] 
university	college [0.75] cambridge [0.73] harvard [0.71] uc [0.70] yale [0.69] oxford [0.69] graduate [0.68] johns [0.68] columbia [0.67] institute [0.67] 
general	tata [0.57] carsdirect [0.51] gen [0.50] tamo [0.50] preet [0.50] boente [0.49] tesla [0.48] parliamentary [0.45] finance [0.45] deputy [0.45] 
economy	recession [0.81] trend [0.71] downturn [0.71] crisis [0.70] inflation [0.69] recovery [0.68] economic [0.68] slowdown [0.67] market [0.67] demand [0.67] 
better	worse [0.69] good [0.68] stronger [0.67] harder [0.67] cheaper [0.67] easier [0.65] less [0.64] bigger [0.63] safer [0.62] healthier [0.62] 
added	admits [0.74] acknowledged [0.73] explained [0.72] noted [0.72] said [0.72] says [0.71] insisted [0.71] adds [0.71] replied [0.70] believes [0.70] 
though	although [0.75] however [0.72] but [0.67] if [0.64] nor [0.53] because [0.52] humidifying [0.51] indeed [0.51] saying [0.50] convinced [0.47] 
services	facilities [0.74] service [0.73] systems [0.72] providers [0.70] applications [0.70] resources [0.70] solutions [0.70] programs [0.69] assistance [0.69] industries [0.69] 
killed	wounded [0.83] kidnapped [0.77] captured [0.76] attacked [0.75] arrested [0.75] detained [0.74] injured [0.74] killing [0.74] murdered [0.72] massacred [0.72] 
power	electricity [0.70] capacity [0.67] fuel [0.65] control [0.64] weapons [0.63] arsenals [0.62] energy [0.61] gas [0.60] land [0.60] production [0.59] 
change	changes [0.76] shift [0.74] progress [0.63] present [0.62] modelers [0.61] increase [0.60] compromise [0.59] reverse [0.59] reform [0.59] recall [0.59] 
recent	previous [0.71] subsequent [0.64] latest [0.55] intervening [0.55] past [0.55] turbulent [0.54] preceding [0.53] following [0.52] formative [0.52] coming [0.51] 
major	key [0.68] significant [0.63] biggest [0.61] big [0.60] regional [0.57] leading [0.57] domestic [0.56] huge [0.55] massive [0.55] main [0.55] 
members	representatives [0.77] member [0.73] directors [0.72] employees [0.69] leaders [0.69] governors [0.69] trustees [0.68] supervisors [0.68] volunteers [0.67] chairmen [0.67] 
campaign	campaigns [0.70] fundraising [0.64] strategy [0.60] speech [0.59] debate [0.59] agenda [0.58] nomination [0.58] campaigning [0.57] candidacy [0.57] effort [0.57] 
white	black [0.65] red [0.63] blue [0.62] bunny [0.59] grocutts [0.58] purple [0.58] grey [0.57] leather [0.55] pink [0.55] arncliffe [0.55] 
local	chinese [0.63] wildlife [0.58] livestock [0.58] various [0.57] regional [0.56] farming [0.55] rural [0.55] municipal [0.55] lobbyists [0.55] iraqi [0.55] 
saturday	sunday [0.96] friday [0.92] wednesday [0.91] tuesday [0.91] monday [0.91] thursday [0.90] nov [0.72] sept [0.72] feb [0.72] november [0.70] 
information	feedback [0.72] data [0.71] details [0.71] documentation [0.68] advice [0.68] updates [0.66] guidance [0.65] material [0.65] tips [0.64] content [0.63] 
service	services [0.73] network [0.64] unit [0.59] maintenance [0.58] equipment [0.58] airline [0.58] facilities [0.56] logistics [0.56] database [0.56] assistance [0.55] 
never	actually [0.71] finally [0.69] rarely [0.68] always [0.67] ever [0.65] hardly [0.64] barely [0.64] somehow [0.62] nobody [0.62] eventually [0.61] 
every	each [0.82] another [0.61] single [0.56] any [0.55] one [0.55] per [0.53] full [0.53] this [0.52] mg [0.51] typical [0.51] 
british	french [0.80] german [0.75] canadian [0.73] japanese [0.71] chinese [0.70] dutch [0.69] italian [0.68] american [0.68] scottish [0.68] swedish [0.67] 
companies	firms [0.90] businesses [0.80] manufacturers [0.79] corporations [0.78] lenders [0.78] banks [0.78] retailers [0.76] suppliers [0.75] automakers [0.74] employers [0.74] 
little	nothing [0.68] much [0.63] something [0.62] good [0.61] no [0.59] everything [0.59] lot [0.59] anything [0.59] bit [0.58] delicious [0.57] 
federal	customs [0.62] grants [0.61] enforcement [0.61] regulators [0.61] bankruptcy [0.61] temporary [0.61] taxpayer [0.60] funding [0.59] securities [0.59] regulations [0.59] 
women	adults [0.83] men [0.82] teenagers [0.78] infants [0.78] girls [0.77] mothers [0.76] females [0.76] males [0.75] children [0.75] individuals [0.75] 
already	also [0.63] still [0.59] largely [0.56] now [0.53] consistently [0.53] currently [0.52] actually [0.51] steadily [0.48] generally [0.48] previously [0.47] 
system	systems [0.72] process [0.66] structure [0.66] mechanism [0.64] device [0.62] scheme [0.61] program [0.60] network [0.60] capabilities [0.59] processes [0.59] 
third	fourth [0.91] fifth [0.89] second [0.87] sixth [0.82] seventh [0.79] eighth [0.76] ninth [0.73] th [0.69] first [0.67] finals [0.65] 
