ablaze	alight [0.89] afire [0.74] aflame [0.74] gazebos [0.74] firecrackers [0.72] flirty [0.69] tracky [0.69] rickety [0.68] patterned [0.68] hardwood [0.68] 
archaeologist	epidemiologist [0.89] astronomer [0.88] anthropologist [0.87] aristocrat [0.87] interrogator [0.87] astrophysicist [0.87] jurist [0.86] enforcer [0.86] arum [0.86] evangelist [0.86] 
arches	domes [0.93] cocoon [0.92] buddha [0.92] chandeliers [0.91] shards [0.91] pearls [0.91] thickets [0.91] tins [0.91] waterfalls [0.91] sage [0.91] 
arduous	amicable [0.91] exhausting [0.91] unseemly [0.90] abbreviated [0.90] orchestrator [0.89] eyesore [0.89] appetising [0.89] exacting [0.89] uneventful [0.89] irascible [0.89] 
arturo	alejandro [0.94] massimo [0.94] alfredo [0.94] rosales [0.94] françois [0.94] mauro [0.94] mauricio [0.93] bertrand [0.93] aguirre [0.93] usman [0.93] 
ascension	accusers [0.85] stepdaughter [0.85] nuptials [0.85] nazism [0.84] coda [0.84] subservience [0.84] investiture [0.83] quiver [0.83] lustre [0.83] sidekick [0.83] 
asher	wolff [0.95] weinberg [0.95] ludwig [0.95] macgregor [0.95] krause [0.95] metcalf [0.95] docherty [0.94] zuckerman [0.94] goss [0.94] fernandes [0.94] 
ashfaq	kayani [0.94] kiyani [0.92] augusto [0.92] sarath [0.92] athar [0.92] dannatt [0.91] brigadier [0.91] anupong [0.91] zazai [0.90] zahir [0.90] 
ashford	caernarfon [0.93] mcgill [0.92] vigo [0.92] warwick [0.92] metz [0.92] yeovil [0.92] kenilworth [0.92] chelmsford [0.91] emory [0.91] monmouth [0.91] 
aviation	maritime [0.82] forestry [0.74] transportation [0.74] procurement [0.73] watchdog [0.72] meteorological [0.72] aerospace [0.72] fisheries [0.72] tourism [0.71] transit [0.70] 
christopher	ken [0.94] dennis [0.93] keith [0.93] richard [0.92] jim [0.92] patrick [0.92] joseph [0.92] kenneth [0.91] alan [0.91] henry [0.91] 
confirm	reveal [0.88] disclose [0.86] conclude [0.84] verify [0.84] accept [0.83] recognize [0.82] deny [0.81] acknowledge [0.81] assume [0.81] publish [0.81] 
detention	rehabilitation [0.80] custody [0.72] residency [0.70] prison [0.70] parole [0.67] execution [0.66] divorce [0.66] sentencing [0.66] training [0.65] refugee [0.64] 
downtown	suburban [0.87] hills [0.85] grove [0.82] lake [0.82] valley [0.81] nearby [0.80] seaside [0.79] cedar [0.79] plaza [0.79] springs [0.79] 
engaged	complicit [0.85] implicated [0.85] embroiled [0.82] instrumental [0.80] enrolled [0.80] sworn [0.79] rooted [0.77] immersed [0.77] interested [0.76] engaging [0.75] 
household	disposable [0.73] usage [0.69] taxable [0.68] premium [0.66] royalty [0.65] fiber [0.65] consumption [0.65] savings [0.65] income [0.64] segment [0.63] 
lebanon	egypt [0.93] sudan [0.92] kenya [0.92] yemen [0.92] darfur [0.91] nepal [0.91] cambodia [0.90] bosnia [0.90] rwanda [0.90] thailand [0.90] 
manner	context [0.80] principle [0.77] theory [0.76] situations [0.73] vein [0.73] shape [0.73] mode [0.72] advances [0.72] anticipation [0.71] spite [0.71] 
recalled	explained [0.77] recounted [0.76] remembers [0.76] replied [0.74] realised [0.74] joked [0.73] encountered [0.73] quipped [0.72] termed [0.72] observed [0.72] 
yorkshire	sussex [0.92] midlands [0.88] somerset [0.86] devon [0.85] lanarkshire [0.85] lincolnshire [0.84] staffordshire [0.84] belfast [0.82] warwickshire [0.80] dorset [0.80] 
atmosphere	universe [0.80] landscape [0.79] mood [0.76] chaos [0.75] shade [0.75] context [0.75] shadows [0.73] spectacle [0.73] spirit [0.73] planet [0.73] 
breast	prostate [0.94] lung [0.92] cervical [0.89] ovarian [0.87] colorectal [0.87] pancreatic [0.86] colon [0.86] bowel [0.85] cancer [0.85] alzheimer [0.83] 
carter	parker [0.90] miller [0.90] harrison [0.90] thompson [0.90] wilson [0.90] graham [0.89] perry [0.89] walsh [0.89] nelson [0.89] wallace [0.89] 
darfur	lebanon [0.91] sudan [0.89] rwanda [0.89] bosnia [0.88] cambodia [0.88] somalia [0.88] kenya [0.87] yemen [0.87] xinjiang [0.87] chechnya [0.87] 
dialogue	cooperation [0.84] negotiations [0.81] discussions [0.80] diplomacy [0.80] talks [0.80] alliances [0.79] consultations [0.78] confrontation [0.78] collaboration [0.76] discussion [0.76] 
expanding	improving [0.83] shifting [0.76] increasing [0.74] limiting [0.74] shrinking [0.74] strengthening [0.72] reducing [0.72] promoting [0.72] evolving [0.72] maintaining [0.72] 
firefighters	rescuers [0.87] officers [0.84] crews [0.84] villagers [0.83] detectives [0.80] divers [0.80] paramedics [0.79] motorists [0.78] deputies [0.78] volunteers [0.77] 
investigate	examine [0.89] clarify [0.85] assess [0.84] prosecute [0.83] enforce [0.83] verify [0.83] dismiss [0.82] commit [0.81] condemn [0.81] relate [0.81] 
pages	videos [0.82] clips [0.80] columns [0.80] maps [0.80] recordings [0.79] photos [0.78] screens [0.77] catalog [0.76] lists [0.76] articles [0.76] 
saving	collecting [0.65] raising [0.62] generating [0.61] reducing [0.61] cutting [0.61] buying [0.61] improving [0.60] precious [0.59] providing [0.58] affordable [0.58] 
sunni	shiite [0.96] shia [0.95] shi [0.93] kurdish [0.90] separatist [0.89] ite [0.89] tibetan [0.87] militias [0.87] militia [0.87] muslim [0.86] 
tennessee	kentucky [0.93] utah [0.92] wisconsin [0.91] minnesota [0.90] missouri [0.90] alabama [0.90] colorado [0.90] connecticut [0.89] nebraska [0.89] memphis [0.89] 
volunteers	youngsters [0.84] fishermen [0.82] foreigners [0.82] villagers [0.82] students [0.81] pupils [0.81] motorists [0.81] teenagers [0.81] tourists [0.80] prostitutes [0.80] 
arrive	gather [0.83] retire [0.83] expire [0.82] perform [0.82] depart [0.81] dine [0.80] appear [0.79] stay [0.78] die [0.77] reappear [0.77] 
carlos	ryan [0.90] jason [0.90] andre [0.89] luis [0.89] juan [0.89] tommy [0.89] aaron [0.88] fernando [0.88] matt [0.88] garcia [0.88] 
casualties	deaths [0.82] fatalities [0.81] incidents [0.77] arrests [0.76] threats [0.75] killings [0.74] suicides [0.73] civilians [0.72] victims [0.70] interrogations [0.70] 
expense	risk [0.71] disadvantage [0.71] valuation [0.70] rate [0.70] height [0.68] income [0.68] salaries [0.67] payout [0.66] liabilities [0.66] forefront [0.66] 
fishing	boats [0.72] tuna [0.72] dirt [0.72] ski [0.71] commuter [0.71] timber [0.71] cargo [0.71] livestock [0.71] poultry [0.70] trucks [0.70] 
rocket	drone [0.80] missiles [0.80] bomb [0.79] ballistic [0.78] grenade [0.77] artillery [0.77] mortar [0.76] launchers [0.76] missile [0.75] submarine [0.75] 
suffer	recover [0.80] emerge [0.79] deter [0.79] differ [0.78] arise [0.78] occur [0.75] disappear [0.75] discourage [0.75] worsen [0.74] survive [0.74] 
sugar	milk [0.87] fruit [0.83] meat [0.81] fat [0.81] butter [0.81] juice [0.81] corn [0.80] cane [0.80] pork [0.80] cotton [0.79] 
volume	volumes [0.83] inventory [0.81] segment [0.78] frequency [0.77] turnover [0.77] revenue [0.76] rainfall [0.75] output [0.75] margins [0.75] temperature [0.75] 
anywhere	somewhere [0.81] nowt [0.68] nowhere [0.68] anyplace [0.65] anybody [0.62] anything [0.61] somebody [0.59] everybody [0.59] everything [0.59] everywhere [0.56] 
birthday	wedding [0.71] lap [0.67] anniversary [0.66] homecoming [0.64] sermon [0.63] appearance [0.63] maiden [0.62] arrondissement [0.60] percentile [0.59] inauguration [0.59] 
brazilian	argentine [0.88] belgian [0.83] italian [0.79] chilean [0.79] norwegian [0.79] hungarian [0.78] portuguese [0.77] croatian [0.76] german [0.76] ukrainian [0.74] 
burned	burnt [0.86] dumped [0.85] flooded [0.83] planted [0.82] destroyed [0.80] flattened [0.80] smashed [0.80] dug [0.79] ripped [0.79] tossed [0.78] 
category	mode [0.72] marketplace [0.71] factor [0.69] context [0.69] segment [0.68] format [0.67] sequence [0.66] trend [0.65] cycle [0.65] phenomenon [0.65] 
gathering	demonstration [0.67] summit [0.67] conference [0.64] briefing [0.63] meeting [0.63] forum [0.63] forefront [0.62] seminar [0.60] polling [0.59] aldwych [0.58] 
invest	participate [0.85] intervene [0.79] rein [0.79] engage [0.79] enroll [0.78] contribute [0.76] raise [0.76] thrive [0.76] operate [0.76] grow [0.75] 
overhaul	reform [0.82] repeal [0.77] outline [0.76] initiative [0.74] revamp [0.72] mandate [0.71] implementation [0.71] expansion [0.71] adjustment [0.71] allocation [0.70] 
stick	sing [0.85] rub [0.84] bow [0.82] catch [0.82] proceed [0.82] communicate [0.81] connect [0.81] relax [0.81] combine [0.81] go [0.81] 
stuck	fitted [0.82] jammed [0.76] staying [0.75] sprayed [0.74] crammed [0.74] buried [0.73] caught [0.73] planted [0.73] sitting [0.72] chatting [0.72] 
uncertainty	confusion [0.87] optimism [0.83] gloom [0.81] controversy [0.80] tension [0.79] unease [0.79] speculation [0.79] turmoil [0.78] concerns [0.78] upheaval [0.78] 
birmingham	cardiff [0.94] swansea [0.93] bristol [0.93] aberdeen [0.91] southampton [0.91] glasgow [0.90] nottingham [0.89] plymouth [0.88] coventry [0.88] leeds [0.88] 
campus	mall [0.78] campuses [0.77] waterfront [0.75] premises [0.73] plaza [0.73] lawn [0.73] boulevard [0.73] terrace [0.72] beach [0.72] interstate [0.71] 
comfortable	relaxed [0.79] uncomfortable [0.77] bored [0.74] respectable [0.74] predictable [0.73] pleasant [0.73] convincing [0.72] straightforward [0.72] realistic [0.72] decorated [0.71] 
conversation	conversations [0.85] confrontation [0.75] spat [0.74] interaction [0.74] correspondence [0.74] disagreement [0.74] discussions [0.73] feud [0.73] discussion [0.72] encounter [0.72] 
finds	reveals [0.77] explains [0.75] puts [0.74] acknowledges [0.73] adds [0.73] thinks [0.73] suggests [0.71] explained [0.71] sees [0.71] knows [0.71] 
foster	hospice [0.77] palliative [0.69] physician [0.66] claire [0.66] kathleen [0.65] nurse [0.65] baldwin [0.64] curie [0.63] jane [0.63] uncompensated [0.63] 
announced	unveiled [0.84] confirmed [0.75] declared [0.75] announces [0.74] revealed [0.72] warned [0.72] suggested [0.70] acknowledged [0.70] announcing [0.68] insisted [0.68] 
great	good [0.74] wonderful [0.68] big [0.67] greatest [0.66] genuine [0.65] perfect [0.65] real [0.64] best [0.64] unique [0.63] fantastic [0.62] 
research	study [0.68] analysis [0.65] studies [0.64] consultancy [0.63] engineering [0.62] technology [0.61] genetics [0.60] data [0.60] laboratories [0.60] economics [0.60] 
final	fourth [0.77] finals [0.75] second [0.75] opening [0.74] seventh [0.73] first [0.73] sixth [0.72] third [0.71] fifth [0.71] eighth [0.70] 
march	june [0.98] april [0.97] july [0.97] december [0.93] october [0.93] november [0.93] february [0.92] august [0.92] january [0.92] september [0.91] 
given	offered [0.75] shown [0.65] provided [0.63] put [0.62] made [0.61] taken [0.60] giving [0.60] drawn [0.56] brought [0.55] created [0.55] 
prices	inventories [0.84] stocks [0.80] inflation [0.78] price [0.78] yields [0.77] foreclosures [0.74] markets [0.73] demand [0.72] rates [0.72] temperatures [0.72] 
become	make [0.59] come [0.58] be [0.57] endure [0.57] been [0.57] prove [0.57] becoming [0.56] find [0.56] create [0.56] remain [0.56] 
taken	drawn [0.71] taking [0.70] thrown [0.67] flown [0.67] gone [0.63] shown [0.62] switched [0.62] held [0.61] tipped [0.60] brought [0.60] 
making	made [0.77] make [0.68] delivering [0.68] giving [0.65] putting [0.64] placing [0.60] taking [0.60] bringing [0.60] offering [0.59] keeping [0.59] 
industry	sector [0.78] business [0.71] industries [0.71] market [0.70] marketplace [0.68] conglomerate [0.66] enterprise [0.65] network [0.65] automotive [0.65] retail [0.63] 
across	around [0.79] throughout [0.76] along [0.71] through [0.70] outside [0.65] within [0.60] inside [0.60] surrounding [0.59] coastal [0.57] over [0.56] 
capital	equity [0.63] debt [0.61] investment [0.61] housing [0.60] bank [0.60] dubai [0.59] region [0.59] fund [0.59] securities [0.58] banking [0.58] 
death	stabbing [0.77] disappearance [0.77] murder [0.70] slaying [0.66] birth [0.66] arrest [0.66] abduction [0.65] chest [0.64] rape [0.64] wounds [0.64] 
start	begin [0.78] end [0.75] finish [0.72] break [0.71] stop [0.71] return [0.70] catch [0.68] draw [0.65] stay [0.65] stick [0.65] 
global	broader [0.76] economic [0.69] emerging [0.68] wider [0.68] consumer [0.66] pricing [0.66] strategic [0.66] climate [0.66] rapid [0.66] innovation [0.66] 
sales	revenues [0.84] revenue [0.79] profits [0.78] production [0.77] volumes [0.76] earnings [0.75] inventories [0.74] margins [0.73] volume [0.71] growth [0.70] 
likely	expected [0.79] unlikely [0.79] poised [0.69] willing [0.69] probably [0.68] projected [0.68] reluctant [0.67] inclined [0.67] supposed [0.65] determined [0.63] 
quarter	period [0.76] half [0.73] decline [0.68] gdp [0.68] earnings [0.68] profits [0.67] net [0.67] profit [0.66] round [0.66] turnover [0.66] 
earlier	later [0.77] last [0.70] previous [0.67] ago [0.65] prior [0.60] following [0.57] after [0.56] preceding [0.55] late [0.53] past [0.53] 
department	ministry [0.78] bureau [0.74] agency [0.69] secretary [0.66] dept [0.65] authority [0.62] contractor [0.61] committee [0.60] epa [0.60] chamber [0.60] 
university	college [0.76] harvard [0.73] cambridge [0.72] columbia [0.70] uc [0.69] yale [0.69] oxford [0.69] maryland [0.69] berkeley [0.69] duke [0.69] 
general	tata [0.62] gen [0.53] tesla [0.53] liebermann [0.52] preet [0.52] vice [0.52] chief [0.51] provience [0.50] finance [0.50] principal [0.49] 
economy	recession [0.82] market [0.73] trend [0.72] downturn [0.71] crisis [0.71] economic [0.71] inflation [0.70] recovery [0.69] demand [0.69] markets [0.69] 
better	worse [0.74] harder [0.71] stronger [0.70] cheaper [0.70] good [0.69] less [0.69] bigger [0.68] easier [0.68] safer [0.67] quicker [0.67] 
added	admits [0.77] says [0.77] explained [0.76] said [0.76] acknowledged [0.75] replied [0.75] noted [0.73] adds [0.73] insisted [0.73] insists [0.72] 
though	although [0.79] but [0.76] if [0.74] however [0.70] because [0.66] when [0.56] nor [0.55] saying [0.51] indeed [0.51] unless [0.51] 
services	facilities [0.77] service [0.77] providers [0.76] systems [0.75] programs [0.74] solutions [0.73] resources [0.72] communications [0.71] activities [0.70] applications [0.70] 
killed	wounded [0.85] captured [0.78] kidnapped [0.78] injured [0.77] attacked [0.77] detained [0.77] killing [0.76] arrested [0.76] murdered [0.74] died [0.73] 
power	electricity [0.71] capacity [0.68] fuel [0.67] control [0.67] weapons [0.66] land [0.66] capability [0.64] energy [0.63] production [0.62] gas [0.62] 
change	shift [0.77] changes [0.77] present [0.69] progress [0.65] respect [0.64] compromise [0.64] work [0.63] move [0.63] advance [0.63] recovery [0.62] 
recent	previous [0.73] subsequent [0.65] formative [0.59] following [0.56] past [0.56] latest [0.55] intervening [0.55] preceding [0.55] dramatic [0.54] turbulent [0.54] 
major	key [0.71] biggest [0.65] leading [0.62] significant [0.61] regional [0.61] big [0.60] global [0.58] domestic [0.58] main [0.57] massive [0.57] 
members	representatives [0.79] directors [0.75] governors [0.73] member [0.72] citizens [0.71] mayors [0.71] supervisors [0.70] volunteers [0.70] staffers [0.70] trustees [0.70] 
campaign	campaigns [0.72] fundraising [0.68] speech [0.66] agenda [0.63] strategy [0.62] presidency [0.61] candidacy [0.61] plan [0.61] nomination [0.60] election [0.60] 
white	black [0.65] red [0.61] blue [0.61] jeans [0.60] pink [0.59] chatham [0.59] terraced [0.59] grey [0.59] purple [0.58] leather [0.58] 
local	chinese [0.65] wildlife [0.62] private [0.62] regional [0.62] rural [0.61] municipal [0.60] livestock [0.59] various [0.59] conservation [0.59] provincial [0.59] 
saturday	sunday [0.97] friday [0.94] wednesday [0.93] tuesday [0.92] thursday [0.92] monday [0.92] nov [0.76] feb [0.76] sept [0.75] aug [0.75] 
information	details [0.74] data [0.73] feedback [0.71] documentation [0.70] advice [0.70] guidance [0.69] updates [0.67] content [0.66] material [0.66] tips [0.65] 
service	services [0.77] network [0.72] unit [0.65] airline [0.65] equipment [0.64] facilities [0.61] inspection [0.61] database [0.60] maintenance [0.60] logistics [0.60] 
never	actually [0.74] finally [0.72] rarely [0.71] always [0.70] ever [0.69] barely [0.69] hardly [0.66] somehow [0.66] nobody [0.65] then [0.65] 
every	each [0.84] another [0.69] one [0.65] single [0.61] full [0.59] this [0.58] any [0.57] typical [0.57] next [0.54] per [0.53] 
british	french [0.81] canadian [0.77] german [0.77] american [0.74] japanese [0.73] dutch [0.72] scottish [0.71] chinese [0.71] swedish [0.71] indian [0.70] 
companies	firms [0.92] businesses [0.83] corporations [0.82] banks [0.82] lenders [0.81] manufacturers [0.80] retailers [0.79] automakers [0.78] suppliers [0.78] dealers [0.76] 
little	nothing [0.72] much [0.68] something [0.67] good [0.67] no [0.64] anything [0.64] bit [0.63] everything [0.62] lot [0.62] great [0.60] 
federal	grants [0.65] temporary [0.65] regulators [0.64] funding [0.64] taxpayer [0.64] state [0.64] customs [0.63] enforcement [0.63] securities [0.63] municipal [0.63] 
women	adults [0.87] men [0.87] girls [0.82] children [0.81] teenagers [0.81] females [0.79] infants [0.79] youngsters [0.79] mothers [0.79] americans [0.78] 
already	also [0.70] largely [0.64] still [0.63] now [0.57] currently [0.55] generally [0.55] consistently [0.54] mostly [0.53] illegally [0.52] typically [0.52] 
system	systems [0.73] process [0.71] structure [0.71] device [0.67] mechanism [0.66] measure [0.66] program [0.66] scheme [0.65] platform [0.64] solution [0.64] 
third	fourth [0.93] fifth [0.92] second [0.90] sixth [0.86] seventh [0.83] eighth [0.80] ninth [0.77] first [0.74] th [0.72] final [0.71] 
