ablaze	alight [0.88] afire [0.78] aflame [0.76] downfield [0.72] patterned [0.71] hardwood [0.71] parquet [0.71] pickling [0.70] corks [0.70] moncler [0.70] 
ashford	horsham [0.93] fordham [0.93] scarborough [0.93] hatfield [0.92] langley [0.92] claremont [0.92] mcgill [0.92] miramar [0.91] pembroke [0.91] jiao [0.91] 
aviation	maritime [0.77] fisheries [0.74] transportation [0.74] procurement [0.73] forestry [0.72] watchdog [0.72] aerospace [0.71] tourism [0.70] meteorological [0.69] transit [0.69] 
christopher	dennis [0.93] ken [0.93] joseph [0.92] patrick [0.92] richard [0.92] charles [0.91] philip [0.91] jim [0.91] henry [0.91] susan [0.91] 
confirm	reveal [0.88] disclose [0.86] verify [0.85] conclude [0.85] recognize [0.82] accept [0.82] acknowledge [0.82] deny [0.82] assume [0.81] recommend [0.81] 
detention	rehabilitation [0.80] custody [0.72] prison [0.70] sentencing [0.68] juvenile [0.67] residency [0.67] divorce [0.67] training [0.67] parole [0.67] execution [0.66] 
downtown	suburban [0.87] hills [0.85] valley [0.82] grove [0.81] lake [0.81] nearby [0.80] brooklyn [0.80] plaza [0.79] cape [0.79] norfolk [0.79] 
engaged	implicated [0.85] complicit [0.83] embroiled [0.82] instrumental [0.80] enrolled [0.79] rooted [0.78] sworn [0.78] immersed [0.78] engaging [0.76] participated [0.76] 
household	disposable [0.72] taxable [0.69] fiber [0.68] premium [0.66] usage [0.66] consumption [0.66] cigarette [0.64] customer [0.64] savings [0.63] milk [0.63] 
lebanon	egypt [0.93] kenya [0.92] sudan [0.91] yemen [0.91] rwanda [0.91] cambodia [0.91] nepal [0.91] bosnia [0.90] thailand [0.90] darfur [0.90] 
manner	context [0.79] principle [0.76] theory [0.73] mode [0.73] awe [0.72] shape [0.72] spite [0.72] flaw [0.71] spirit [0.71] anticipation [0.71] 
recalled	explained [0.78] remembers [0.74] recounted [0.73] replied [0.73] realised [0.72] admitted [0.71] observed [0.70] approached [0.70] added [0.70] admits [0.70] 
yorkshire	sussex [0.91] midlands [0.86] devon [0.86] lincolnshire [0.84] lanarkshire [0.83] somerset [0.83] belfast [0.83] staffordshire [0.82] waziristan [0.79] ossetia [0.79] 
atmosphere	universe [0.78] landscape [0.76] shade [0.76] mood [0.75] chaos [0.75] context [0.73] phenomenon [0.73] concept [0.72] spirit [0.72] spectacle [0.72] 
breast	prostate [0.93] lung [0.92] cervical [0.90] colon [0.87] ovarian [0.87] colorectal [0.87] pancreatic [0.86] cancer [0.85] bowel [0.85] kidney [0.84] 
carter	thompson [0.90] graham [0.90] miller [0.90] wilson [0.89] harrison [0.88] murphy [0.88] parker [0.88] wallace [0.88] walsh [0.88] taylor [0.88] 
darfur	lebanon [0.90] rwanda [0.89] sudan [0.89] xinjiang [0.87] cambodia [0.87] yemen [0.87] somalia [0.86] bosnia [0.86] kenya [0.86] nepal [0.86] 
dialogue	cooperation [0.86] diplomacy [0.81] alliances [0.81] negotiations [0.80] discussions [0.80] talks [0.79] confrontation [0.79] consultations [0.76] coordination [0.76] collaboration [0.76] 
expanding	improving [0.83] evolving [0.76] shifting [0.76] shrinking [0.75] increasing [0.74] limiting [0.74] strengthening [0.71] boosting [0.71] reducing [0.71] extending [0.71] 
firefighters	rescuers [0.87] officers [0.85] villagers [0.83] detectives [0.83] crews [0.81] miners [0.79] paramedics [0.78] divers [0.78] volunteers [0.77] deputies [0.76] 
investigate	examine [0.89] clarify [0.84] assess [0.83] verify [0.83] prosecute [0.83] dismiss [0.83] enforce [0.82] determine [0.82] commit [0.82] relate [0.82] 
pages	maps [0.80] videos [0.79] clips [0.78] photos [0.78] columns [0.78] recordings [0.78] screens [0.77] lists [0.76] pieces [0.75] adverts [0.75] 
saving	collecting [0.65] generating [0.63] buying [0.63] raising [0.59] delivering [0.59] improving [0.59] reducing [0.59] precious [0.58] savings [0.58] creating [0.57] 
sunni	shiite [0.95] shia [0.95] shi [0.91] ite [0.89] kurdish [0.89] separatist [0.89] arabs [0.87] militia [0.86] muslim [0.86] tibetan [0.85] 
tennessee	kentucky [0.94] utah [0.92] wisconsin [0.92] missouri [0.90] alabama [0.90] minnesota [0.90] colorado [0.89] nebraska [0.89] connecticut [0.89] texas [0.88] 
volunteers	youngsters [0.85] villagers [0.83] foreigners [0.82] inmates [0.81] fishermen [0.81] pupils [0.81] students [0.81] travellers [0.81] teenagers [0.80] patrons [0.80] 
arrive	depart [0.84] gather [0.83] retire [0.83] perform [0.81] expire [0.81] appear [0.79] stay [0.79] dine [0.77] succeed [0.77] begin [0.77] 
carlos	luis [0.90] andre [0.89] ryan [0.89] juan [0.89] fernando [0.88] sergio [0.88] alonso [0.88] miguel [0.88] jason [0.88] garcia [0.88] 
casualties	fatalities [0.82] deaths [0.80] incidents [0.77] arrests [0.76] killings [0.73] threats [0.73] suicides [0.72] accidents [0.70] civilians [0.70] interrogations [0.70] 
expense	risk [0.71] valuation [0.70] height [0.70] disadvantage [0.68] rate [0.67] ratio [0.67] income [0.66] expenses [0.66] backlog [0.66] value [0.65] 
fishing	cargo [0.72] ski [0.71] boats [0.71] subway [0.70] container [0.70] commuter [0.70] dirt [0.70] hiking [0.69] tuna [0.69] railway [0.69] 
rocket	drone [0.81] missiles [0.80] ballistic [0.79] bomb [0.78] launchers [0.77] artillery [0.77] grenade [0.76] missile [0.76] submarine [0.75] mortar [0.75] 
suffer	recover [0.81] emerge [0.81] arise [0.79] differ [0.79] deter [0.78] disappear [0.75] occur [0.75] survive [0.75] discourage [0.75] benefit [0.74] 
sugar	milk [0.86] fruit [0.82] fat [0.82] juice [0.82] meat [0.81] butter [0.80] corn [0.80] vegetable [0.80] cane [0.80] chocolate [0.79] 
volume	volumes [0.82] inventory [0.81] segment [0.77] revenue [0.76] frequency [0.76] turnover [0.76] valuation [0.75] backlog [0.75] output [0.74] margins [0.74] 
anywhere	somewhere [0.80] nowhere [0.69] anybody [0.63] anyplace [0.62] somebody [0.60] anything [0.60] everything [0.59] nowt [0.58] everybody [0.58] everywhere [0.57] 
birthday	wedding [0.69] anniversary [0.67] homecoming [0.65] appearance [0.63] lap [0.63] percentile [0.62] sermon [0.61] maiden [0.61] arrondissement [0.59] comeback [0.58] 
brazilian	argentine [0.86] belgian [0.83] italian [0.80] chilean [0.79] norwegian [0.78] portuguese [0.77] swedish [0.77] hungarian [0.77] german [0.75] australian [0.74] 
burned	burnt [0.85] dumped [0.84] flooded [0.82] planted [0.81] flattened [0.80] washed [0.80] dug [0.80] ripped [0.79] tossed [0.79] drowned [0.79] 
category	mode [0.72] segment [0.71] marketplace [0.69] context [0.68] trend [0.67] factor [0.66] format [0.66] theory [0.66] genre [0.65] concept [0.65] 
gathering	demonstration [0.67] summit [0.64] conference [0.64] briefing [0.63] meeting [0.63] forum [0.62] forefront [0.62] massacre [0.60] archives [0.60] northop [0.59] 
invest	participate [0.85] rein [0.79] engage [0.79] intervene [0.78] succeed [0.76] contribute [0.76] operate [0.75] weigh [0.75] thrive [0.75] enroll [0.75] 
overhaul	reform [0.80] repeal [0.75] outline [0.73] initiative [0.73] mandate [0.73] adjustment [0.70] allocation [0.70] revamp [0.69] expansion [0.69] reforms [0.68] 
stick	sing [0.85] rub [0.84] communicate [0.82] proceed [0.82] catch [0.82] connect [0.81] sink [0.81] bow [0.80] go [0.80] relax [0.80] 
stuck	fitted [0.80] jammed [0.75] sprayed [0.74] staying [0.74] buried [0.73] sitting [0.73] caught [0.72] reunited [0.72] locked [0.72] photographed [0.71] 
uncertainty	confusion [0.86] optimism [0.84] controversy [0.80] gloom [0.79] unease [0.79] tension [0.78] turmoil [0.78] anxieties [0.78] speculation [0.77] worries [0.77] 
birmingham	cardiff [0.93] bristol [0.92] swansea [0.92] aberdeen [0.92] southampton [0.91] glasgow [0.90] dublin [0.89] nottingham [0.89] plymouth [0.89] leeds [0.88] 
campus	mall [0.77] campuses [0.76] waterfront [0.74] plaza [0.73] terrace [0.73] boulevard [0.73] beach [0.72] motorway [0.72] premises [0.71] interstate [0.71] 
comfortable	relaxed [0.78] uncomfortable [0.76] bored [0.72] predictable [0.72] pleasant [0.71] realistic [0.71] decorated [0.71] happy [0.71] convincing [0.70] clever [0.70] 
conversation	conversations [0.85] confrontation [0.77] discussions [0.74] encounters [0.74] interaction [0.73] spat [0.73] discussion [0.73] feud [0.73] disagreement [0.73] consultations [0.72] 
finds	reveals [0.77] acknowledges [0.74] adds [0.74] thinks [0.74] puts [0.73] explains [0.72] argues [0.72] understands [0.72] suggests [0.71] loves [0.71] 
foster	hospice [0.75] palliative [0.66] kathleen [0.64] nurse [0.63] claire [0.63] heath [0.63] physician [0.63] federline [0.63] jane [0.62] baldwin [0.62] 
announced	unveiled [0.83] confirmed [0.76] declared [0.76] announces [0.73] revealed [0.73] suggested [0.70] warned [0.70] announcing [0.70] acknowledged [0.69] said [0.68] 
great	good [0.73] big [0.68] wonderful [0.67] greatest [0.66] genuine [0.65] fantastic [0.63] real [0.62] whole [0.62] brilliant [0.61] perfect [0.61] 
research	study [0.70] analysis [0.66] consultancy [0.64] studies [0.64] economics [0.63] technology [0.62] engineering [0.61] genetics [0.61] scientific [0.61] survey [0.60] 
final	fourth [0.76] finals [0.76] second [0.75] third [0.73] opening [0.72] first [0.71] sixth [0.71] seventh [0.70] fifth [0.70] ninth [0.68] 
march	june [0.98] april [0.97] july [0.97] december [0.93] november [0.93] october [0.92] january [0.92] february [0.92] august [0.92] september [0.91] 
given	offered [0.75] shown [0.65] provided [0.64] put [0.61] giving [0.59] taken [0.59] made [0.58] brought [0.55] delivered [0.55] considered [0.55] 
prices	inventories [0.84] stocks [0.80] price [0.78] inflation [0.76] yields [0.74] demand [0.73] exports [0.72] foreclosures [0.72] markets [0.72] rates [0.70] 
become	come [0.58] endure [0.58] be [0.58] prove [0.58] make [0.57] been [0.56] remain [0.56] find [0.56] create [0.56] survive [0.55] 
taken	drawn [0.70] taking [0.69] thrown [0.68] flown [0.67] gone [0.63] shown [0.63] switched [0.63] put [0.61] held [0.61] chosen [0.60] 
making	made [0.76] make [0.68] giving [0.65] putting [0.64] delivering [0.64] bringing [0.60] keeping [0.59] offering [0.58] buying [0.57] taking [0.57] 
industry	sector [0.78] business [0.69] industries [0.69] market [0.69] conglomerate [0.67] marketplace [0.67] enterprise [0.65] consumer [0.65] company [0.64] automotive [0.64] 
across	around [0.81] throughout [0.76] along [0.71] through [0.70] outside [0.68] inside [0.63] within [0.59] surrounding [0.58] coastal [0.57] into [0.56] 
capital	equity [0.63] investment [0.60] debt [0.59] construction [0.58] fund [0.57] housing [0.57] currency [0.57] region [0.57] banking [0.57] bank [0.56] 
death	disappearance [0.76] stabbing [0.74] murder [0.68] arrest [0.66] slaying [0.65] birth [0.64] rape [0.63] dismissal [0.63] execution [0.63] abduction [0.62] 
start	begin [0.79] end [0.74] finish [0.74] break [0.73] stop [0.72] return [0.70] catch [0.69] resume [0.67] stick [0.67] stay [0.67] 
global	broader [0.76] economic [0.68] wider [0.67] rapid [0.66] emerging [0.66] strategic [0.66] climate [0.65] consumer [0.65] innovation [0.64] stability [0.64] 
sales	revenues [0.84] profits [0.79] revenue [0.77] production [0.76] earnings [0.74] inventories [0.74] volumes [0.73] margins [0.72] purchases [0.71] output [0.70] 
likely	unlikely [0.78] expected [0.77] willing [0.71] poised [0.71] reluctant [0.69] inclined [0.69] supposed [0.67] projected [0.67] probably [0.66] eager [0.65] 
quarter	period [0.75] half [0.72] earnings [0.70] loss [0.68] profit [0.68] gdp [0.68] decline [0.67] profits [0.67] turnover [0.67] quarters [0.66] 
earlier	later [0.76] last [0.71] previous [0.68] ago [0.65] prior [0.57] following [0.56] after [0.55] yesterday [0.53] late [0.51] preceding [0.51] 
department	ministry [0.76] bureau [0.72] secretary [0.65] agency [0.65] authority [0.60] epa [0.59] committee [0.59] dept [0.59] directorate [0.59] chamber [0.59] 
university	college [0.77] cambridge [0.73] harvard [0.72] columbia [0.72] yale [0.71] berkeley [0.70] uc [0.70] graduate [0.69] va [0.69] oxford [0.69] 
general	tata [0.60] gen [0.55] chief [0.53] managing [0.52] deputy [0.52] finance [0.52] tamo [0.50] sharifuddin [0.50] assistant [0.49] vice [0.49] 
economy	recession [0.82] trend [0.72] market [0.72] crisis [0.70] downturn [0.70] inflation [0.69] economic [0.68] demand [0.67] slowdown [0.67] sector [0.67] 
better	worse [0.76] cheaper [0.72] harder [0.72] less [0.71] stronger [0.71] bigger [0.69] safer [0.69] easier [0.69] healthier [0.68] quicker [0.66] 
added	says [0.77] admits [0.77] explained [0.76] acknowledged [0.75] said [0.75] noted [0.74] replied [0.74] insisted [0.73] adds [0.73] insists [0.73] 
though	although [0.78] but [0.73] if [0.73] however [0.69] because [0.66] nor [0.57] when [0.54] unless [0.52] indeed [0.51] saying [0.50] 
services	service [0.78] facilities [0.77] systems [0.74] providers [0.73] resources [0.72] programs [0.72] solutions [0.72] networks [0.71] communications [0.70] applications [0.69] 
killed	wounded [0.85] captured [0.79] kidnapped [0.77] attacked [0.76] arrested [0.76] injured [0.76] detained [0.76] killing [0.75] murdered [0.74] died [0.73] 
power	electricity [0.72] capacity [0.70] control [0.67] fuel [0.67] weapons [0.66] land [0.64] production [0.62] strength [0.62] energy [0.62] momentum [0.61] 
change	changes [0.76] shift [0.75] present [0.65] progress [0.65] recovery [0.63] challenge [0.62] respect [0.62] vote [0.61] future [0.61] reform [0.61] 
recent	previous [0.72] subsequent [0.63] formative [0.56] past [0.54] turbulent [0.54] intervening [0.54] dramatic [0.54] following [0.54] latest [0.53] coming [0.52] 
major	key [0.69] biggest [0.65] leading [0.62] regional [0.61] big [0.60] significant [0.60] domestic [0.57] massive [0.56] main [0.56] largest [0.56] 
members	representatives [0.80] directors [0.77] leaders [0.73] supervisors [0.72] member [0.72] governors [0.72] trustees [0.71] mayors [0.70] employees [0.70] volunteers [0.70] 
campaign	campaigns [0.70] fundraising [0.66] strategy [0.64] speech [0.63] agenda [0.62] candidacy [0.61] blitz [0.59] manifesto [0.59] quest [0.59] nomination [0.59] 
white	blue [0.63] black [0.60] red [0.60] purple [0.60] porkmeister [0.59] baylham [0.59] linthwaite [0.59] terraced [0.59] chatham [0.58] velvet [0.58] 
local	chinese [0.69] wildlife [0.61] livestock [0.60] social [0.60] various [0.60] rural [0.59] labor [0.59] departments [0.59] regional [0.58] farming [0.58] 
saturday	sunday [0.97] friday [0.93] wednesday [0.92] thursday [0.92] monday [0.92] tuesday [0.92] nov [0.75] feb [0.75] jan [0.74] sept [0.74] 
information	data [0.72] details [0.71] feedback [0.71] documentation [0.69] guidance [0.68] advice [0.68] material [0.67] content [0.67] info [0.66] tips [0.65] 
service	services [0.78] network [0.70] unit [0.67] equipment [0.63] facilities [0.61] maintenance [0.61] logistics [0.61] database [0.61] airline [0.61] assistance [0.59] 
never	actually [0.73] finally [0.73] always [0.71] ever [0.70] barely [0.70] rarely [0.69] hardly [0.67] probably [0.66] then [0.64] eventually [0.64] 
every	each [0.85] another [0.68] one [0.64] single [0.59] full [0.58] this [0.57] any [0.55] per [0.55] typical [0.54] whole [0.52] 
british	french [0.82] canadian [0.78] german [0.77] american [0.73] dutch [0.73] chinese [0.73] swedish [0.72] japanese [0.71] scottish [0.70] italian [0.69] 
companies	firms [0.92] businesses [0.82] banks [0.81] lenders [0.81] corporations [0.81] manufacturers [0.80] retailers [0.80] automakers [0.78] suppliers [0.77] dealers [0.77] 
little	nothing [0.73] much [0.67] something [0.67] no [0.66] bit [0.64] good [0.64] anything [0.64] everything [0.63] lot [0.62] nice [0.60] 
federal	grants [0.66] temporary [0.65] municipal [0.65] funding [0.64] customs [0.63] subsidies [0.63] bankruptcy [0.63] taxpayer [0.63] oversight [0.62] regulators [0.62] 
women	men [0.87] adults [0.87] girls [0.82] teenagers [0.81] children [0.80] females [0.80] infants [0.80] youngsters [0.79] mothers [0.78] pupils [0.78] 
already	also [0.69] largely [0.60] still [0.60] now [0.57] currently [0.55] generally [0.55] consistently [0.53] subsequently [0.51] successfully [0.51] typically [0.51] 
system	systems [0.73] process [0.71] structure [0.69] device [0.67] program [0.65] mechanism [0.65] equipment [0.63] scheme [0.63] facility [0.63] solution [0.63] 
third	fourth [0.93] fifth [0.92] second [0.90] sixth [0.86] seventh [0.83] eighth [0.80] ninth [0.77] first [0.74] final [0.73] th [0.71] 
