ablaze	alight [0.88] aflame [0.71] afire [0.70] weissmuller [0.65] upv [0.63] azari [0.63] multicolor [0.62] firework [0.62] gazebos [0.62] parquet [0.62] 
suffer	recover [0.81] emerge [0.80] arise [0.79] deter [0.78] differ [0.78] discourage [0.77] benefit [0.75] vary [0.75] disappear [0.75] vanish [0.75] 
sugar	milk [0.87] fruit [0.83] cane [0.82] vegetable [0.81] corn [0.81] fat [0.81] meat [0.81] pork [0.81] chocolate [0.80] fiber [0.80] 
volume	volumes [0.83] inventory [0.80] segment [0.79] margins [0.78] revenue [0.78] frequency [0.77] turnover [0.77] volatility [0.76] backlog [0.76] output [0.76] 
anywhere	somewhere [0.81] nowhere [0.69] nowt [0.68] anybody [0.62] everything [0.61] somebody [0.61] anything [0.61] everybody [0.60] everywhere [0.57] else [0.56] 
birthday	wedding [0.73] anniversary [0.67] homecoming [0.66] percentile [0.64] lap [0.64] appearance [0.64] maiden [0.61] sermon [0.61] comeback [0.60] mettle [0.60] 
brazilian	argentine [0.85] belgian [0.83] italian [0.81] norwegian [0.79] hungarian [0.79] chilean [0.79] portuguese [0.78] german [0.77] ukrainian [0.76] swedish [0.74] 
burned	dumped [0.86] burnt [0.85] flattened [0.83] planted [0.82] flooded [0.82] smashed [0.81] tossed [0.80] ripped [0.80] destroyed [0.80] washed [0.80] 
category	mode [0.72] segment [0.72] factor [0.71] marketplace [0.70] context [0.70] phenomenon [0.69] trend [0.69] format [0.68] milestone [0.68] concept [0.66] 
gathering	demonstration [0.69] conference [0.66] summit [0.66] meeting [0.65] briefing [0.65] forum [0.64] staging [0.62] seminar [0.62] aldwych [0.60] forefront [0.60] 
invest	participate [0.86] rein [0.81] intervene [0.80] engage [0.79] enroll [0.78] operate [0.77] weigh [0.77] contribute [0.76] grow [0.76] indulge [0.76] 
overhaul	reform [0.80] repeal [0.75] outline [0.75] initiative [0.75] mandate [0.73] adjustment [0.72] expansion [0.72] revamp [0.72] implementation [0.70] reforms [0.70] 
stick	sing [0.85] catch [0.83] bow [0.83] rub [0.83] swallow [0.82] communicate [0.82] sink [0.81] switch [0.81] breathe [0.81] connect [0.81] 
stuck	fitted [0.82] jammed [0.79] staying [0.76] sprayed [0.74] crammed [0.74] sitting [0.72] reunited [0.72] planted [0.72] photographed [0.72] caught [0.72] 
uncertainty	confusion [0.86] optimism [0.84] gloom [0.82] unease [0.81] controversy [0.81] tension [0.80] speculation [0.79] instability [0.79] turmoil [0.79] concerns [0.79] 
birmingham	cardiff [0.94] bristol [0.93] swansea [0.92] southampton [0.92] glasgow [0.92] plymouth [0.91] aberdeen [0.91] coventry [0.90] nottingham [0.90] dublin [0.90] 
campus	mall [0.78] waterfront [0.78] terrace [0.77] campuses [0.76] boulevard [0.75] beach [0.74] interstate [0.74] premises [0.74] lawn [0.72] plaza [0.72] 
comfortable	relaxed [0.81] uncomfortable [0.78] pleasant [0.74] bored [0.73] convincing [0.72] satisfying [0.72] preoccupied [0.71] decorated [0.71] realistic [0.71] predictable [0.71] 
conversation	conversations [0.84] confrontation [0.76] feud [0.75] spat [0.74] discussion [0.73] correspondence [0.73] discussions [0.72] rivalry [0.72] interaction [0.72] disagreement [0.72] 
finds	reveals [0.79] acknowledges [0.76] explains [0.75] thinks [0.75] adds [0.75] puts [0.74] sees [0.74] tells [0.74] understands [0.74] mentions [0.73] 
foster	hospice [0.75] nurse [0.69] physician [0.67] palliative [0.66] claire [0.65] kathleen [0.65] cook [0.65] arne [0.64] jane [0.64] astor [0.63] 
announced	unveiled [0.83] confirmed [0.75] declared [0.75] announces [0.73] revealed [0.72] warned [0.72] suggested [0.70] announcing [0.69] launched [0.67] acknowledged [0.67] 
great	good [0.75] wonderful [0.68] big [0.67] genuine [0.66] real [0.65] greatest [0.65] perfect [0.65] unique [0.63] best [0.63] fantastic [0.62] 
research	study [0.70] analysis [0.68] studies [0.66] consultancy [0.66] engineering [0.65] economics [0.65] technology [0.64] development [0.64] genetics [0.64] scientific [0.64] 
final	second [0.76] fourth [0.75] finals [0.74] first [0.73] third [0.73] opening [0.72] sixth [0.71] seventh [0.71] fifth [0.70] eighth [0.68] 
march	june [0.98] april [0.97] july [0.97] december [0.94] october [0.94] november [0.93] september [0.93] august [0.93] january [0.93] february [0.93] 
given	offered [0.74] shown [0.66] provided [0.64] made [0.63] put [0.62] giving [0.61] taken [0.60] brought [0.57] drawn [0.56] delivered [0.55] 
prices	inventories [0.84] stocks [0.79] price [0.78] inflation [0.78] yields [0.76] demand [0.74] temperatures [0.72] foreclosures [0.72] markets [0.72] exports [0.72] 
become	prove [0.58] be [0.57] find [0.57] endure [0.57] come [0.57] make [0.56] remain [0.56] create [0.56] becoming [0.56] been [0.56] 
taken	drawn [0.71] taking [0.71] thrown [0.69] flown [0.66] gone [0.64] shown [0.63] brought [0.62] shifted [0.62] put [0.61] held [0.61] 
making	made [0.76] make [0.69] giving [0.67] putting [0.66] delivering [0.65] bringing [0.63] keeping [0.60] offering [0.58] setting [0.58] buying [0.57] 
industry	sector [0.81] business [0.72] industries [0.72] market [0.70] marketplace [0.70] conglomerate [0.69] automotive [0.66] enterprise [0.66] consumer [0.66] companies [0.66] 
across	around [0.80] throughout [0.76] along [0.72] through [0.68] outside [0.67] inside [0.63] within [0.61] surrounding [0.58] over [0.58] coastal [0.58] 
capital	bank [0.63] equity [0.62] investment [0.61] debt [0.61] currency [0.60] dubai [0.60] securities [0.60] housing [0.60] banking [0.59] fund [0.59] 
death	disappearance [0.76] stabbing [0.76] murder [0.72] arrest [0.68] rape [0.68] slaying [0.67] conviction [0.67] wounds [0.66] dismissal [0.66] abduction [0.66] 
start	begin [0.80] end [0.74] finish [0.73] stop [0.73] break [0.72] return [0.72] catch [0.69] harvest [0.68] draw [0.68] stick [0.68] 
global	broader [0.76] economic [0.70] emerging [0.70] strategic [0.69] wider [0.69] liquidity [0.66] consumer [0.66] climate [0.66] rapid [0.66] stability [0.66] 
sales	revenues [0.85] profits [0.80] revenue [0.79] production [0.77] earnings [0.76] inventories [0.76] volumes [0.75] margins [0.75] purchases [0.72] growth [0.71] 
likely	expected [0.79] unlikely [0.78] poised [0.69] projected [0.68] willing [0.68] reluctant [0.68] probably [0.68] inclined [0.65] able [0.64] supposed [0.64] 
quarter	period [0.77] half [0.73] gdp [0.71] earnings [0.70] turnover [0.70] profits [0.69] decline [0.69] contraction [0.68] loss [0.68] profit [0.67] 
earlier	later [0.78] last [0.69] previous [0.68] ago [0.66] prior [0.58] following [0.56] preceding [0.54] after [0.54] yesterday [0.54] late [0.53] 
department	ministry [0.78] bureau [0.74] agency [0.68] dept [0.68] secretary [0.67] authority [0.63] chamber [0.62] directorate [0.61] pentagon [0.60] committee [0.60] 
university	college [0.77] cambridge [0.75] harvard [0.73] yale [0.71] va [0.70] uc [0.70] graduate [0.70] institute [0.70] columbia [0.69] princeton [0.69] 
general	tata [0.58] preet [0.57] gen [0.56] liebermann [0.53] chief [0.52] etra [0.52] finance [0.52] tesla [0.52] principal [0.50] deputy [0.50] 
economy	recession [0.83] crisis [0.74] trend [0.73] downturn [0.73] market [0.72] inflation [0.71] economic [0.71] recovery [0.70] slowdown [0.70] situation [0.69] 
better	worse [0.73] harder [0.72] cheaper [0.71] stronger [0.70] less [0.69] good [0.68] easier [0.67] bigger [0.67] quicker [0.67] faster [0.67] 
added	says [0.76] admits [0.76] acknowledged [0.76] said [0.75] explained [0.74] noted [0.74] insists [0.73] insisted [0.73] replied [0.73] suggested [0.72] 
though	although [0.78] but [0.74] if [0.72] however [0.69] because [0.66] nor [0.56] when [0.55] kune [0.50] where [0.50] indeed [0.50] 
services	facilities [0.79] service [0.78] systems [0.77] programs [0.76] providers [0.75] applications [0.74] solutions [0.74] resources [0.73] activities [0.72] functions [0.72] 
killed	wounded [0.86] captured [0.79] kidnapped [0.78] arrested [0.77] attacked [0.77] detained [0.77] killing [0.76] injured [0.76] murdered [0.74] died [0.73] 
power	electricity [0.72] capacity [0.70] control [0.70] weapons [0.67] fuel [0.66] land [0.65] energy [0.65] gas [0.64] capability [0.64] arsenals [0.64] 
change	changes [0.77] shift [0.77] present [0.69] progress [0.67] recovery [0.65] challenge [0.64] respect [0.63] vulnerability [0.63] vote [0.63] compromise [0.63] 
recent	previous [0.72] subsequent [0.66] formative [0.59] intervening [0.57] turbulent [0.57] past [0.55] following [0.55] latest [0.55] dramatic [0.55] tumultuous [0.54] 
major	key [0.72] biggest [0.65] significant [0.64] big [0.63] leading [0.62] regional [0.62] massive [0.59] domestic [0.58] global [0.58] emerging [0.58] 
members	representatives [0.80] directors [0.76] member [0.73] governors [0.72] citizens [0.72] supervisors [0.72] trustees [0.71] chairmen [0.71] mayors [0.71] employees [0.70] 
campaign	campaigns [0.71] fundraising [0.66] strategy [0.65] speech [0.65] agenda [0.63] obama [0.61] nomination [0.61] presidency [0.60] plan [0.60] ad [0.60] 
white	blue [0.66] red [0.64] black [0.64] purple [0.62] waffle [0.62] pink [0.60] dark [0.60] grey [0.60] jeans [0.59] leather [0.59] 
local	chinese [0.65] private [0.63] wildlife [0.63] social [0.63] various [0.61] livestock [0.61] municipal [0.61] academics [0.59] departments [0.59] hospitals [0.59] 
saturday	sunday [0.97] friday [0.93] wednesday [0.92] monday [0.92] thursday [0.92] tuesday [0.92] sept [0.76] nov [0.75] feb [0.75] aug [0.75] 
information	data [0.75] feedback [0.73] details [0.73] advice [0.70] material [0.69] documentation [0.69] guidance [0.68] content [0.68] info [0.67] updates [0.67] 
service	services [0.78] network [0.72] airline [0.67] unit [0.67] facilities [0.64] equipment [0.64] database [0.62] maintenance [0.62] manual [0.62] assistance [0.62] 
never	finally [0.73] actually [0.73] barely [0.70] rarely [0.70] always [0.69] ever [0.69] then [0.66] hardly [0.66] nobody [0.65] probably [0.65] 
every	each [0.86] another [0.69] one [0.67] single [0.62] any [0.61] full [0.58] this [0.57] per [0.56] next [0.56] typical [0.55] 
british	french [0.81] american [0.77] canadian [0.76] german [0.76] chinese [0.73] japanese [0.73] dutch [0.73] indian [0.72] swedish [0.70] italian [0.70] 
companies	firms [0.93] businesses [0.83] banks [0.83] lenders [0.81] manufacturers [0.81] corporations [0.80] retailers [0.79] automakers [0.78] dealers [0.77] suppliers [0.77] 
little	nothing [0.72] something [0.69] good [0.67] much [0.67] no [0.66] bit [0.65] anything [0.64] lot [0.64] everything [0.62] great [0.62] 
federal	grants [0.68] taxpayer [0.66] municipal [0.65] securities [0.65] funding [0.65] enforcement [0.65] bankruptcy [0.65] regulators [0.64] temporary [0.64] subsidies [0.64] 
women	adults [0.87] men [0.86] children [0.81] girls [0.81] teenagers [0.80] females [0.80] infants [0.80] mothers [0.80] families [0.79] babies [0.78] 
already	also [0.70] largely [0.64] still [0.63] now [0.57] currently [0.56] generally [0.54] steadily [0.53] mainly [0.53] mostly [0.52] illegally [0.52] 
system	systems [0.73] process [0.72] structure [0.70] device [0.69] mechanism [0.67] solution [0.66] program [0.66] scheme [0.66] measure [0.65] legislation [0.64] 
third	fourth [0.92] fifth [0.91] second [0.90] sixth [0.84] seventh [0.81] eighth [0.79] ninth [0.75] final [0.73] first [0.72] finals [0.70] 
