('mildness', 'mean', 'school')
('group', 'construct', 'facility')
('restaurant', 'serve', 'it')
('conservative', 'have', 'record')
('PROPN', 'should', 'reason')
('region', 'place', 'burden')
('figure', 'show', 'loss')
('PROPN', 'could', 'that')
('father', 'emigrate', 'PROPN')
('father', 'master', 'PROPN')
('other', 'add', 'sugar')
('PROPN', 'be', 'show')
('statement', 'involve', 'risk')
('car', 'find', 'out')
('arm', 'to', 'PROPN')
('student', 'stick', 'finger')
('law', 'require', 'he')
('PROPN', 'contradict', 'PROPN')
('ship', 'will', 'cargo')
('stock', 'gain', '2.28')
('PROPN', 'have', 'tarmac')
('PROPN', 'report', 'result')
('superdelegate', 'to', 'decision')
('development', 'have', 'I')
('PROPN', 'tell', 'detective')
('prince', 'visit', 'capital')
('PROPN', 'have', 'reputation')
('design', 'have', 'reputation')
('firm', 'raise', 'suspicion')
('t', 'get', 'salary')
('trip', 'be', 'booster')
('PROPN', 'may', 'future')
('governor', 'offer', 'account')
('PROPN', 'have', 'issue')
('people', 'make', 'he')
('company', 'be', 'regulator')
('t', 'give', 'money')
('t', 'spend', 'it')
('office', 'have', 'comment')
('PROPN', 'enact', 'visit')
('PROPN', 'change', 'life')
('PROPN', 'begin', 'negotiation')
('talk', 'have', 'roadblock')
('PROPN', 'remain', 'negotiation')
('student', 'call', 'home')
('decision', 'do', 'what')
('datum', 'show', 'ratio')
('water', 'to', 'nose')
('tap', 'can', 'water')
('PROPN', 'shoot', 'PROPN')
('people', 'lose', 'life')
('PROPN', 'block', 'shot')
('word', 'contain', 'element')
('fee', 'will', 'sale')
('PROPN', 'repeat', 'unit')
('PROPN', 'would', 'unit')
('PROPN', 'would', 'unit')
('PROPN', 'have', 'factory')
('terrorist', 'do', 'bomb')
('t', 'provide', 'relief')
('offer', 'value', 'percent')
('manager', 'tell', 'inquiry')
('troll', 'can', 'opportunity')
('majority', 'paste', 'opportunity')
('majority', 'await', 'opportunity')
('PROPN', 'escape', 'trouble')
('scale', 'have', 'shame')
('leper', 'be', 'treatment')
('sculpture', 'have', 'thing')
('PROPN', 'fire', 'lawyer')
('PROPN', 'match', 'mood')
('people', 'turn', 'that')
('PROPN', 'be', 'war')
('creation', 'do', 'what')
('automaker', 'have', 'discount')
('automaker', 'shut', 'plant')
('declaration', 'raise', 'issue')
('declaration', 'run', 'it')
('group', 'will', 'decision')
('PROPN', 'say', 'people')
('people', 'have', 'creativity')
('difficulty', 'illustrate', 'awareness')
('PROPN', 'have', 'whom')
('PROPN', 'orbit', 'PROPN')
('PROPN', 'blame', 'PROPN')
('patient', 'endure', 'hospitalization')
('law', 'will', 'reduction')
('law', 'cause', 'reduction')
('startup', 'offer', 'game')
('organization', 'provide', 'encouragement')
('organization', 'facilitate', 'communication')
('PROPN', 'receive', 'nod')
('neighbour', 'repeat', 'allegation')
('country', 'must', 'role')
('PROPN', 'take', 'lead')
('PROPN', 'edge', 'PROPN')
('PROPN', 'value', 'it')
('search', 'have', 'link')
('mother', 'do', 'what')
('cup', 'cut', 'soap')
('consultant', 'be', 'interpreter')
('consultant', 'forge', 'alliance')
('PROPN', 'belittle', 'experience')
('nominee', 'have', 'memoir')
('signal', 'malfunction', 'shop')
('signal', 'force', 'shop')
('PROPN', 'release', 'handful')
('head', 'break', 'cover')
('police', 'aren', 't')
('detective', 'have', 'claim')
('decision', 'will', 'nation')
('birthplace', 'be', 'service')
('study', 'point', 'offender')
('PROPN', 'make', 'hand')
('PROPN', 'have', 'PROPN')
('firefighter', 'reach', 'scene')
('people', 'do', 'PROPN')
('researcher', 'record', 'instance')
('milestone', 'turn', '50')
('milestone', 'mean', 'what')
('t', 'have', 'gulf')
('PROPN', 'open', 'talk')
('PROPN', 'want', 'PROPN')
('airport', 'have', 'gun')
('blizzard', 'compound', 'effect')
('kid', 'age', 'six')
('PROPN', 'to', 'war')
('PROPN', 'can', 'PROPN')
('military', 'annul', 'result')
('bank', 'deny', 'report')
('family', 'call', 'whom')
('lawmaker', 'end', 'boycott')
('thought', 'frighten', 'I')
('%', 'approve', 'disapprove')
('blog', 'note', 'propensity')
('PROPN', 'force', 'country')
('council', 'be', '400,000')
('customer', 'to', 'product')
('woman', 'report', 'increase')
('t', 'have', 'chance')
('documentation', 'have', 'investigation')
('PROPN', 'get', '%')
('cousin', 'wear', 'mask')
('investigator', 'interview', 'immigrant')
('graph', 'look', 'lag')
('graph', 'show', 'lag')
('phone', 'be', 'hook')
('view', 'do', 'view')
('rebel', 'have', 'government')
('regulation', 'call', 'hundred')
('regulation', 'drive', 'hundred')
('regulation', 'lower', 'proportion')
('PROPN', 'muscle', 'rival')
('program', 'mirror', 'other')
('family', 'have', 'tribute')
('partner', 'will', 'punter')
('couple', 'to', 'fantasy')
('airline', 'schedule', 'flight')
('commissioner', 'do', 'incentive')
('teacher', 'need', 'kick')
('PROPN', 'have', 'reactor')
('PROPN', 'take', 'place')
('PROPN', 'coax', 'performance')
('PROPN', 'have', 'importance')
('experience', 'remind', 'she')
('breaking', 'infuriate', 'military')
('PROPN', 'might', 'vote')
('PROPN', 'commit', 'itself')
('t', 'shut', 'eye')
('bird', 'provide', 'barometer')
('stimulus', 'will', 'relief')
('copper', 'climb', '3.7')
('opponent', 'have', 'trouble')
('road', 'take', 'you')
('PROPN', 'want', 'taxis')
('recommendation', 'would', 'takeover')
('home', 'take', 'week')
('group', 'have', 'point')
('PROPN', 'unearth', 'PROPN')
('withdrawal', 'have', 'shine')
('t', 'make', 'noise')
('throw', 'beat', 'runner')
('PROPN', 'be', 'way')
('PROPN', 'retain', 'control')
('PROPN', 'have', 'interest')
('mother', 'do', 'strength')
('accuser', 'bring', 'photo')
('PROPN', 'be', 'stewardship')
('PROPN', 'make', 'start')
('PROPN', 'be', 'light')
('PROPN', 'trust', 'I')
('PROPN', 'will', 'PROPN')
('PROPN', 'make', 'decision')
('PROPN', 'have', 'search')
('PROPN', 'have', 'director')
('organization', 'improve', 'health')
('research', 'challenge', 'perception')
('people', 'can', 'car')
('PROPN', 'suffer', 'injury')
('PROPN', 'have', 'fear')
('PROPN', 'have', 'right')
('PROPN', 'bet', 'pound')
('taxpayer', 'be', 'price')
('school', 'receive', 'cent')
('jury', 'convict', 'he')
('PROPN', 'have', 'intention')
('feminist', 'cite', 'history')
('segregation', 'will', 'stereotype')
('meeting', 'must', 'place')
('PROPN', 'give', 'advantage')
('PROPN', 'miss', 'shot')
('PROPN', 'commit', 'violation')
('museum', 'have', 'piece')
('PROPN', 'have', 'peace')
('review', 'could', 'examination')
('review', 'would', 'examination')
('talk', 'would', 'relation')
('people', 'become', 'nose')
('people', 'develop', 'nose')
('index', 'take', 'sample')
('government', 'could', 'access')
('PROPN', 'do', 'which')
('legislature', 'reject', 'bill')
('legislature', 'repeal', 'law')
('visit', 'give', 'taste')
('official', 'have', 'link')
('worker', 'be', 'job')
('PROPN', 'have', 'part')
('meeting', 'will', 'range')
('cost', 'decline', 'm.')
('successor', 'keep', 'nation')
('mother', 'have', 'sclerosis')
('PROPN', 'sour', 'start')
('corruption', 'have', 'confidence')
('PROPN', 'oppose', 'which')
('circus', 'engulf', 'appearance')
('t', 'have', 'long')
('bath', 'be', 'PROPN')
('PROPN', 'be', 'pace')
('mayor', 'unveil', 'statue')
('PROPN', 'have', 'order')
('marion', 'score', 'point')
('factor', 'can', 'makeup')
('president', 'announce', 'decision')
('PROPN', 'blame', 'PROPN')
('PROPN', 'have', 'test')
('PROPN', 'never', 'hesitation')
('black', 'should', 'PROPN')
('admission', 'have', 'torrent')
('admission', 'will', 'objectivity')
('PROPN', 'put', 'qualification')
('t', 'have', 'that')
('PROPN', 'take', 'look')
('people', 'can', 'that')
('PROPN', 'oppose', 'it')
('PROPN', 'do', 'flexibility')
('PROPN', 'have', 'memory')
('inflation', 'would', 'magic')
('PROPN', 'under', 'operation')
('procedure', 'will', 'place')
('coral', 'face', 'threat')
('fan', 'can', 'fun')
('event', 'call', 'attention')
('ad', 'cite', 'criticism')
('PROPN', 'squeeze', 'meeting')
('PROPN', 'make', 'plea')
('student', 'should', 'lot')
('student', 'hear', 'lot')
('student', 'think', 'lot')
('PROPN', 'do', 'honor')
('reviewer', 'must', 'profile')
('set', 'lodge', 'bleeding')
('set', 'cause', 'bleeding')
('use', 'increase', 'number')
('PROPN', 'reflect', 'heritage')
('t', 'get', 'authentique')
('worm', 'will', 'pound')
('PROPN', 'have', 'tolerance')
('PROPN', 'make', 'point')
('regulator', 'can', 'PROPN')
('judge', 'charge', 'scintilla')
('judge', 'find', 'scintilla')
('tcu', 'will', 'PROPN')
('budget', 'would', 'fund')
('painter', 'keep', 'hand')
('worker', 'lose', 'pay')
('PROPN', 'take', 'lead')
('PROPN', 'have', 'launch')
('teacher', 'reach', 'arrangement')
('t', 'see', 'front')
('lane', 'should', 'delay')
('concern', 'have', 'market')
('spike', 'could', 'insurer')
('PROPN', 'have', 'impact')
('picture', 'would', 'impact')
('researcher', 'have', 'association')
('PROPN', 'field', 'team')
('department', 'have', 'officer')
('growth', 'be', 'toll')
('PROPN', 'take', 'umbrage')
('PROPN', 'tell', 'PROPN')
('PROPN', 'have', 'opportunity')
('PROPN', 'own', 'brand')
('leader', 'have', 'release')
('gunman', 'kill', 'policeman')
('user', 'to', 'image')
('win', 'take', 'PROPN')
('rebel', 'do', 'casualty')
('company', 'slice', 'dividend')
('company', 'sell', 'billion')
('bid', 'receive', 'notice')
('authority', 'identify', 'he')
('office', 'give', 'immunity')
('mayor', 'backdate', 'signature')
('PROPN', 'say', 'what')
('PROPN', 'leave', 'band')
('band', 'have', 'candidacy')
('lawmaker', 'demand', 'audit')
('PROPN', 'recover', 'one')
('microphone', 'sound', 'menace')
('tornado', 'hit', 'night')
('PROPN', 'post', 'video')
('rain', 'have', 'risk')
('number', 'have', 'that')
('bus', 'would', 'seat')
('tabloid', 'abandon', 'support')
('development', 'leave', 'liberal')
('daughter', 'continue', 'legacy')
('PROPN', 'evaluate', 'dog')
('mother', 'welcome', 'decision')
('tonne', 'feed', 'train')
('datapoint', 'be', 'cause')
('PROPN', 'overtake', 'it')
('war', 'deserve', 'troop')
('difference', 'underline', 'inequality')
('pose', 'mask', 'style')
('rocket', 'fall', 'life')
('rocket', 'claim', 'life')
('PROPN', 'attack', 'he')
('undergraduate', 'pay', '99')
('PROPN', 'offer', 'amendment')
('t', 'add', 'drug')
('orca', 'pull', 'PROPN')
('profligacy', 'test', 'patience')
('MoD', 'to', 'spending')
('PROPN', 'join', 'wife')
('hitter', 'follow', 'game')
('exchange', 'set', 'tone')
('PROPN', 'read', 'paragraph')
('PROPN', 'have', 'support')
('group', 'run', 'programme')
('peer', 'have', 'deal')
('people', 'could', 'home')
('recommendation', 'target', 'man')
('trial', 'cover', 'man')
('PROPN', 'manage', 'one')
('PROPN', 'turn', 'it')
('event', 'take', 'place')
('people', 'have', 'police')
('PROPN', 'get', 'win')
('issue', 'outnumber', 'decliner')
('PROPN', 'can', 'information')
('PROPN', 'tell', 'demand')
('PROPN', 'lose', 'ball')
('PROPN', 'can', 'hold')
('government', 'have', 'plan')
('delegation', 'spend', 'deal')
('delegation', 'discuss', 'deal')
('t', 'relish', 'it')
('PROPN', 'come', 'hook')
('state', 'classify', 'number')
('institution', 'sever', 'dealing')
('wicket', 'fall', 'PROPN')
('PROPN', 'must', 'PROPN')
('PROPN', 'lose', 'game')
('shockwave', 'spark', 'scramble')
('content', 'have', 'translation')
('game', 'take', 'I')
('kdl-32m4000', 'deliver', 'color')
('t', 'pay', 'attention')
('suspect', 'hold', 'knife')
('salvadoran', 'worry', 'deficit')
('PROPN', 'guide', 'government')
('transaction', 'take', 'place')
('paper', 'be', 'page')
('PROPN', 'have', 'job')
('group', 'have', 'effect')
('proposal', 'would', 'many')
('proposal', 'rework', 'many')
('union', 'have', 'that')
('firm', 'have', 'job')
('people', 'would', 'stuff')
('move', 'please', 'patron')
('PROPN', 'have', 'visit')
('PROPN', 'tell', 'PROPN')
('foundation', 'give', 'what')
('customer', 'buy', 'visitor')
('century', 'take', 'PROPN')
('meeting', 'address', 'issue')
('shareholder', 'may', 'dr')
('tension', 'develop', 'stress')
('breathing', 'become', 'stress')
('bear', 'put', 'spin')
('video', 'show', 'one')
('PROPN', 'have', 'site')
('PROPN', 'voice', 'concern')
('news', 'send', 'share')
('inclusion', 'will', 'scope')
('girl', 'have', 'photographer')
('PROPN', 'use', 'PROPN')
('quarter', 'feel', 'interest')
('majority', 'show', 'interest')
('client', 'will', 'client')
('client', 'to', 'client')
('dye', 'wring', 'berry')
('dye', 'pokeweed', 'berry')
('meeting', 'will', 'chance')
('situation', 'be', 'what')
('daughter', 'cover', 'fire')
('fire', 'jump', 'road')
('daughter', 'take', 'oxygen')
('PROPN', 'will', 'race')
('group', 'be', 'involvement')
('language', 'offer', 'refuge')
('PROPN', 'estimate', 'it')
('people', 'must', 'way')
('t', 'put', 'stock')
('PROPN', 'hit', 'he')
('PROPN', 'tumble', 'he')
('PROPN', 'should', 'concord')
('PROPN', 'close', 'rank')
('consolidation', 'reflect', 'reduction')
('company', 'measure', 'game')
('leader', 'see', 'train')
('database', 'have', 'sevenfold')
('PROPN', 'buy', 'it')
('revenue', 'rise', 'it')
('PROPN', 'talk', 'way')
('PROPN', 'have', 'windfall')
('businessman', 'have', 'funding')
('towpath', 'aren', 'place')
('PROPN', 'revise', 'earning')
('word', 'be', 'authority')
('mother', 'receive', 'attention')
('PROPN', 'will', 'PROPN')
('PROPN', 'leave', 'PROPN')
('court', 'hear', 'one')
('PROPN', 'include', 'PROPN')
('research', 'indicate', 'decline')
('volume', 'make', 'distribution')
('PROPN', 'may', 'issue')
('PROPN', 'have', 'compensation')
('thousand', 'understand', 'difference')
('t', 'train', 'he')
('poop', 'coprolite', 'look')
('poop', 'be', 'look')
('PROPN', 'can', 'what')
('sender', 'have', 'e')
('head', 'urge', 'people')
('journalist', 'to', 'reporting')
('ministry', 'accuse', 'PROPN')
('firefighter', 'make', 'headway')
('person', 'pressure', 'individual')
('panel', 'hear', 'request')
('hedge', 'expect', 'loss')
('hundred', 'pour', 'uighur')
('tsunami', 'cover', 'PROPN')
('cleric', 'denounce', 'PROPN')
('investor', 'should', 'benefit')
('government', 'brand', 'inquiry')
('victorino', 'stake', 'PROPN')
('group', 'do', 'PROPN')
('investment', 'could', 'economy')
('PROPN', 'close', 'quarter')
('PROPN', 'carry', 'hand')
('PROPN', 'unveil', 'doll')
('PROPN', 'have', 'resilience')
('PROPN', 'need', 'it')
('PROPN', 'mishit', 'return')
('actor', 'take', 'super')
('PROPN', 'to', 'PROPN')
('PROPN', 'settle', 'PROPN')
('association', 'take', 'case')
('PROPN', 'run', 'gunpowder')
('PROPN', 'could', 'gunpowder')
('PROPN', 'tell', 'she')
('PROPN', 'have', 'connection')
('PROPN', 'have', 'most')
('heart', 'skip', 'beat')
('PROPN', 'outline', 'that')
('PROPN', 'have', 'hit')
('PROPN', 'salad', 'it')
('PROPN', 'charge', 'it')
('dunk', 'tie', 'score')
('dunk', 'put', '76er')
('people', 'earn', 'sum')
('PROPN', 'drain', 'pointer')
('PROPN', 'repeat', 'statement')
('report', 'show', 'term')
('child', 'cross', 'street')
('parent', 'to', 'child')
('PROPN', 'tell', 'parent')
('PROPN', 'offer', 'song')
('PROPN', 'deaden', 'herself')
('lender', 'report', 'rise')
('PROPN', 'release', '12')
('PROPN', 'turn', 'lap')
('failure', 'show', 'flaw')
('dialogue', 'consider', 'side')
('PROPN', 'be', 'piece')
('PROPN', 'tell', 'PROPN')
('world', 'have', 'choice')
('PROPN', 'have', 'which')
('PROPN', 'could', 'which')
('PROPN', 'regard', 'island')
('PROPN', 'have', 'itself')
('PROPN', 'got', 'problem')
('PROPN', 'do', 'problem')
('PROPN', 'have', 'dollar')
('result', 'cheer', 'shareholder')
('PROPN', 'have', 'detail')
('guest', 'be', 'gym')
('guest', 'can', 'gym')
('man', 'could', 'job')
('visitor', 'do', 'anything')
('observer', 'may', 'whatever')
('spectator', 'have', 'time')
('analyst', 'tell', 'newspaper')
('interpreter', 'tell', 'PROPN')
('senior', 'fall', 'victim')
('half', 'carry', 'copy')
('restaurant', 'seal', 'deal')
('restaurant', 'have', 'deal')
('tourist', 'have', 'gunman')
('authority', 'summon', 'assistant')
('authority', 'hand', 'letter')
('spell', 'inspire', 'he')
('time', 'hold', 'spot')
('PROPN', 'drop', 'spot')
('company', 'have', 'profiling')
('PROPN', 'have', 'that')
('government', 'do', 'nothing')
('PROPN', 'help', 'you')
('PROPN', 'track', 'artist')
('PROPN', 'share', 'photo')
('bugler', 'sound', 'retreat')
('office', 'decline', 'comment')
('failure', 'might', 'victory')
('PROPN', 'find', 'way')
('Police', 'question', 'man')
('other', 'have', 'family')
('PROPN', 'have', 'job')
('PROPN', 'do', 'more')
('PROPN', 'use', 'milk')
('people', 'to', 'I')
('adventurer', 'tell', 'PROPN')
('businessman', 'have', 'plea')
('espresso', 'shake', 'hangover')
('developer', 'boost', 'construction')
('PROPN', 'will', 'care')
('PROPN', 'must', 'game')
('PROPN', 'start', 'final')
('PROPN', 'reach', 'final')
('plan', 'would', 'some')
('publisher', 'have', 'overhead')
('publisher', 'cut', 'job')
('PROPN', 'might', 'relationship')
('bank', 'enroll', 'customer')
('punishment', 'would', 'fine')
('PROPN', 'could', 'much')
('agent', 'blame', 'drop')
('PROPN', 'give', 'packet')
('PROPN', 'take', 'someone')
('PROPN', 'give', 'run')
('musician', 'sing', 'type')
('state', 'may', 'drought')
('PROPN', 'have', 'gas')
('t', 'have', 'quality')
('government', 'have', 'crisis')
('incident', 'spark', 'row')
('other', 'be', 'charge')
('t', 'enjoy', 'training')
('silverman', 'should', 'it')
('journalist', 'have', 'room')
('rest', 'abandon', 'instrument')
('PROPN', 'meet', 'rifle')
('court', 'annul', 'decree')
('PROPN', 'could', 'plebiscite')
('PROPN', 'produce', 'documentary')
('PROPN', 'complete', 'research')
('official', 'tell', 'PROPN')
('PROPN', 'take', 'this')
('PROPN', 'have', 'attorney')
('movement', 'have', 'momentum')
('prosecution', 'accept', 'plea')
('t', 'take', 'rest')
('officer', 'discuss', 'danger')
('investor', 'be', 'place')
('guest', 'sit', 'stockpot')
('guest', 'restock', 'stockpot')
('change', 'might', 'introduction')
('authority', 'to', 'tier')
('supervisor', 'make', 'determination')
('bank', 'meet', 'condition')
('government', 'order', 'closing')
('PROPN', 'have', 'death')
('Rehn', 'have', 'hope')
('PROPN', 'buy', 'building')
('PROPN', 'will', '1,000')
('consumer', 'to', 'vehicle')
('consumer', 'buy', 'one')
('quest', 'could', 'costumer')
('economy', 'lose', 'job')
('ruling', 'will', 'impact')
('PROPN', 'never', 'solution')
('PROPN', 'have', 'solution')
('PROPN', 'include', 'member')
('official', 'accuse', 'whom')
('PROPN', 'take', 'responsibility')
('debtor', 'have', 'PROPN')
('PROPN', 'be', 'history')
('shareholder', 'leave', 'board')
('group', 'will', 'recommendation')
('advantage', 'reinforce', 'themselves')
('people', 'have', 'which')
('period', 'affect', 'PROPN')
('party', 'would', 'stadium')
('door', 'have', 'sort')
('t', 'buy', 'it')
('average', 'add', 'point')
('bank', 'have', 'bad')
('PROPN', 'have', 'PROPN')
('lawyer', 'express', 'disappointment')
('statement', 'criticise', 'government')
('campaign', 'can', 'role')
('council', 'send', 'e')
('state', 'create', 'license')
('PROPN', 'beat', 'PROPN')
('decision', 'do', 'participation')
('ant', 'spread', 'sperm')
('PROPN', 'have', 'PROPN')
('PROPN', 'own', 'PROPN')
('PROPN', 'have', 'I')
('man', 'would', 'himself')
('PROPN', 'oversee', 'workforce')
('blogger', 'compare', 'verdict')
('PROPN', 'write', 'letter')
('security', 'will', 'investor')
('board', 'have', 'courage')
('PROPN', 'break', 'serve')
('kid', 'be', 'it')
('PROPN', 'conduct', 'test')
('investor', 'be', 'figure')
('oasis', 'have', 'community')
('PROPN', 'have', 'child')
('word', 'lose', 'meaning')
('right', 'care', 'anything')
('right', 'know', 'anything')
('film', 'have', 'feeling')
('PROPN', 'attribute', 'takeoff')
('loot', 'leave', 'town')
('government', 'have', 'policy')
('source', 'recall', 'bombing')
('official', 'link', 'which')
('PROPN', 'arrest', 'PROPN')
('PROPN', 'need', 'approval')
('election', 'will', 'makeup')
('movie', 'end', 'run')
('game', 'cap', 'minicamp')
('PROPN', 'be', 'which')
('PROPN', 'slam', 'fastball')
('model', 'have', 'right')
('t', 'understand', 'most')
('retailer', 'begin', 'test')
('criminal', 'break', 'law')
('criminal', 'have', 'gun')
('cousin', 'tell', 'he')
('PROPN', 'retain', 'edge')
('judge', 'cap', 'amount')
('scout', 'have', 'he')
('recall', 'affect', 'device')
('announcement', 'catch', 'most')
('PROPN', 'signal', 'interest')
('PROPN', 'receive', 'none')
('patient', 'can', 'use')
('fortson', 'score', 'point')
('PROPN', 'could', 'euro')
('total', 'hit', 'ship')
('couple', 'spend', 'year')
('PROPN', 'be', 'decision')
('PROPN', 'be', 'school')
('People', 'have', 'symptom')
('PROPN', 'would', 'business')
('PROPN', 'suffer', 'loss')
('PROPN', 'do', 'what')
('tribesman', 'guard', 'it')
('tribesman', 'operate', 'it')
('people', 'to', 'money')
('dip', 'do', 'pressure')
('aa', 'warn', 'motorist')
('PROPN', 'cut', 'lead')
('point', 'leave', 'kick')
('PROPN', 'launch', 'commercial')
('mother', 'care', 'nothing')
('problem', 'have', 'absence')
('PROPN', 'represent', 'eighth')
('PROPN', 'rover', 'PROPN')
('PROPN', 'employ', 'staff')
('call', 'have', 'observer')
('crisis', 'slam', 'economy')
('PROPN', 'search', 'shore')
('PROPN', 'have', 'billionaire')
('result', 'highlight', 'risk')
('customer', 'choose', 'dot')
('customer', 'click', 'dot')
('officer', 'direct', 'patrol')
('name', 'mean', 'stone')
('researcher', 'assess', 'man')
('partisanship', 'might', 'bit')
('estimate', 'have', 'toll')
('PROPN', 'will', 'PROPN')
('couple', 'have', 'car')
('state', 'produce', 'parade')
('campaign', 'have', 'future')
('corporation', 'could', 'cost')
('national', 'bring', 'village')
('people', 'have', 'training')
('campus', 'seek', 'education')
('recession', 'strike', 'region')
('PROPN', 'have', 'choice')
('settlement', 'would', 'system')
('audience', 'trust', 'vision')
('audience', 'share', 'vision')
('government', 'be', 'that')
('PROPN', 'call', 'PROPN')
('agent', 'tell', 'they')
('PROPN', 'kick', 'PROPN')
('man', 'commit', 'suicide')
('government', 'order', 'closure')
('PROPN', 'have', 'effort')
('PROPN', 'accuse', 'that')
('PROPN', 'will', 'service')
('company', 'have', 'pollution')
('people', 'do', 'thing')
('people', 'learn', 'government')
('PROPN', 'owe', '77,506')
('momentum', 'have', 'PROPN')
('PROPN', 'mark', 'step')
('cocaine', 'could', 'amphetamine')
('prosecutor', 'say', 'PROPN')
('PROPN', 'do', 'smoking')
('alliance', 'will', 'user')
('user', 'can', 'criterion')
('snowfall', 'stop', 'operation')
('mourner', 'place', 'candle')
('villager', 'be', 'tunnel')
('customer', 'have', 'software')
('accord', 'have', 'fire')
('game', 'average', 'home')
('game', 'average', 'home')
('PROPN', 'have', 'mistake')
('bank', 'will', 'penalty')
('player', 'can', 'that')
('PROPN', 'have', 'announcement')
('officer', 'receive', 'injury')
('burglary', 'have', 'police')
('police', 'receive', 'report')
('PROPN', 'accompany', 'PROPN')
('president', 'initiate', 'review')
('suspect', 'to', 'plane')
('farmer', 'to', 'piece')
('PROPN', 'tell', 'reporter')
('shutdown', 'will', 'worker')
('PROPN', 'miss', 'defense')
('farm', 'will', 'csa')
('injury', 'may', 'person')
('PROPN', 'send', 'he')
('PROPN', 'see', 'what')
('eye', 'reflect', 'emotion')
('PROPN', 'cause', 'bleeding')
('t', 'leave', 'defense')
('t', 'improve', 'defense')
('director', 'flee', 'PROPN')
('PROPN', 'turn', 'management')
('t', 'get', 'it')
('t', 'draw', 'diagram')
('t', 'eat', 'it')
('PROPN', 'face', 'fine')
('man', 'enter', 'mine')
('firefighter', 'send', 'water')
('court', 'will', 'sentence')
('PROPN', 'direct', 'change')
('PROPN', 'file', 'right')
('brother', 'direct', 'drama')
('PROPN', 'lead', 'PROPN')
('PROPN', 'have', 'support')
('PROPN', 'allow', 'application')
('PROPN', 'have', 'part')
('strategy', 'have', 'status')
('current', 'would', 'he')
('PROPN', 'could', 'share')
('ton', 'come', 'ton')
('leader', 'can', 'people')
('PROPN', 'bemoan', 'turnover')
('PROPN', 'have', 'alliance')
('people', 'be', 'noroviru')
('PROPN', 'might', 'PROPN')
('t', 'tell', 'wife')
('tour', 'guide', 'talk')
('PROPN', 'walk', 'fire')
('PROPN', 'open', 'fire')
('plan', 'draw', 'criticism')
('PROPN', 'confirm', 'themselves')
('staffer', 'deny', 'that')
('parent', 'be', 'roommate')
('firework', 'set', 'room')
('poll', 'record', 'half')
('twin', 'play', 'baseball')
('minority', 'denounce', 'it')
('PROPN', 'blame', 'wife')
