('mildness', 'mean', 'school')
('region', 'place', 'burden')
('figure', 'show', 'loss')
('PROPN', 'could', 'that')
('father', 'emigrate', 'PROPN')
('father', 'master', 'PROPN')
('other', 'add', 'sugar')
('PROPN', 'be', 'show')
('statement', 'involve', 'risk')
('arm', 'to', 'PROPN')
('student', 'stick', 'finger')
('law', 'require', 'he')
('PROPN', 'contradict', 'PROPN')
('ship', 'will', 'cargo')
('stock', 'gain', '2.28')
('PROPN', 'aim', 'soldier')
('PROPN', 'fell', 'soldier')
('PROPN', 'have', 'tarmac')
('PROPN', 'report', 'result')
('superdelegate', 'to', 'decision')
('development', 'have', 'I')
('PROPN', 'tell', 'detective')
('prince', 'visit', 'capital')
('PROPN', 'have', 'reputation')
('design', 'have', 'reputation')
('firm', 'raise', 'suspicion')
('t', 'get', 'salary')
('forecaster', 'call', 'current')
('PROPN', 'may', 'future')
('governor', 'offer', 'account')
('PROPN', 'have', 'issue')
('people', 'make', 'he')
('company', 'be', 'regulator')
('t', 'give', 'money')
('office', 'have', 'comment')
('wisdom', 'have', 'it')
('PROPN', 'tell', 'court')
('PROPN', 'begin', 'negotiation')
('talk', 'have', 'roadblock')
('PROPN', 'remain', 'negotiation')
('student', 'call', 'home')
('datum', 'show', 'ratio')
('water', 'to', 'nose')
('tap', 'can', 'water')
('PROPN', 'shoot', 'PROPN')
('people', 'lose', 'life')
('PROPN', 'block', 'shot')
('word', 'contain', 'element')
('fee', 'will', 'sale')
('PROPN', 'have', 'factory')
('terrorist', 'do', 'bomb')
('label', 'contain', 'warning')
('offer', 'value', 'percent')
('manager', 'tell', 'inquiry')
('troll', 'can', 'opportunity')
('majority', 'paste', 'opportunity')
('majority', 'await', 'opportunity')
('erosion', 'erode', 'marsh')
('PROPN', 'escape', 'trouble')
('scale', 'have', 'shame')
('leper', 'be', 'treatment')
('kind', 'do', 'work')
('sculpture', 'have', 'thing')
('PROPN', 'fire', 'lawyer')
('PROPN', 'match', 'mood')
('people', 'turn', 'that')
('PROPN', 'be', 'war')
('creation', 'do', 'what')
('automaker', 'have', 'discount')
('automaker', 'shut', 'plant')
('declaration', 'raise', 'issue')
('group', 'will', 'decision')
('PROPN', 'say', 'people')
('people', 'have', 'creativity')
('difficulty', 'illustrate', 'awareness')
('PROPN', 'have', 'whom')
('PROPN', 'orbit', 'PROPN')
('PROPN', 'blame', 'PROPN')
('patient', 'endure', 'hospitalization')
('law', 'will', 'reduction')
('law', 'cause', 'reduction')
('startup', 'offer', 'game')
('organization', 'facilitate', 'communication')
('PROPN', 'draw', 'nomination')
('PROPN', 'receive', 'nod')
('neighbour', 'repeat', 'allegation')
('country', 'must', 'role')
('ranger', 'take', 'lead')
('PROPN', 'edge', 'PROPN')
('existence', 'might', 'donation')
('search', 'have', 'link')
('mother', 'do', 'what')
('cup', 'cut', 'soap')
('consultant', 'be', 'interpreter')
('consultant', 'forge', 'alliance')
('PROPN', 'belittle', 'experience')
('nominee', 'have', 'memoir')
('head', 'break', 'cover')
('police', 'aren', 't')
('detective', 'have', 'claim')
('decision', 'will', 'nation')
('birthplace', 'be', 'service')
('study', 'point', 'offender')
('PROPN', 'make', 'he')
('PROPN', 'have', 'bundle')
('firefighter', 'reach', 'scene')
('people', 'do', 'PROPN')
('researcher', 'record', 'instance')
('milestone', 'turn', '50')
('milestone', 'mean', 'what')
('t', 'have', 'gulf')
('PROPN', 'open', 'talk')
('PROPN', 'want', 'PROPN')
('airport', 'have', 'gun')
('blizzard', 'compound', 'effect')
('kid', 'age', 'six')
('PROPN', 'to', 'war')
('military', 'annul', 'result')
('bank', 'deny', 'report')
('neck', 'pinch', 'bit')
('family', 'call', 'whom')
('lawmaker', 'end', 'boycott')
('thought', 'frighten', 'I')
('blog', 'note', 'propensity')
('council', 'be', '400,000')
('customer', 'to', 'product')
('woman', 'take', 'flibanserin')
('caller', 'should', '0962')
('documentation', 'have', 'investigation')
('PROPN', 'get', '%')
('t', 'hit', 'wealthy')
('investigator', 'interview', 'immigrant')
('graph', 'look', 'lag')
('graph', 'show', 'lag')
('phone', 'be', 'hook')
('sentiment', 'do', 'those')
('view', 'do', 'view')
('rebel', 'have', 'government')
('t', 'mention', 'past')
('regulation', 'drive', 'hundred')
('regulation', 'lower', 'proportion')
('PROPN', 'muscle', 'rival')
('program', 'mirror', 'other')
('family', 'have', 'tribute')
('partner', 'will', 'punter')
('patient', 'have', 'care')
('airline', 'schedule', 'flight')
('commissioner', 'do', 'incentive')
('teacher', 'need', 'kick')
('PROPN', 'have', 'reactor')
('PROPN', 'take', 'place')
('PROPN', 'coax', 'performance')
('PROPN', 'have', 'importance')
('experience', 'remind', 'she')
('breaking', 'infuriate', 'military')
('PROPN', 'might', 'vote')
('PROPN', 'commit', 'itself')
('t', 'shut', 'eye')
('PROPN', 'provide', 'barometer')
('way', 'be', 'biodiversity')
('stimulus', 'will', 'relief')
('share', 'sit', 'yield')
('share', 'offer', 'yield')
('gold', 'to', '4,000')
('gold', 'rise', '4,000')
('opponent', 'have', 'trouble')
('road', 'take', 'you')
('recommendation', 'would', 'takeover')
('home', 'take', 'week')
('group', 'have', 'point')
('PROPN', 'unearth', 'PROPN')
('withdrawal', 'have', 'shine')
('throw', 'beat', 'runner')
('PROPN', 'be', 'way')
('PROPN', 'retain', 'control')
('PROPN', 'have', 'interest')
('mother', 'do', 'strength')
('accuser', 'bring', 'photo')
('PROPN', 'be', 'stewardship')
('wasp', 'make', 'start')
('PROPN', 'be', 'light')
('PROPN', 'will', 'amnesia')
('PROPN', 'make', 'decision')
('PROPN', 'have', 'search')
('PROPN', 'have', 'director')
('research', 'challenge', 'perception')
('people', 'can', 'car')
('PROPN', 'suffer', 'injury')
('PROPN', 'have', 'fear')
('PROPN', 'have', 'right')
('taxpayer', 'be', 'price')
('mantra', 'help', 'pain')
('mantra', 'ease', 'problem')
('school', 'receive', 'cent')
('jury', 'convict', 'he')
('PROPN', 'have', 'intention')
('PROPN', 'enter', 'room')
('leader', 'cite', 'history')
('segregation', 'will', 'stereotype')
('meeting', 'must', 'place')
('airliner', 'carry', 'chief')
('PROPN', 'give', 'advantage')
('PROPN', 'miss', 'shot')
('PROPN', 'commit', 'violation')
('museum', 'have', 'piece')
('PROPN', 'have', 'peace')
('review', 'could', 'examination')
('review', 'would', 'examination')
('talk', 'would', 'relation')
('index', 'take', 'sample')
('government', 'could', 'access')
('PROPN', 'do', 'which')
('legislature', 'reject', 'bill')
('legislature', 'repeal', 'law')
('visit', 'give', 'taste')
('official', 'have', 'link')
('worker', 'be', 'job')
('PROPN', 'have', 'part')
('meeting', 'will', 'range')
('cost', 'decline', 'm.')
('PROPN', 'run', 'PROPN')
('successor', 'keep', 'nation')
('mother', 'have', 'sclerosis')
('PROPN', 'sour', 'start')
('corruption', 'have', 'confidence')
('PROPN', 'oppose', 'which')
('circus', 'engulf', 'appearance')
('t', 'have', 'long')
('bath', 'be', 'PROPN')
('PROPN', 'be', 'pace')
('mayor', 'unveil', 'statue')
('construction', 'post', 'increase')
('PROPN', 'have', 'order')
('PROPN', 'score', 'point')
('factor', 'can', 'makeup')
('president', 'announce', 'decision')
('none', 'will', 'mention')
('PROPN', 'blame', 'PROPN')
('PROPN', 'have', 'test')
('PROPN', 'never', 'hesitation')
('black', 'should', 'PROPN')
('admission', 'have', 'torrent')
('PROPN', 'put', 'qualification')
('t', 'have', 'that')
('PROPN', 'take', 'look')
('people', 'can', 'that')
('industry', 'employ', 'worker')
('PROPN', 'oppose', 'it')
('PROPN', 'do', 'flexibility')
('PROPN', 'have', 'memory')
('inflation', 'would', 'magic')
('PROPN', 'go', 'operation')
('procedure', 'will', 'place')
('coral', 'face', 'threat')
('fan', 'can', 'fun')
('event', 'call', 'attention')
('ad', 'cite', 'criticism')
('student', 'should', 'lot')
('student', 'hear', 'lot')
('student', 'think', 'lot')
('PROPN', 'do', 'honor')
('PROPN', 'have', 'himself')
('reviewer', 'must', 'profile')
('set', 'lodge', 'bleeding')
('set', 'cause', 'bleeding')
('use', 'increase', 'number')
('worm', 'will', 'pound')
('PROPN', 'have', 'tolerance')
('PROPN', 'make', 'point')
('regulator', 'can', 'PROPN')
('judge', 'charge', 'scintilla')
('judge', 'find', 'scintilla')
('PROPN', 'will', 'PROPN')
('budget', 'would', 'fund')
('worker', 'lose', 'pay')
('PROPN', 'take', 'lead')
('PROPN', 'have', 'launch')
('teacher', 'reach', 'arrangement')
('t', 'don', 'front')
('lane', 'should', 'delay')
('concern', 'have', 'market')
('spike', 'could', 'insurer')
('PROPN', 'have', 'impact')
('picture', 'would', 'impact')
('researcher', 'have', 'association')
('PROPN', 'field', 'team')
('department', 'have', 'officer')
('PROPN', 'have', 'people')
('growth', 'be', 'toll')
('PROPN', 'take', 'umbrage')
('PROPN', 'tell', 'PROPN')
('PROPN', 'own', 'brand')
('leader', 'have', 'release')
('gunman', 'kill', 'policeman')
('user', 'to', 'image')
('win', 'take', 'PROPN')
('rebel', 'do', 'casualty')
('company', 'slice', 'dividend')
('company', 'sell', 'billion')
('authority', 'identify', 'he')
('office', 'give', 'immunity')
('mayor', 'backdate', 'signature')
('amount', 'increase', 'multifold')
('PROPN', 'say', 'what')
('PROPN', 'leave', 'band')
('band', 'have', 'candidacy')
('lawmaker', 'demand', 'audit')
('PROPN', 'have', 'pass')
('PROPN', 'recover', 'one')
('department', 'disburse', '300')
('microphone', 'sound', 'menace')
('tornado', 'hit', 'night')
('PROPN', 'post', 'video')
('rain', 'have', 'risk')
('bus', 'would', 'seat')
('tabloid', 'abandon', 'support')
('development', 'leave', 'liberal')
('year', 'average', 'percent')
('daughter', 'continue', 'legacy')
('PROPN', 'evaluate', 'dog')
('mother', 'welcome', 'decision')
('PROPN', 'be', 'message')
('PROPN', 'have', 'entrance')
('tonne', 'feed', 'train')
('datapoint', 'be', 'cause')
('PROPN', 'overtake', 'it')
('difference', 'underline', 'inequality')
('pose', 'mask', 'style')
('rocket', 'fall', 'life')
('rocket', 'claim', 'life')
('PROPN', 'attack', 'he')
('undergraduate', 'pay', '99')
('PROPN', 'offer', 'amendment')
('PROPN', 'report', 'profit')
('orca', 'pull', 'PROPN')
('profligacy', 'test', 'patience')
('man', 'to', 'round')
('mod', 'to', 'spending')
('family', 'to', 'burglar')
('t', 'join', 'wife')
('hitter', 'follow', 'game')
('exchange', 'set', 'tone')
('PROPN', 'read', 'paragraph')
('PROPN', 'have', 'trouble')
('PROPN', 'have', 'support')
('group', 'run', 'programme')
('peer', 'have', 'deal')
('people', 'could', 'home')
('recommendation', 'target', 'man')
('trial', 'cover', 'man')
('PROPN', 'manage', 'shot')
('PROPN', 'turn', 'it')
('event', 'take', 'place')
('people', 'have', 'police')
('PROPN', 'get', 'win')
('issue', 'outnumber', 'decliner')
('PROPN', 'can', 'information')
('PROPN', 'tell', 'demand')
('PROPN', 'lose', 'ball')
('PROPN', 'can', 'hold')
('government', 'have', 'plan')
('delegation', 'spend', 'week')
('delegation', 'discuss', 'deal')
('t', 'didn', 'it')
('PROPN', 'come', 'one')
('state', 'classify', 'number')
('debt', 'have', 'pride')
('institution', 'sever', 'dealing')
('wicket', 'fall', 'PROPN')
('PROPN', 'must', 'PROPN')
('PROPN', 'lose', 'game')
('shockwave', 'spark', 'scramble')
('content', 'have', 'translation')
('game', 'take', 'I')
('kdl-32m4000', 'deliver', 'color')
('t', 'pay', 'attention')
('suspect', 'hold', 'knife')
('PROPN', 'guide', 'government')
('transaction', 'take', 'place')
('paper', 'be', 'page')
('PROPN', 'have', 'job')
('group', 'have', 'effect')
('glut', 'be', 'bag')
('glut', 'slogan', 'bag')
('proposal', 'would', 'many')
('proposal', 'rework', 'many')
('union', 'have', 'objectionable')
('firm', 'have', 'job')
('people', 'would', 'stuff')
('move', 'please', 'patron')
('PROPN', 'have', 'visit')
('PROPN', 'tell', 'PROPN')
('foundation', 'give', 'what')
('customer', 'buy', 'visitor')
('century', 'take', 'PROPN')
('meeting', 'address', 'issue')
('shareholder', 'may', 'dr')
('tension', 'develop', 'stress')
('breathing', 'become', 'stress')
('bear', 'put', 'spin')
('video', 'show', 'one')
('PROPN', 'have', 'site')
('PROPN', 'voice', 'concern')
('news', 'send', 'share')
('inclusion', 'will', 'scope')
('girl', 'have', 'photographer')
('majority', 'feel', 'interest')
('majority', 'show', 'interest')
('client', 'will', 'client')
('client', 'to', 'client')
('meeting', 'will', 'chance')
('situation', 'be', 'what')
('daughter', 'cover', 'fire')
('fire', 'jump', 'road')
('daughter', 'take', 'oxygen')
('PROPN', 'will', 'race')
('group', 'be', 'involvement')
('language', 'offer', 'refuge')
('PROPN', 'estimate', 'it')
('people', 'must', 'way')
('people', 'to', 'confine')
('t', 'put', 'stock')
('PROPN', 'hit', 'he')
('PROPN', 'tumble', 'he')
('PROPN', 'should', 'PROPN')
('PROPN', 'close', 'rank')
('consolidation', 'reflect', 'reduction')
('company', 'measure', 'game')
('leader', 'see', 'train')
('database', 'have', 'sevenfold')
('PROPN', 'buy', 'it')
('revenue', 'rise', 'it')
('PROPN', 'talk', 'way')
('specie', 'could', 'area')
('PROPN', 'have', 'windfall')
('businessman', 'have', 'funding')
('PROPN', 'revise', 'earning')
('word', 'be', 'authority')
('mother', 'receive', 'attention')
('change', 'will', 'PROPN')
('change', 'leave', 'PROPN')
('PROPN', 'include', 'PROPN')
('research', 'indicate', 'decline')
('PROPN', 'may', 'issue')
('PROPN', 'have', 'compensation')
('thousand', 'understand', 'difference')
('t', 'train', 'he')
('poop', 'be', 'look')
('PROPN', 'can', 'what')
('sender', 'have', 'e')
('head', 'urge', 'people')
('journalist', 'to', 'reporting')
('ministry', 'accuse', 'PROPN')
('firefighter', 'make', 'headway')
('People', 'round', 'uighur')
('tsunami', 'cover', 'PROPN')
('cleric', 'denounce', 'PROPN')
('investor', 'should', 'benefit')
('government', 'brand', 'inquiry')
('clot', 'block', 'artery')
('PROPN', 'stake', 'PROPN')
('group', 'do', 'PROPN')
('investment', 'could', 'economy')
('PROPN', 'close', 'quarter')
('PROPN', 'carry', 'hand')
('thing', 'look', 'bleak')
('PROPN', 'unveil', 'doll')
('PROPN', 'have', 'resilience')
('PROPN', 'need', 'it')
('PROPN', 'mishit', 'return')
('PROPN', 'climb', 'winner')
('PROPN', 'put', 'winner')
('actor', 'take', 'super')
('PROPN', 'to', 'PROPN')
('PROPN', 'settle', 'PROPN')
('association', 'take', 'case')
('PROPN', 'run', 'gunpowder')
('PROPN', 'could', 'gunpowder')
('PROPN', 'tell', 'she')
('PROPN', 'have', 'connection')
('PROPN', 'have', 'most')
('heart', 'skip', 'beat')
('PROPN', 'outline', 'that')
('t', 'don', 'it')
('PROPN', 'have', 'hit')
('act', 'to', 'project')
('dunk', 'put', '76er')
('stimulus', 'fail', 'time')
('people', 'earn', 'sum')
('PROPN', 'drain', 'pointer')
('PROPN', 'repeat', 'statement')
('report', 'show', 'term')
('parent', 'to', 'child')
('PROPN', 'tell', 'parent')
('PROPN', 'offer', 'song')
('PROPN', 'deaden', 'herself')
('lender', 'report', 'rise')
('PROPN', 'release', '12')
('PROPN', 'turn', 'lap')
('failure', 'show', 'flaw')
('dialogue', 'consider', 'side')
('PROPN', 'be', 'piece')
('PROPN', 'tell', 'PROPN')
('world', 'have', 'choice')
('officer', 'find', 'which')
('officer', 'could', 'which')
('PROPN', 'regard', 'island')
('PROPN', 'have', 'itself')
('employee', 'do', 'sex')
('candidate', 'would', 'billion')
('camera', 'got', 'problem')
('PROPN', 'do', 'problem')
('PROPN', 'have', 'dollar')
('result', 'cheer', 'shareholder')
('PROPN', 'have', 'detail')
('guest', 'be', 'gym')
('guest', 'can', 'gym')
('man', 'could', 'job')
('truffle', 'abound', 'that')
('visitor', 'do', 'anything')
('spectator', 'have', 'time')
('analyst', 'tell', 'newspaper')
('pensioner', 'put', 'coma')
('interpreter', 'tell', 'PROPN')
('half', 'carry', 'copy')
('PROPN', 'seal', 'deal')
('restaurant', 'have', 'deal')
('tourist', 'have', 'gunman')
('authority', 'summon', 'assistant')
('authority', 'hand', 'letter')
('spell', 'inspire', 'he')
('company', 'have', 'profiling')
('PROPN', 'have', 'that')
('government', 'do', 'nothing')
('government', 'encourage', 'it')
('bugler', 'sound', 'retreat')
('office', 'decline', 'comment')
('failure', 'might', 'victory')
('PROPN', 'find', 'way')
('Police', 'question', 'man')
('other', 'have', 'family')
('PROPN', 'have', 'job')
('PROPN', 'do', 'more')
('PROPN', 'use', 'milk')
('people', 'to', 'I')
('adventurer', 'tell', 'PROPN')
('businessman', 'have', 'plea')
('PROPN', 'shake', 'hangover')
('developer', 'boost', 'construction')
('PROPN', 'will', 'care')
('PROPN', 'must', 'game')
('plan', 'would', 'some')
('publisher', 'have', 'overhead')
('publisher', 'cut', 'job')
('PROPN', 'announce', 'designation')
('PROPN', 'might', 'relationship')
('bank', 'enroll', 'customer')
('punishment', 'would', 'fine')
('PROPN', 'could', 'much')
('agent', 'blame', 'drop')
('PROPN', 'give', 'packet')
('PROPN', 'take', 'someone')
('PROPN', 'give', 'run')
('musician', 'sing', 'type')
('PROPN', 'have', 'gas')
('t', 'have', 'quality')
('government', 'have', 'crisis')
('incident', 'spark', 'row')
('other', 'be', 'charge')
('PROPN', 'should', 'it')
('journalist', 'have', 'room')
('rest', 'abandon', 'instrument')
('PROPN', 'meet', 'rifle')
('court', 'annul', 'decree')
('PROPN', 'could', 'plebiscite')
('PROPN', 'produce', 'documentary')
('PROPN', 'complete', 'research')
('official', 'tell', 'PROPN')
('PROPN', 'take', 'this')
('PROPN', 'have', 'attorney')
('movement', 'have', 'momentum')
('prosecution', 'accept', 'plea')
('officer', 'discuss', 'danger')
('investor', 'be', 'place')
('guest', 'sit', 'slack')
('change', 'might', 'introduction')
('supervisor', 'make', 'determination')
('government', 'order', 'closing')
('PROPN', 'have', 'death')
('PROPN', 'have', 'hope')
('PROPN', 'buy', 'building')
('PROPN', 'will', '1,000')
('consumer', 'to', 'vehicle')
('consumer', 'buy', 'one')
('quest', 'could', 'costumer')
('economy', 'lose', 'job')
('ruling', 'will', 'impact')
('PROPN', 'never', 'solution')
('PROPN', 'have', 'solution')
('acquisition', 'to', 'entry')
('PROPN', 'include', 'member')
('official', 'accuse', 'whom')
('PROPN', 'take', 'responsibility')
('debtor', 'have', 'PROPN')
('PROPN', 'be', 'history')
('shareholder', 'leave', 'board')
('group', 'will', 'recommendation')
('advantage', 'reinforce', 'themselves')
('people', 'have', 'which')
('PROPN', 'be', 'way')
('party', 'would', 'stadium')
('door', 'have', 'sort')
('t', 'buy', 'it')
('average', 'add', 'point')
('bank', 'have', 'bad')
('PROPN', 'have', 'PROPN')
('lawyer', 'express', 'disappointment')
('statement', 'criticise', 'government')
('campaign', 'can', 'role')
('council', 'send', 'e')
('state', 'create', 'license')
('state', 'secure', 'credential')
('PROPN', 'beat', 'PROPN')
('decision', 'do', 'participation')
('ant', 'spread', 'sperm')
('bidder', 'ratchet', 'demand')
('PROPN', 'have', 'PROPN')
('PROPN', 'own', 'PROPN')
('PROPN', 'have', 'I')
('man', 'would', 'himself')
('sergeant', 'destroy', 'career')
('PROPN', 'do', 'PROPN')
('PROPN', 'oversee', 'workforce')
('blogger', 'compare', 'verdict')
('PROPN', 'write', 'letter')
('security', 'will', 'investor')
('board', 'have', 'courage')
('PROPN', 'break', 'serve')
('kid', 'be', 'it')
('PROPN', 'conduct', 'test')
('investor', 'be', 'figure')
('oasis', 'have', 'community')
('PROPN', 'have', 'child')
('word', 'lose', 'meaning')
('right', 'care', 'anything')
('right', 'know', 'anything')
('film', 'have', 'feeling')
('PROPN', 'attribute', 'takeoff')
('business', 'write', 'down')
('government', 'have', 'policy')
('government', 'stimulate', 'growth')
('source', 'recall', 'bombing')
('official', 'link', 'which')
('PROPN', 'arrest', 'PROPN')
('PROPN', 'need', 'approval')
('election', 'will', 'makeup')
('movie', 'end', 'run')
('game', 'cap', 'minicamp')
('militant', 'wreck', 'that')
('PROPN', 'slam', 'fastball')
('model', 'have', 'right')
('t', 'understand', 'most')
('retailer', 'begin', 'test')
('criminal', 'break', 'law')
('criminal', 'have', 'gun')
('cousin', 'tell', 'he')
('PROPN', 'retain', 'edge')
('scout', 'have', 'he')
('recall', 'affect', 'device')
('announcement', 'catch', 'most')
('PROPN', 'signal', 'interest')
('PROPN', 'receive', 'none')
('patient', 'can', 'year')
('fortson', 'score', 'point')
('slab', 'could', 'euro')
('globalization', 'can', 'bite')
('total', 'hit', 'ship')
('couple', 'spend', 'year')
('PROPN', 'be', 'decision')
('PROPN', 'be', '5.25')
('People', 'have', 'symptom')
('PROPN', 'would', 'business')
('PROPN', 'suffer', 'loss')
('PROPN', 'do', 'what')
('tribesman', 'guard', 'it')
('tribesman', 'operate', 'it')
('people', 'to', 'money')
('dip', 'do', 'pressure')
('PROPN', 'warn', 'motorist')
('PROPN', 'cut', 'lead')
('PROPN', 'leave', 'kick')
('PROPN', 'launch', 'commercial')
('mother', 'care', 'nothing')
('problem', 'have', 'absence')
('PROPN', 'represent', 'eighth')
('PROPN', 'employ', 'staff')
('call', 'have', 'observer')
('crisis', 'slam', 'economy')
('PROPN', 'search', 'shore')
('PROPN', 'have', 'billionaire')
('result', 'highlight', 'risk')
('officer', 'direct', 'patrol')
('name', 'mean', 'stone')
('researcher', 'assess', 'man')
('partisanship', 'might', 'bit')
('estimate', 'have', 'toll')
('PROPN', 'will', 'PROPN')
('couple', 'have', 'car')
('state', 'produce', 'parade')
('campaign', 'have', 'future')
('lady', 'must', 'place')
('corporation', 'could', 'cost')
('national', 'bring', 'village')
('people', 'have', 'training')
('t', 'take', 'place')
('campus', 'seek', 'education')
('recession', 'strike', 'region')
('PROPN', 'have', 'choice')
('settlement', 'would', 'system')
('PROPN', 'create', 'laboratory')
('audience', 'trust', 'vision')
('audience', 'share', 'vision')
('government', 'be', 'that')
('PROPN', 'call', 'PROPN')
('agent', 'tell', 'they')
('PROPN', 'kick', 'PROPN')
('man', 'commit', 'suicide')
('government', 'order', 'closure')
('PROPN', 'have', 'effort')
('PROPN', 'accuse', 'that')
('PROPN', 'will', 'service')
('company', 'have', 'pollution')
('bill', 'would', 'employer')
('people', 'do', 'thing')
('people', 'learn', 'government')
('PROPN', 'owe', '77,506')
('PROPN', 'open', 'PROPN')
('momentum', 'have', 'PROPN')
('PROPN', 'mark', 'step')
('cocaine', 'could', 'amphetamine')
('PROPN', 'do', 'smoking')
('alliance', 'will', 'user')
('user', 'can', 'criterion')
('snowfall', 'stop', 'operation')
('mourner', 'place', 'candle')
('villager', 'be', 'tunnel')
('customer', 'have', 'software')
('accord', 'have', 'fire')
('game', 'average', 'home')
('PROPN', 'have', 'mistake')
('bank', 'will', 'penalty')
('player', 'can', 'that')
('PROPN', 'have', 'announcement')
('officer', 'receive', 'injury')
('burglary', 'have', 'police')
('police', 'receive', 'report')
('PROPN', 'accompany', 'PROPN')
('president', 'initiate', 'review')
('suspect', 'to', 'plane')
('builder', 'to', 'plate')
('farmer', 'put', 'foundation')
('farmer', 'to', 'piece')
('PROPN', 'tell', 'reporter')
('shutdown', 'will', 'worker')
('PROPN', 'miss', 'size')
('farm', 'will', 'csa')
('PROPN', 'withdraw', 'asset')
('injury', 'may', 'person')
('PROPN', 'send', 'he')
('PROPN', 'see', 'what')
('eye', 'reflect', 'emotion')
('PROPN', 'cause', 'bleeding')
('t', 'leave', 'defense')
('t', 'improve', 'defense')
('participant', 'will', 'opportunity')
('director', 'flee', 'PROPN')
('PROPN', 'turn', 'management')
('t', 'eat', 'it')
('PROPN', 'visit', 'PROPN')
('PROPN', 'face', 'fine')
('man', 'enter', 'mine')
('firefighter', 'send', 'water')
('court', 'will', 'sentence')
('PROPN', 'direct', 'change')
('experiment', 'do', 'PROPN')
('PROPN', 'lead', 'PROPN')
('PROPN', 'have', 'support')
('PROPN', 'allow', 'application')
('PROPN', 'have', 'part')
('strategy', 'have', 'status')
('current', 'would', 'he')
('PROPN', 'could', 'share')
('ton', 'come', 'earning')
('ton', 'report', 'earning')
('leader', 'can', 'people')
('PROPN', 'bemoan', 'turnover')
('guard', 'play', 'turnover')
('PROPN', 'have', 'alliance')
('people', 'be', 'noroviru')
('PROPN', 'might', 'PROPN')
('PROPN', 'tell', 'wife')
('PROPN', 'walk', 'fire')
('PROPN', 'open', 'fire')
('plan', 'draw', 'criticism')
('PROPN', 'confirm', 'themselves')
('staffer', 'deny', 'that')
('parent', 'be', 'roommate')
('firework', 'set', 'room')
('poll', 'record', 'half')
('twin', 'play', 'baseball')
('minority', 'denounce', 'it')
('PROPN', 'blame', 'wife')
('lawmaker', 'intensify', 'effort')
('band', 'be', 'pop')
('waiter', 'squeeze', 'plate')
('woman', 'start', 'mammogram')
('wfc', 'gain', 'percent')
('PROPN', 'have', 'comeback')
('midfielder', 'get', 'kick')
('parrot', 'have', 'sense')
