subject_lemma,verb_lemma,object_lemma
coral,face,threat
fan,can,fun
event,call,attention
ad,cite,criticism
student,should,lot
student,hear,lot
student,think,lot
PROPN,do,honor
PROPN,have,himself
reviewer,must,profile
use,increase,number
PROPN,reflect,heritage
t,get,authentique
worm,will,pound
PROPN,have,tolerance
PROPN,make,point
regulator,can,PROPN
judge,charge,scintilla
judge,find,scintilla
PROPN,will,PROPN
budget,would,fund
painter,keep,hand
worker,lose,pay
PROPN,didn,t
PROPN,take,lead
PROPN,have,launch
teacher,reach,arrangement
t,see,front
lane,should,delay
concern,have,market
spike,could,insurer
PROPN,have,impact
picture,would,impact
researcher,have,association
PROPN,field,team
department,have,officer
PROPN,have,people
growth,be,toll
PROPN,take,umbrage
PROPN,tell,PROPN
PROPN,own,brand
leader,have,release
gunman,kill,policeman
user,to,image
win,take,PROPN
rebel,do,casualty
company,slice,dividend
company,sell,billion
bid,receive,notice
authority,identify,he
office,give,o
mayor,backdate,signature
amount,increase,multifold
PROPN,leave,band
band,have,candidacy
lawmaker,demand,audit
PROPN,recover,one
microphone,sound,menace
tornado,hit,night
PROPN,post,video
don,beat,PROPN
school,have,risk
bus,would,seat
autopsy,show,PROPN
tabloid,abandon,support
development,leave,liberal
daughter,continue,legacy
PROPN,evaluate,dog
mother,welcome,decision
PROPN,deliver,message
PROPN,have,entrance
tonne,feed,train
datapoint,be,cause
PROPN,overtake,it
difference,underline,inequality
physique,mask,style
rocket,fall,life
rocket,claim,life
PROPN,attack,he
undergraduate,pay,99
PROPN,offer,amendment
expert,say,people
PROPN,report,profit
t,add,drug
orca,pull,PROPN
profligacy,test,patience
man,to,round
MoD,to,spending
family,to,burglar
president,doesn,t
hitter,follow,game
exchange,set,tone
PROPN,read,paragraph
PROPN,have,support
group,run,programme
peer,have,deal
people,could,home
recommendation,target,man
trial,cover,man
PROPN,manage,shot
PROPN,turn,it
event,take,place
people,have,police
PROPN,get,win
issue,outnumber,decliner
PROPN,can,information
PROPN,tell,demand
PROPN,lose,ball
PROPN,can,hold
government,have,plan
delegation,spend,week
delegation,discuss,deal
t,relish,it
PROPN,come,straight
poacher,kill,rhino
state,classify,number
institution,sever,dealing
wicket,fall,PROPN
PROPN,must,PROPN
PROPN,lose,game
shockwave,spark,scramble
content,have,translation
game,take,I
kdl-32m4000,deliver,color
t,pay,attention
suspect,hold,knife
PROPN,guide,government
transaction,take,place
paper,be,page
PROPN,have,job
group,have,effect
proposal,would,many
proposal,rework,many
union,have,that
bank,have,job
people,would,stuff
secretary,tell,they
move,please,patron
PROPN,have,visit
PROPN,tell,PROPN
foundation,give,what
customer,buy,visitor
century,take,PROPN
PROPN,beat,seed
meeting,address,issue
shareholder,may,dr
tension,develop,stress
breathing,become,stress
bear,put,spin
video,show,one
PROPN,have,site
PROPN,voice,concern
news,send,share
inclusion,will,scope
people,want,that
girl,have,photographer
rioter,use,PROPN
majority,feel,interest
majority,show,interest
client,will,client
client,to,client
dye,wring,flour
meeting,will,chance
situation,be,what
daughter,cover,fire
fire,jump,road
daughter,take,oxygen
PROPN,will,race
group,be,involvement
language,offer,refuge
PROPN,estimate,it
people,must,way
t,put,stock
PROPN,hit,he
PROPN,tumble,he
PROPN,should,PROPN
PROPN,close,rank
consolidation,reflect,reduction
company,measure,game
leader,see,train
database,have,PROPN
PROPN,buy,it
revenue,rise,PROPN
PROPN,talk,way
specie,could,area
steward,allow,result
PROPN,have,windfall
businessman,have,funding
towpath,aren,place
PROPN,revise,earning
word,be,authority
mother,receive,attention
PROPN,will,PROPN
PROPN,leave,PROPN
t,promise,anything
court,hear,one
PROPN,include,PROPN
research,indicate,decline
PROPN,may,issue
PROPN,have,compensation
thousand,understand,difference
t,train,he
poop,be,look
PROPN,can,what
sender,have,e
head,urge,people
journalist,to,reporting
ministry,accuse,PROPN
firefighter,make,headway
hedge,expect,loss
hundred,pour,uighur
cleric,denounce,gibbon
investor,should,benefit
government,brand,inquiry
PROPN,stake,PROPN
group,do,PROPN
investment,could,economy
share,be,cent
PROPN,close,quarter
PROPN,carry,hand
PROPN,unveil,doll
PROPN,have,resilience
PROPN,need,it
PROPN,mishit,return
actor,take,super
PROPN,to,PROPN
PROPN,settle,PROPN
association,take,case
PROPN,run,gunpowder
PROPN,could,gunpowder
story,tell,she
PROPN,have,connection
PROPN,have,most
heart,skip,beat
PROPN,outline,that
PROPN,have,hit
dunk,tie,score
dunk,layup,score
dunk,put,76er
stimulus,fail,time
people,earn,sum
PROPN,drain,pointer
PROPN,repeat,statement
report,show,term
parent,to,child
PROPN,tell,parent
PROPN,offer,song
pika,occupy,that
PROPN,deaden,herself
plan,will,settlement
lender,report,rise
PROPN,release,12
PROPN,turn,lap
failure,show,flaw
dialogue,consider,side
PROPN,be,piece
PROPN,tell,foxnews.com
world,have,choice
PROPN,have,which
PROPN,could,which
PROPN,regard,island
PROPN,have,itself
candidate,would,billion
PROPN,do,problem
PROPN,have,dollar
result,cheer,shareholder
PROPN,have,detail
man,could,job
visitor,do,anything
half,say,woman
observer,may,whatever
spectator,have,time
interpreter,tell,PROPN
senior,fall,victim
half,carry,copy
PROPN,seal,deal
restaurant,have,deal
tourist,have,gunman
authority,summon,assistant
authority,hand,letter
spell,inspire,he
company,have,profiling
PROPN,have,that
ash,make,hole
government,do,nothing
government,encourage,it
PROPN,help,you
PROPN,track,artist
PROPN,share,photo
bugler,sound,retreat
office,decline,comment
failure,might,victory
PROPN,find,way
Police,question,man
other,have,family
PROPN,have,job
PROPN,use,milk
adventurer,tell,PROPN
businessman,have,plea
espresso,shake,hangover
developer,boost,construction
PROPN,will,care
PROPN,must,game
plan,would,some
publisher,have,overhead
PROPN,announce,designation
PROPN,might,relationship
bank,enroll,customer
punishment,would,fine
PROPN,could,much
agent,blame,drop
PROPN,give,packet
PROPN,take,someone
PROPN,give,run
musician,sing,type
PROPN,have,gas
t,have,quality
label,will,artist
government,have,crisis
incident,spark,row
other,be,charge
t,enjoy,training
PROPN,should,it
journalist,have,room
rest,abandon,instrument
PROPN,meet,rifle
court,annul,decree
PROPN,could,plebiscite
PROPN,produce,documentary
PROPN,complete,research
official,tell,PROPN
movie,will,rank
PROPN,take,this
PROPN,have,attorney
movement,have,momentum
prosecution,accept,plea
PROPN,have,place
t,take,rest
officer,discuss,danger
investor,be,place
change,might,introduction
supervisor,make,determination
government,order,closing
PROPN,have,death
PROPN,have,hope
PROPN,buy,building
PROPN,will,"1,000"
consumer,to,vehicle
consumer,buy,one
quest,could,costumer
economy,lose,job
ruling,will,impact
PROPN,never,solution
PROPN,have,solution
PROPN,include,member
official,accuse,whom
PROPN,take,responsibility
debtor,have,PROPN
PROPN,be,history
shareholder,leave,board
group,will,recommendation
advantage,reinforce,themselves
people,have,which
period,affect,PROPN
PROPN,be,way
party,would,stadium
door,have,sort
t,buy,it
average,add,point
bank,have,bad
PROPN,have,PROPN
lawyer,express,disappointment
statement,criticise,government
campaign,can,role
t,stop,construction
council,send,e
state,create,license
PROPN,beat,PROPN
decision,do,participation
ant,spread,sperm
PROPN,have,PROPN
PROPN,own,PROPN
PROPN,have,I
man,would,himself
sergeant,destroy,career
PROPN,oversee,workforce
blogger,compare,verdict
PROPN,write,letter
security,will,investor
board,have,courage
PROPN,break,serve
kid,be,it
PROPN,conduct,test
investor,be,figure
valley,have,community
PROPN,have,child
word,lose,meaning
right,care,anything
right,know,anything
film,have,feeling
PROPN,attribute,takeoff
loot,leave,town
government,have,policy
government,stimulate,growth
source,recall,bombing
official,link,which
PROPN,arrest,PROPN
PROPN,need,approval
election,will,makeup
movie,end,run
game,cap,minicamp
militant,wreck,that
PROPN,slam,fastball
model,have,right
t,understand,most
PROPN,begin,test
criminal,break,law
criminal,have,gun
cousin,tell,he
PROPN,retain,edge
scout,have,he
recall,affect,device
announcement,catch,most
PROPN,signal,interest
PROPN,receive,none
patient,can,use
fortson,score,point
slab,could,euro
globalization,can,bite
total,hit,ship
couple,spend,year
PROPN,be,decision
PROPN,be,school
People,have,symptom
PROPN,would,business
PROPN,suffer,loss
PROPN,do,what
tribesman,guard,it
tribesman,operate,it
people,to,money
dip,do,pressure
aa,warn,motorist
PROPN,cut,lead
PROPN,leave,kick
PROPN,launch,commercial
mother,care,nothing
problem,have,absence
PROPN,represent,eighth
haven,see,PROPN
PROPN,employ,staff
call,have,observer
crisis,slam,economy
PROPN,search,shore
PROPN,have,billionaire
result,highlight,risk
officer,direct,patrol
name,mean,stone
researcher,assess,man
partisanship,might,bit
estimate,have,toll
PROPN,will,PROPN
couple,have,car
state,produce,parade
campaign,have,future
lady,must,place
corporation,could,cost
national,bring,village
PROPN,remain,training
people,have,training
t,won,place
campus,seek,education
recession,strike,region
PROPN,have,choice
settlement,would,system
audience,trust,vision
audience,share,vision
government,be,that
PROPN,call,PROPN
agent,tell,they
PROPN,kick,PROPN
man,commit,suicide
government,order,closure
PROPN,have,effort
PROPN,accuse,that
PROPN,will,service
company,have,pollution
bill,would,employer
people,do,thing
people,learn,government
PROPN,owe,"77,506"
momentum,have,PROPN
PROPN,mark,step
cocaine,could,amphetamine
prosecutor,say,PROPN
expectation,grow,demand
PROPN,do,smoking
alliance,will,user
user,can,criterion
snowfall,stop,operation
mourner,place,candle
villager,be,tunnel
customer,have,software
accord,have,fire
PROPN,have,mistake
bank,will,penalty
player,can,that
PROPN,have,announcement
officer,receive,injury
burglary,have,police
police,receive,report
PROPN,accompany,PROPN
president,initiate,review
suspect,to,plane
builder,to,plate
PROPN,tell,reporter
shutdown,will,worker
PROPN,miss,defense
farm,will,csa
injury,may,person
PROPN,send,he
PROPN,see,what
eye,reflect,emotion
heparin,cause,bleed
director,flee,PROPN
PROPN,turn,management
t,get,it
t,eat,it
PROPN,face,fine
man,enter,mine
court,will,sentence
PROPN,direct,change
PROPN,lead,PROPN
PROPN,have,support
window,allow,application
PROPN,have,part
strategy,have,status
current,would,he
PROPN,could,share
ton,come,earning
ton,report,earning
dust,form,pearl
leader,can,people
PROPN,bemoan,turnover
guard,play,turnover
PROPN,have,alliance
people,be,noroviru
PROPN,might,PROPN
t,tell,wife
PROPN,walk,fire
PROPN,open,fire
plan,draw,criticism
PROPN,confirm,themselves
staffer,deny,that
parent,be,roommate
firework,set,room
poll,record,half
twin,play,baseball
minority,denounce,it
PROPN,blame,wife
lawmaker,intensify,effort
initiative,have,knight
band,be,pop
diner,be,pop
waiter,squeeze,plate
woman,start,mammogram
PROPN,gain,percent
PROPN,have,comeback
midfielder,get,kick
parrot,have,sense
PROPN,begin,sequence
graduation,be,place
economy,be,place
action,affect,other
borrower,must,fraction
research,could,image
PROPN,build,school
PROPN,provide,water
performance,provide,example
user,reduce,consumption
user,keep,own
party,would,it
wife,have,what
family,give,present
PROPN,have,employee
hour,boost,odd
PROPN,have,chance
PROPN,have,right
company,would,business
PROPN,have,fund
PROPN,do,favour
discussion,have,place
bank,have,total
PROPN,operate,store
authority,be,possibility
PROPN,have,PROPN
PROPN,approve,programme
firm,to,debt
PROPN,milk,cheer
party,enjoy,gain
deal,would,law
school,ban,they
pickup,keep,suspect
police,stop,suspect
average,shed,point
astronaut,attach,compartment
PROPN,record,her
people,will,detachment
government,may,PROPN
leader,be,attention
government,can,legislation
government,ram,legislation
investigator,doubt,account
contact,can,skill
publicity,could,woman
market,sink,percent
topic,will,economist
economist,detect,sign
PROPN,should,game
unit,have,view
captor,be,compensation
none,offer,value
list,record,performance
rain,draw,shoot
crude,have,65
judge,make,decision
empathy,increase,ability
community,should,influence
PROPN,have,return
PROPN,make,return
PROPN,file,complaint
spokesman,tell,PROPN
force,have,palace
country,wave,flag
presence,have,effect
trip,cost,"30,000"
PROPN,get,cash
diver,have,sign
t,bring,issue
PROPN,like,PROPN
captain,smash,66
captain,bowl,66
captain,snare,wicket
forest,say,%
forest,blame,reason
user,download,software
PROPN,do,caveat
PROPN,want,it
PROPN,give,blessing
PROPN,will,control
councillor,issue,warning
winner,take,office
court,could,constitutionality
attendee,will,opportunity
guest,can,late
guest,play,game
wife,work,evening
Police,arrest,man
crisis,be,role
PROPN,hail,feat
company,to,name
PROPN,play,game
PROPN,be,harm
development,will,functionality
PROPN,launch,series
military,have,she
word,catch,attention
future,may,what
PROPN,have,himself
official,invite,he
economy,have,total
soldier,raise,gun
soldier,tell,they
sheriff,note,instance
PROPN,have,lead
PROPN,have,capital
rival,have,door
development,play,role
search,take,place
beach,have,place
ruling,set,celebration
professional,live,life
device,include,technology
cac-40,end,point
PROPN,will,game
PROPN,play,game
PROPN,be,year
film,would,notion
option,would,vulnerability
government,purchase,security
people,be,what
rule,have,tooth
bomb,knock,wall
t,get,it
t,make,it
patient,appreciate,distance
PROPN,would,success
bean,require,twig
runner,need,framework
bill,would,PROPN
minister,have,something
horse,will,trip
t,get,way
body,touch,limit
PROPN,use,quarterback
force,will,outcome
school,pay,attention
led,be,move
company,see,value
PROPN,turn,start
festival,draw,people
official,deny,which
challenge,will,saving
taxis,present,PROPN
survey,question,people
survey,earn,"10,000"
block,create,vista
mum,ask,we
PROPN,do,good
hospital,have,program
physician,take,time
president,have,power
show,evoke,male
challenge,be,facade
minister,hope,what
president,open,parliament
launch,will,PROPN
investigation,uncover,allegation
man,bring,remain
official,would,store
investigator,have,store
store,receive,meat
PROPN,sneak,puck
technique,use,laser
judge,be,they
brother,tell,PROPN
PROPN,consider,check
PROPN,describe,job
standstill,have,prospect
government,might,prospect
man,will,bail
hospitalization,trigger,discovery
authority,weigh,future
voter,cast,ballot
PROPN,say,trouble
PROPN,pull,car
PROPN,drag,she
comment,be,situation
room,have,transom
combination,may,power
consumer,should,possibility
PROPN,would,it
PROPN,send,it
leader,to,face
PROPN,make,point
fact,be,elimination
earthquake,shake,northeastern
PROPN,have,PROPN
tornado,kill,people
storm,rake,heart
result,will,consolation
consumer,can,result
donor,cite,belief
PROPN,have,belief
people,will,that
cost,include,expense
donor,give,"550,000"
unit,end,year
assessment,provide,evidence
government,operate,store
turtle,use,field
turtle,remember,imprint
poll,show,majority
PROPN,could,rightwinger
PROPN,have,foe
PROPN,find,himself
PROPN,extricate,himself
t,have,authority
PROPN,should,book
PROPN,win,game
pub,survive,competition
liter,cost,9.40
party,win,total
regulator,seize,bank
financier,surrender,passport
resident,tell,PROPN
exhibition,will,sculpture
economy,stage,recovery
PROPN,have,presence
army,carry,patrol
PROPN,enforce,law
violator,endanger,health
PROPN,propose,those
PROPN,be,progress
customer,can,armrest
PROPN,have,it
spider,get,cricket
voter,fill,ballot
economy,be,increase
caucus,grow,proceeding
caucus,conduct,proceeding
abuser,can,decision
PROPN,have,force
PROPN,send,police
PROPN,impose,sanction
PROPN,lead,fight
PROPN,kick,viewer
PROPN,be,foot
senator,will,PROPN
PROPN,publish,study
boy,have,head
militant,have,score
number,target,foreigner
PROPN,have,mandate
member,will,protest
youngster,upstage,they
insurer,raise,rate
PROPN,say,PROPN
clatter,answer,he
researcher,survey,13-
market,have,tendency
president,earn,"138,702"
ratification,will,place
PROPN,write,novella
thousand,be,speech
thousand,give,speech
caliber,be,progress
spending,will,legislator
PROPN,have,guideline
police,would,woman
PROPN,have,they
headquarters,move,target
other,diagnose,ill
baker,turn,pastry
campaign,can,flier
animal,be,forest
guy,punch,I
one,smash,head
percent,expect,crisis
PROPN,take,look
restructuring,entail,which
PROPN,tell,leader
PROPN,beat,marker
department,attach,string
shareholder,support,talk
officer,face,year
hornet,extend,lease
hornet,would,it
PROPN,have,target
robber,take,jewelry
king,make,emperor
conflict,require,actor
witness,tell,PROPN
t,don,veteran
PROPN,have,game
finding,have,end
finding,have,calm
car,have,access
police,block,access
club,need,presence
PROPN,liken,handling
euphoria,have,ephemera
contestant,will,minute
money,include,PROPN
staff,adopt,threshold
income,total,cent
PROPN,tell,he
teenager,can,what
PROPN,have,monitoring
wording,take,concern
PROPN,face,subpoena
PROPN,be,rule
expert,blame,accident
film,tell,story
PROPN,would,percentage
student,uncover,secret
story,hit,news
study,show,complication
well,capture,quarter
government,rectify,oversight
people,see,that
fiance,be,other
senator,win,term
scientist,have,ring
t,have,bus
judge,have,it
PROPN,have,what
PROPN,enter,16
judge,do,father
hopeful,would,father
measure,take,urgency
combination,create,potential
PROPN,leave,field
team,have,excuse
customer,taste,merlot
customer,shake,head
rest,should,burden
buybull,tell,them
PROPN,develop,report
upsurge,have,people
family,have,hope
PROPN,have,plenty
PROPN,start,game
king,pardon,they
PROPN,have,ton
people,throw,money
PROPN,have,status
genealogist,announce,status
PROPN,win,delegate
hacker,may,flaw
declaration,have,name
declaration,need,393
PROPN,have,reason
number,describe,treatment
client,include,PROPN
t,tell,we
president,oppose,they
man,have,51
agency,take,measure
PROPN,need,boost
gene,stop,activity
PROPN,develop,variation
PROPN,never,she
child,have,complexion
PROPN,have,itself
people,have,idea
one,shove,other
assist,add,point
PROPN,have,talk
company,may,role
PROPN,have,trio
district,recognize,kilt
PROPN,be,more
diplomat,to,clique
PROPN,hold,option
summit,give,role
thing,distinguish,couple
prospect,have,consternation
style,have,PROPN
woman,depress,brake
car,speed,foot
car,take,foot
rider,fear,what
woman,have,child
PROPN,get,bribe
PROPN,say,buy
politic,might,role
leader,to,reconciliation
couple,tell,themselves
PROPN,announce,release
PROPN,recommend,customer
warrant,reveal,cause
PROPN,have,finish
people,be,finish
trigger,go,rifle
dealer,have,fraction
PROPN,inherit,trainwreck
PROPN,tell,mps
judge,order,PROPN
president,to,appearance
mouse,come,cat
PROPN,have,appeal
standout,have,repair
index,lose,percent
decision,mark,blow
PROPN,have,rating
survivor,donate,piece
piece,begin,wife
man,haul,corpse
arrangement,have,suspect
government,have,warning
PROPN,miss,rebound
PROPN,have,opening
PROPN,will,16
runner,reach,base
PROPN,cast,they
poacher,turn,gamekeeper
auditor,seek,information
shareholder,must,offer
figure,add,tween
figure,soar,tween
place,receive,award
sand,can,pollutant
t,go,anything
proposal,would,end
proposal,make,lapdog
employee,be,people
agency,have,investigation
PROPN,be,match
arrangement,save,it
loss,be,profit
reduction,will,income
authority,have,line
attack,support,stance
administration,take,campaign
PROPN,have,involvement
thousand,be,stuff
court,take,action
firefighter,rescue,cat
pizzeria,have,slice
PROPN,indicate,satisfaction
t,have,money
batch,bring,news
PROPN,tell,reporter
scientist,be,test
sort,have,number
employee,be,percent
PROPN,can,it
policy,have,business
protester,block,gate
flight,cost,132.80
PROPN,urge,he
PROPN,face,deterioration
director,tell,newspaper
people,accuse,he
PROPN,be,chance
unemployment,reach,10.4
PROPN,be,some
people,lose,home
t,want,one
PROPN,be,division
PROPN,have,ground
PROPN,tell,newspaper
detective,have,evidence
share,risk,PROPN
bill,would,extension
PROPN,will,third
uncertainty,be,shadow
PROPN,rule,democracy
study,have,implication
t,mean,bit
incident,take,place
PROPN,have,gain
attack,demonstrate,grave
country,to,pound
PROPN,would,proceed
PROPN,oversee,tournament
PROPN,take,opportunity
t,know,meaning
office,take,call
country,must,way
people,see,themselves
wildfire,destroy,home
wildfire,force,dozen
wind,fan,flame
wind,blow,wall
guy,be,behavior
condition,force,official
reporter,may,threat
bank,have,110bn
PROPN,estimate,110bn
PROPN,hear,last
storm,could,inch
bank,raise,capital
PROPN,would,practicality
toy,trot,hallway
PROPN,reveal,existence
killing,have,doubt
PROPN,tax,import
bank,have,that
PROPN,win,gold
PROPN,detain,PROPN
focus,please,businessman
report,examine,statement
PROPN,invade,PROPN
t,see,reason
people,say,thing
PROPN,have,business
PROPN,to,curfew
PROPN,get,business
PROPN,pitch,ball
PROPN,encounter,sniper
patient,notice,device
patient,contact,police
PROPN,could,herself
route,can,more
group,be,PROPN
PROPN,mount,display
act,can,name
character,sing,dialogue
PROPN,expect,earning
PROPN,expect,income
player,cradle,puck
player,whip,it
woman,shed,lb
PROPN,have,year
action,take,place
one,have,job
PROPN,invade,PROPN
PROPN,have,journey
t,justify,kind
PROPN,control,seat
grandmother,be,care
member,leave,colleague
doctor,hate,system
force,launch,rescue
researcher,find,pattern
other,can,handiwork
evaluation,have,date
PROPN,bring,he
PROPN,have,homer
datum,will,dispute
shift,be,PROPN
poem,aren,t
PROPN,open,fourth
meditation,may,image
typewriter,can,you
people,describe,experience
wife,describe,night
PROPN,evaluate,depreciation
guy,tell,that
vote,open,door
assailant,open,fire
PROPN,have,wind
auctioning,will,competitiveness
PROPN,drop,plan
work,share,theme
PROPN,never,lead
PROPN,have,ownership
country,threaten,boycott
discussion,conflate,question
boy,tell,court
regulator,will,incident
firm,announce,re
man,have,hulk
medication,may,problem
charge,fall,drop
diplomacy,be,impact
citizen,have,responsibility
newspaper,publish,photograph
mammogram,detect,tumor
appearance,have,protest
restaurant,offer,menu
PROPN,tell,court
PROPN,manage,shot
secession,would,country
secession,deprive,north
apparatchik,have,that
parliament,can,development
parliament,unite,community
spokeswoman,dispute,version
edition,shorten,interval
court,resume,trial
student,to,teddy
airline,must,toilet
PROPN,join,PROPN
statement,urge,community
Police,have,train
object,contain,layer
entrance,have,visibility
entrance,enhance,prospect
