subject_lemma,verb_lemma,object_lemma
set,cause,bleeding
use,increase,number
PROPN,reflect,heritage
t,get,authentique
worm,will,pound
PROPN,have,tolerance
PROPN,make,point
regulator,can,PROPN
judge,charge,scintilla
judge,find,scintilla
tcu,will,PROPN
budget,would,fund
painter,keep,hand
worker,lose,pay
PROPN,take,lead
PROPN,have,launch
teacher,reach,arrangement
t,see,front
lane,should,delay
concern,have,market
spike,could,insurer
PROPN,have,impact
picture,would,impact
researcher,have,association
PROPN,field,team
department,have,officer
growth,be,toll
PROPN,take,umbrage
PROPN,tell,PROPN
PROPN,have,opportunity
PROPN,own,brand
leader,have,release
gunman,kill,policeman
user,to,image
win,take,PROPN
rebel,do,casualty
company,slice,dividend
company,sell,billion
bid,receive,notice
authority,identify,he
office,give,immunity
mayor,backdate,signature
PROPN,say,what
PROPN,leave,band
band,have,candidacy
lawmaker,demand,audit
PROPN,recover,one
microphone,sound,menace
tornado,hit,night
PROPN,post,video
rain,have,risk
number,have,that
bus,would,seat
tabloid,abandon,support
development,leave,liberal
daughter,continue,legacy
PROPN,evaluate,dog
mother,welcome,decision
tonne,feed,train
datapoint,be,cause
PROPN,overtake,it
war,deserve,troop
difference,underline,inequality
pose,mask,style
rocket,fall,life
rocket,claim,life
PROPN,attack,he
undergraduate,pay,99
PROPN,offer,amendment
t,add,drug
orca,pull,PROPN
profligacy,test,patience
MoD,to,spending
PROPN,join,wife
hitter,follow,game
exchange,set,tone
PROPN,read,paragraph
PROPN,have,support
group,run,programme
peer,have,deal
people,could,home
recommendation,target,man
trial,cover,man
PROPN,manage,one
PROPN,turn,it
event,take,place
people,have,police
PROPN,get,win
issue,outnumber,decliner
PROPN,can,information
PROPN,tell,demand
PROPN,lose,ball
PROPN,can,hold
government,have,plan
delegation,spend,deal
delegation,discuss,deal
t,relish,it
PROPN,come,hook
state,classify,number
institution,sever,dealing
wicket,fall,PROPN
PROPN,must,PROPN
PROPN,lose,game
shockwave,spark,scramble
content,have,translation
game,take,I
kdl-32m4000,deliver,color
t,pay,attention
suspect,hold,knife
salvadoran,worry,deficit
PROPN,guide,government
transaction,take,place
paper,be,page
PROPN,have,job
group,have,effect
proposal,would,many
proposal,rework,many
union,have,that
firm,have,job
people,would,stuff
move,please,patron
PROPN,have,visit
PROPN,tell,PROPN
foundation,give,what
customer,buy,visitor
century,take,PROPN
meeting,address,issue
shareholder,may,dr
tension,develop,stress
breathing,become,stress
bear,put,spin
video,show,one
PROPN,have,site
PROPN,voice,concern
news,send,share
inclusion,will,scope
girl,have,photographer
PROPN,use,PROPN
quarter,feel,interest
majority,show,interest
client,will,client
client,to,client
dye,wring,berry
dye,pokeweed,berry
meeting,will,chance
situation,be,what
daughter,cover,fire
fire,jump,road
daughter,take,oxygen
PROPN,will,race
group,be,involvement
language,offer,refuge
PROPN,estimate,it
people,must,way
t,put,stock
PROPN,hit,he
PROPN,tumble,he
PROPN,should,concord
PROPN,close,rank
consolidation,reflect,reduction
company,measure,game
leader,see,train
database,have,sevenfold
PROPN,buy,it
revenue,rise,it
PROPN,talk,way
PROPN,have,windfall
businessman,have,funding
towpath,aren,place
PROPN,revise,earning
word,be,authority
mother,receive,attention
PROPN,will,PROPN
PROPN,leave,PROPN
court,hear,one
PROPN,include,PROPN
research,indicate,decline
volume,make,distribution
PROPN,may,issue
PROPN,have,compensation
thousand,understand,difference
t,train,he
poop,coprolite,look
poop,be,look
PROPN,can,what
sender,have,e
head,urge,people
journalist,to,reporting
ministry,accuse,PROPN
firefighter,make,headway
person,pressure,individual
panel,hear,request
hedge,expect,loss
hundred,pour,uighur
tsunami,cover,PROPN
cleric,denounce,PROPN
investor,should,benefit
government,brand,inquiry
victorino,stake,PROPN
group,do,PROPN
investment,could,economy
PROPN,close,quarter
PROPN,carry,hand
PROPN,unveil,doll
PROPN,have,resilience
PROPN,need,it
PROPN,mishit,return
actor,take,super
PROPN,to,PROPN
PROPN,settle,PROPN
association,take,case
PROPN,run,gunpowder
PROPN,could,gunpowder
PROPN,tell,she
PROPN,have,connection
PROPN,have,most
heart,skip,beat
PROPN,outline,that
PROPN,have,hit
PROPN,salad,it
PROPN,charge,it
dunk,tie,score
dunk,put,76er
people,earn,sum
PROPN,drain,pointer
PROPN,repeat,statement
report,show,term
child,cross,street
parent,to,child
PROPN,tell,parent
PROPN,offer,song
PROPN,deaden,herself
lender,report,rise
PROPN,release,12
PROPN,turn,lap
failure,show,flaw
dialogue,consider,side
PROPN,be,piece
PROPN,tell,PROPN
world,have,choice
PROPN,have,which
PROPN,could,which
PROPN,regard,island
PROPN,have,itself
PROPN,got,problem
PROPN,do,problem
PROPN,have,dollar
result,cheer,shareholder
PROPN,have,detail
guest,be,gym
guest,can,gym
man,could,job
visitor,do,anything
observer,may,whatever
spectator,have,time
analyst,tell,newspaper
interpreter,tell,PROPN
senior,fall,victim
half,carry,copy
restaurant,seal,deal
restaurant,have,deal
tourist,have,gunman
authority,summon,assistant
authority,hand,letter
spell,inspire,he
time,hold,spot
PROPN,drop,spot
company,have,profiling
PROPN,have,that
government,do,nothing
PROPN,help,you
PROPN,track,artist
PROPN,share,photo
bugler,sound,retreat
office,decline,comment
failure,might,victory
PROPN,find,way
Police,question,man
other,have,family
PROPN,have,job
PROPN,do,more
PROPN,use,milk
people,to,I
adventurer,tell,PROPN
businessman,have,plea
espresso,shake,hangover
developer,boost,construction
PROPN,will,care
PROPN,must,game
PROPN,start,final
PROPN,reach,final
plan,would,some
publisher,have,overhead
publisher,cut,job
PROPN,might,relationship
bank,enroll,customer
punishment,would,fine
PROPN,could,much
agent,blame,drop
PROPN,give,packet
PROPN,take,someone
PROPN,give,run
musician,sing,type
state,may,drought
PROPN,have,gas
t,have,quality
government,have,crisis
incident,spark,row
other,be,charge
t,enjoy,training
silverman,should,it
journalist,have,room
rest,abandon,instrument
PROPN,meet,rifle
court,annul,decree
PROPN,could,plebiscite
PROPN,produce,documentary
PROPN,complete,research
official,tell,PROPN
PROPN,take,this
PROPN,have,attorney
movement,have,momentum
prosecution,accept,plea
t,take,rest
officer,discuss,danger
investor,be,place
guest,sit,stockpot
guest,restock,stockpot
change,might,introduction
authority,to,tier
supervisor,make,determination
bank,meet,condition
government,order,closing
PROPN,have,death
Rehn,have,hope
PROPN,buy,building
PROPN,will,"1,000"
consumer,to,vehicle
consumer,buy,one
quest,could,costumer
economy,lose,job
ruling,will,impact
PROPN,never,solution
PROPN,have,solution
PROPN,include,member
official,accuse,whom
PROPN,take,responsibility
debtor,have,PROPN
PROPN,be,history
shareholder,leave,board
group,will,recommendation
advantage,reinforce,themselves
people,have,which
period,affect,PROPN
party,would,stadium
door,have,sort
t,buy,it
average,add,point
bank,have,bad
PROPN,have,PROPN
lawyer,express,disappointment
statement,criticise,government
campaign,can,role
council,send,e
state,create,license
PROPN,beat,PROPN
decision,do,participation
ant,spread,sperm
PROPN,have,PROPN
PROPN,own,PROPN
PROPN,have,I
man,would,himself
PROPN,oversee,workforce
blogger,compare,verdict
PROPN,write,letter
security,will,investor
board,have,courage
PROPN,break,serve
kid,be,it
PROPN,conduct,test
investor,be,figure
oasis,have,community
PROPN,have,child
word,lose,meaning
right,care,anything
right,know,anything
film,have,feeling
PROPN,attribute,takeoff
loot,leave,town
government,have,policy
source,recall,bombing
official,link,which
PROPN,arrest,PROPN
PROPN,need,approval
election,will,makeup
movie,end,run
game,cap,minicamp
PROPN,be,which
PROPN,slam,fastball
model,have,right
t,understand,most
retailer,begin,test
criminal,break,law
criminal,have,gun
cousin,tell,he
PROPN,retain,edge
judge,cap,amount
scout,have,he
recall,affect,device
announcement,catch,most
PROPN,signal,interest
PROPN,receive,none
patient,can,use
fortson,score,point
PROPN,could,euro
total,hit,ship
couple,spend,year
PROPN,be,decision
PROPN,be,school
People,have,symptom
PROPN,would,business
PROPN,suffer,loss
PROPN,do,what
tribesman,guard,it
tribesman,operate,it
people,to,money
dip,do,pressure
aa,warn,motorist
PROPN,cut,lead
point,leave,kick
PROPN,launch,commercial
mother,care,nothing
problem,have,absence
PROPN,represent,eighth
PROPN,rover,PROPN
PROPN,employ,staff
call,have,observer
crisis,slam,economy
PROPN,search,shore
PROPN,have,billionaire
result,highlight,risk
customer,choose,dot
customer,click,dot
officer,direct,patrol
name,mean,stone
researcher,assess,man
partisanship,might,bit
estimate,have,toll
PROPN,will,PROPN
couple,have,car
state,produce,parade
campaign,have,future
corporation,could,cost
national,bring,village
people,have,training
campus,seek,education
recession,strike,region
PROPN,have,choice
settlement,would,system
audience,trust,vision
audience,share,vision
government,be,that
PROPN,call,PROPN
agent,tell,they
PROPN,kick,PROPN
man,commit,suicide
government,order,closure
PROPN,have,effort
PROPN,accuse,that
PROPN,will,service
company,have,pollution
people,do,thing
people,learn,government
PROPN,owe,"77,506"
momentum,have,PROPN
PROPN,mark,step
cocaine,could,amphetamine
prosecutor,say,PROPN
PROPN,do,smoking
alliance,will,user
user,can,criterion
snowfall,stop,operation
mourner,place,candle
villager,be,tunnel
customer,have,software
accord,have,fire
game,average,home
game,average,home
PROPN,have,mistake
bank,will,penalty
player,can,that
PROPN,have,announcement
officer,receive,injury
burglary,have,police
police,receive,report
PROPN,accompany,PROPN
president,initiate,review
suspect,to,plane
farmer,to,piece
PROPN,tell,reporter
shutdown,will,worker
PROPN,miss,defense
farm,will,csa
injury,may,person
PROPN,send,he
PROPN,see,what
eye,reflect,emotion
PROPN,cause,bleeding
t,leave,defense
t,improve,defense
director,flee,PROPN
PROPN,turn,management
t,get,it
t,draw,diagram
t,eat,it
PROPN,face,fine
man,enter,mine
firefighter,send,water
court,will,sentence
PROPN,direct,change
PROPN,file,right
brother,direct,drama
PROPN,lead,PROPN
PROPN,have,support
PROPN,allow,application
PROPN,have,part
strategy,have,status
current,would,he
PROPN,could,share
ton,come,ton
leader,can,people
PROPN,bemoan,turnover
PROPN,have,alliance
people,be,noroviru
PROPN,might,PROPN
t,tell,wife
tour,guide,talk
PROPN,walk,fire
PROPN,open,fire
plan,draw,criticism
PROPN,confirm,themselves
staffer,deny,that
parent,be,roommate
firework,set,room
poll,record,half
twin,play,baseball
minority,denounce,it
PROPN,blame,wife
initiative,have,knight
band,be,pop
diner,be,pop
waiter,squeeze,plate
woman,start,mammogram
PROPN,gain,percent
schole,have,comeback
midfielder,get,kick
parrot,have,sense
parrot,sway,body
parrot,bob,head
parrot,tap,foot
PROPN,begin,sequence
graduation,be,place
economy,be,place
action,affect,other
borrower,must,fraction
research,could,image
person,build,school
person,provide,water
performance,provide,example
user,reduce,consumption
user,keep,own
party,would,it
wife,have,what
family,give,present
PROPN,have,employee
hour,boost,odd
PROPN,have,chance
PROPN,to,link
PROPN,have,right
management,add,capital
company,would,business
PROPN,have,fund
discussion,have,place
bank,have,total
PROPN,operate,store
authority,be,possibility
PROPN,have,PROPN
PROPN,approve,programme
firm,to,debt
PROPN,milk,cheer
party,enjoy,gain
deal,would,law
school,ban,they
pickup,keep,suspect
police,stop,suspect
average,shed,point
PROPN,attach,compartment
PROPN,record,double
people,will,detachment
government,may,PROPN
leader,be,attention
government,can,legislation
government,ram,legislation
investigator,doubt,account
publicity,could,woman
stock,tumble,fear
market,sink,percent
stock,deepen,fear
topic,will,economist
economist,detect,sign
PROPN,should,game
unit,have,view
captor,be,compensation
none,offer,that
PROPN,stamp,deal
list,record,performance
rain,draw,shoot
crude,have,65
community,should,influence
PROPN,have,return
PROPN,make,return
PROPN,file,complaint
spokesman,tell,PROPN
force,have,palace
country,wave,flag
presence,have,effect
trip,cost,"30,000"
PROPN,get,cash
diver,have,sign
t,bring,issue
PROPN,like,PROPN
captain,smash,66
captain,bowl,66
captain,snare,wicket
forest,say,%
user,download,software
haven,do,caveat
PROPN,want,it
t,give,blessing
PROPN,will,control
councillor,issue,warning
winner,take,office
court,could,constitutionality
attendee,will,opportunity
guest,can,late
guest,play,game
wife,work,evening
Police,arrest,man
crisis,be,role
PROPN,hail,feat
company,to,name
PROPN,play,game
PROPN,extend,streak
editor,didn,t
PROPN,be,harm
development,will,functionality
PROPN,launch,series
military,have,she
word,catch,attention
future,may,what
PROPN,have,himself
official,invite,he
economy,have,total
soldier,raise,gun
soldier,tell,they
sheriff,note,instance
PROPN,have,lead
PROPN,have,capital
rival,have,door
development,play,role
search,take,place
beach,have,place
ruling,set,celebration
professional,live,life
device,include,technology
cac-40,end,point
PROPN,will,game
PROPN,play,game
PROPN,be,year
film,would,notion
option,would,vulnerability
people,be,what
rule,have,tooth
bomb,knock,wall
doctor,helped,stop
t,make,it
patient,appreciate,distance
PROPN,would,success
runner,need,framework
bill,would,PROPN
minister,have,something
horse,will,trip
t,get,way
authority,say,what
body,touch,limit
PROPN,use,quarterback
force,will,outcome
school,pay,attention
led,be,move
company,see,value
PROPN,turn,start
festival,draw,people
official,deny,which
challenge,will,saving
taxis,present,PROPN
survey,question,people
survey,earn,"10,000"
company,be,opening
block,create,vista
PROPN,slash,profit
mum,ask,we
t,notice,thing
PROPN,do,good
hospital,have,program
physician,take,time
president,have,power
show,evoke,male
challenge,be,facade
minister,hope,what
president,open,parliament
launch,will,PROPN
investigation,uncover,allegation
father,bring,remain
feature,like,it
official,would,store
investigator,have,store
store,receive,meat
PROPN,sneak,puck
technique,use,laser
judge,be,they
PROPN,contain,violence
PROPN,describe,job
standstill,have,prospect
man,will,bail
hospitalization,trigger,discovery
authority,weigh,future
voter,cast,ballot
PROPN,say,trouble
PROPN,pull,car
PROPN,drag,she
comment,be,situation
room,have,transom
combination,may,power
consumer,should,possibility
PROPN,would,it
PROPN,send,it
leader,to,face
PROPN,make,point
fact,be,elimination
earthquake,shake,PROPN
PROPN,have,PROPN
PROPN,could,sale
tornado,kill,people
storm,rake,heart
result,will,consolation
consumer,can,result
PROPN,will,tool
donor,cite,belief
mormon,have,belief
people,will,that
cost,include,expense
donor,give,"550,000"
assessment,provide,evidence
government,operate,store
turtle,use,field
turtle,remember,imprint
poll,show,majority
PROPN,could,rightwinger
PROPN,have,foe
PROPN,find,himself
PROPN,extricate,himself
t,have,authority
fa,should,book
PROPN,win,game
pub,survive,competition
liter,cost,9.40
party,win,total
financier,surrender,passport
resident,tell,PROPN
exhibition,will,sculpture
economy,stage,recovery
PROPN,have,presence
army,carry,patrol
violator,endanger,health
PROPN,propose,those
PROPN,be,progress
runner,to,he
spider,get,cricket
voter,fill,ballot
economy,be,increase
caucus,grow,proceeding
caucus,conduct,proceeding
abuser,can,decision
PROPN,have,force
PROPN,send,police
PROPN,impose,sanction
PROPN,lead,fight
PROPN,be,foot
senator,will,PROPN
doesn,surprise,I
PROPN,publish,study
boy,have,head
militant,have,score
number,target,foreigner
PROPN,have,mandate
member,will,protest
youngster,upstage,they
insurer,raise,rate
PROPN,say,PROPN
clatter,answer,he
researcher,survey,13-
market,have,tendency
president,earn,"138,702"
ratification,will,place
PROPN,write,novella
thousand,be,speech
thousand,give,speech
caliber,be,progress
spending,will,legislator
PROPN,have,guideline
police,would,woman
PROPN,have,they
headquarters,move,target
other,diagnose,ill
baker,turn,pastry
stack,decorate,window
campaign,can,flier
animal,be,forest
guy,punch,I
one,smash,head
percent,expect,crisis
bank,say,t
PROPN,take,look
t,reflect,quality
PROPN,tell,leader
PROPN,beat,marker
department,attach,string
shareholder,support,talk
officer,face,year
PROPN,have,target
robber,take,jewelry
king,make,emperor
PROPN,combine,emperor
conflict,require,actor
witness,tell,PROPN
t,represent,veteran
PROPN,have,game
finding,have,end
car,have,access
police,block,access
club,need,presence
PROPN,liken,handling
euphoria,have,ephemera
money,include,1.1bn
PROPN,say,economy
staff,adopt,threshold
staff,have,expectation
income,total,cent
3dff,will,program
PROPN,tell,he
teenager,can,what
PROPN,have,monitoring
wording,take,concern
PROPN,face,subpoena
PROPN,be,rule
expert,blame,accident
film,tell,story
PROPN,would,percentage
student,uncover,secret
story,hit,news
study,show,complication
well,capture,quarter
government,rectify,oversight
people,see,that
senator,win,term
scientist,have,ring
high,top,degree
t,have,bus
judge,have,it
qpr,enter,16
judge,do,team
service,allow,flexibility
service,give,flexibility
measure,take,urgency
combination,create,potential
PROPN,leave,field
team,have,excuse
customer,taste,merlot
customer,shake,head
t,like,it
goodness,should,burden
buybull,tell,them
PROPN,develop,report
upsurge,have,people
family,have,hope
PROPN,have,plenty
t,start,game
king,pardon,they
PROPN,have,ton
people,throw,money
confucianism,have,status
genealogist,announce,status
PROPN,win,delegate
hacker,may,flaw
declaration,have,name
declaration,need,393
flore,have,reason
number,describe,treatment
client,include,PROPN
PROPN,tell,we
president,oppose,they
man,have,51
agency,take,measure
PROPN,need,boost
gene,stop,activity
PROPN,develop,variation
PROPN,never,she
child,have,complexion
PROPN,have,itself
people,have,idea
one,shove,other
assist,add,point
PROPN,have,talk
company,may,role
PROPN,have,writing
district,recognize,kilt
PROPN,be,more
diplomat,to,clique
PROPN,hold,option
summit,give,role
thing,distinguish,couple
prospect,have,consternation
style,have,PROPN
woman,depress,brake
woman,take,foot
rider,fear,what
PROPN,get,bribe
PROPN,say,buy
politic,might,role
leader,to,reconciliation
couple,tell,themselves
PROPN,recommend,customer
warrant,didn,cause
t,reveal,cause
PROPN,have,finish
people,be,finish
trigger,go,rifle
dealer,have,fraction
PROPN,inherit,trainwreck
PROPN,tell,mp
judge,order,PROPN
president,to,appearance
standout,have,repair
index,lose,percent
muentefering,tell,circulation
decision,mark,blow
PROPN,have,rating
survivor,donate,piece
supporter,celebrate,victory
man,haul,corpse
arrangement,have,suspect
government,have,warning
PROPN,nutmeg,PROPN
PROPN,have,opening
runner,reach,base
PROPN,cast,they
PROPN,turn,gamekeeper
auditor,seek,information
shareholder,must,offer
figure,add,tween
figure,soar,tween
place,receive,award
t,go,anything
proposal,would,end
proposal,make,lapdog
employee,be,people
agency,have,investigation
PROPN,be,match
waitress,look,PROPN
arrangement,save,it
loss,be,profit
reduction,will,income
authority,have,line
attack,support,stance
administration,take,campaign
PROPN,have,involvement
thousand,be,stuff
court,take,action
firefighter,rescue,cat
pizzeria,have,slice
PROPN,indicate,satisfaction
thousand,to,repair
t,have,money
PROPN,tell,reporter
scientist,be,test
sort,have,number
employee,be,percent
authority,say,what
policy,have,business
t,have,ability
protester,block,gate
flight,cost,132.80
PROPN,urge,he
PROPN,face,deterioration
director,tell,newspaper
people,accuse,he
PROPN,be,chance
unemployment,reach,10.4
people,lose,home
t,want,one
PROPN,be,division
PROPN,have,ground
opposition,to,election
PROPN,tell,newspaper
detective,have,evidence
share,risk,PROPN
bill,would,extension
PROPN,will,third
uncertainty,be,shadow
PROPN,rule,democracy
study,have,implication
t,mean,bit
incident,take,place
PROPN,have,gain
attack,demonstrate,threat
country,to,pound
redstone,would,proceed
PROPN,be,much
PROPN,oversee,tournament
PROPN,take,opportunity
t,isn,t
t,know,meaning
office,take,call
advertisement,ask,no
country,must,way
people,can,themselves
wind,fan,flame
wind,blow,wall
guy,be,behavior
condition,force,official
reporter,may,threat
bank,have,110bn
PROPN,estimate,110bn
PROPN,hear,last
storm,could,inch
bank,raise,capital
PROPN,would,practicality
PROPN,reveal,existence
killing,have,doubt
problem,might,form
PROPN,tax,import
bank,have,that
PROPN,win,gold
PROPN,detain,PROPN
focus,please,businessman
report,examine,statement
PROPN,invade,PROPN
PROPN,detonate,explosive
t,see,reason
people,say,thing
PROPN,have,business
PROPN,get,business
PROPN,pitch,ball
PROPN,encounter,sniper
patient,notice,device
patient,contact,police
PROPN,could,herself
PROPN,learn,life
route,can,more
PROPN,expect,criticism
group,be,PROPN
PROPN,mount,display
act,can,name
character,sing,dialogue
PROPN,expect,earning
PROPN,expect,income
player,cradle,puck
player,whip,it
woman,shed,lb
PROPN,have,year
action,take,place
one,have,job
PROPN,invade,PROPN
PROPN,have,journey
t,justify,kind
PROPN,control,seat
year,kill,PROPN
year,hospitalize,"200,000"
grandmother,be,care
member,leave,colleague
doctor,hate,system
force,launch,rescue
PROPN,end,fee
researcher,find,pattern
evaluation,have,date
PROPN,bring,he
PROPN,have,homer
datum,will,dispute
shift,be,PROPN
PROPN,open,fourth
meditation,be,campaign
typewriter,can,you
people,describe,experience
wife,describe,night
vincentric,evaluate,depreciation
guy,tell,that
vote,open,door
assailant,open,fire
PROPN,have,wind
auctioning,will,competitiveness
PROPN,take,life
PROPN,have,himself
PROPN,drop,plan
work,share,theme
PROPN,never,lead
PROPN,have,ownership
people,will,what
country,threaten,boycott
discussion,conflate,question
boy,tell,court
regulator,will,incident
firm,announce,re
man,have,hulk
medication,may,problem
charge,fall,drop
diplomacy,be,impact
concept,predate,experiment
newspaper,publish,photograph
mammogram,detect,tumor
restaurant,offer,menu
PROPN,would,system
PROPN,tell,court
PROPN,manage,shot
secession,would,country
secession,deprive,north
PROPN,can,development
PROPN,unite,community
spokeswoman,dispute,version
edition,shorten,interval
student,to,PROPN
airline,must,toilet
statement,urge,community
Police,have,train
object,contain,layer
entrance,have,visibility
entrance,enhance,prospect
PROPN,save,block
