subject_lemma,verb_lemma,object_lemma
judge,find,scintilla
PROPN,will,PROPN
budget,would,fund
worker,lose,pay
PROPN,take,lead
PROPN,have,launch
teacher,reach,arrangement
t,don,front
lane,should,delay
concern,have,market
spike,could,insurer
PROPN,have,impact
picture,would,impact
researcher,have,association
PROPN,field,team
department,have,officer
PROPN,have,people
growth,be,toll
PROPN,take,umbrage
PROPN,tell,PROPN
PROPN,own,brand
leader,have,release
gunman,kill,policeman
user,to,image
win,take,PROPN
rebel,do,casualty
company,slice,dividend
company,sell,billion
authority,identify,he
office,give,immunity
mayor,backdate,signature
amount,increase,multifold
PROPN,say,what
PROPN,leave,band
band,have,candidacy
lawmaker,demand,audit
PROPN,have,pass
PROPN,recover,one
department,disburse,300
microphone,sound,menace
tornado,hit,night
PROPN,post,video
rain,have,risk
bus,would,seat
tabloid,abandon,support
development,leave,liberal
year,average,percent
daughter,continue,legacy
PROPN,evaluate,dog
mother,welcome,decision
PROPN,be,message
PROPN,have,entrance
tonne,feed,train
datapoint,be,cause
PROPN,overtake,it
difference,underline,inequality
pose,mask,style
rocket,fall,life
rocket,claim,life
PROPN,attack,he
undergraduate,pay,99
PROPN,offer,amendment
PROPN,report,profit
orca,pull,PROPN
profligacy,test,patience
man,to,round
mod,to,spending
family,to,burglar
t,join,wife
hitter,follow,game
exchange,set,tone
PROPN,read,paragraph
PROPN,have,trouble
PROPN,have,support
group,run,programme
peer,have,deal
people,could,home
recommendation,target,man
trial,cover,man
PROPN,manage,shot
PROPN,turn,it
event,take,place
people,have,police
PROPN,get,win
issue,outnumber,decliner
PROPN,can,information
PROPN,tell,demand
PROPN,lose,ball
PROPN,can,hold
government,have,plan
delegation,spend,week
delegation,discuss,deal
t,didn,it
PROPN,come,one
state,classify,number
debt,have,pride
institution,sever,dealing
wicket,fall,PROPN
PROPN,must,PROPN
PROPN,lose,game
shockwave,spark,scramble
content,have,translation
game,take,I
kdl-32m4000,deliver,color
t,pay,attention
suspect,hold,knife
PROPN,guide,government
transaction,take,place
paper,be,page
PROPN,have,job
group,have,effect
glut,be,bag
glut,slogan,bag
proposal,would,many
proposal,rework,many
union,have,objectionable
firm,have,job
people,would,stuff
move,please,patron
PROPN,have,visit
PROPN,tell,PROPN
foundation,give,what
customer,buy,visitor
century,take,PROPN
meeting,address,issue
shareholder,may,dr
tension,develop,stress
breathing,become,stress
bear,put,spin
video,show,one
PROPN,have,site
PROPN,voice,concern
news,send,share
inclusion,will,scope
girl,have,photographer
majority,feel,interest
majority,show,interest
client,will,client
client,to,client
meeting,will,chance
situation,be,what
daughter,cover,fire
fire,jump,road
daughter,take,oxygen
PROPN,will,race
group,be,involvement
language,offer,refuge
PROPN,estimate,it
people,must,way
people,to,confine
t,put,stock
PROPN,hit,he
PROPN,tumble,he
PROPN,should,PROPN
PROPN,close,rank
consolidation,reflect,reduction
company,measure,game
leader,see,train
database,have,sevenfold
PROPN,buy,it
revenue,rise,it
PROPN,talk,way
specie,could,area
PROPN,have,windfall
businessman,have,funding
PROPN,revise,earning
word,be,authority
mother,receive,attention
change,will,PROPN
change,leave,PROPN
PROPN,include,PROPN
research,indicate,decline
PROPN,may,issue
PROPN,have,compensation
thousand,understand,difference
t,train,he
poop,be,look
PROPN,can,what
sender,have,e
head,urge,people
journalist,to,reporting
ministry,accuse,PROPN
firefighter,make,headway
People,round,uighur
tsunami,cover,PROPN
cleric,denounce,PROPN
investor,should,benefit
government,brand,inquiry
clot,block,artery
PROPN,stake,PROPN
group,do,PROPN
investment,could,economy
PROPN,close,quarter
PROPN,carry,hand
thing,look,bleak
PROPN,unveil,doll
PROPN,have,resilience
PROPN,need,it
PROPN,mishit,return
PROPN,climb,winner
PROPN,put,winner
actor,take,super
PROPN,to,PROPN
PROPN,settle,PROPN
association,take,case
PROPN,run,gunpowder
PROPN,could,gunpowder
PROPN,tell,she
PROPN,have,connection
PROPN,have,most
heart,skip,beat
PROPN,outline,that
t,don,it
PROPN,have,hit
act,to,project
dunk,put,76er
stimulus,fail,time
people,earn,sum
PROPN,drain,pointer
PROPN,repeat,statement
report,show,term
parent,to,child
PROPN,tell,parent
PROPN,offer,song
PROPN,deaden,herself
lender,report,rise
PROPN,release,12
PROPN,turn,lap
failure,show,flaw
dialogue,consider,side
PROPN,be,piece
PROPN,tell,PROPN
world,have,choice
officer,find,which
officer,could,which
PROPN,regard,island
PROPN,have,itself
employee,do,sex
candidate,would,billion
camera,got,problem
PROPN,do,problem
PROPN,have,dollar
result,cheer,shareholder
PROPN,have,detail
guest,be,gym
guest,can,gym
man,could,job
truffle,abound,that
visitor,do,anything
spectator,have,time
analyst,tell,newspaper
pensioner,put,coma
interpreter,tell,PROPN
half,carry,copy
PROPN,seal,deal
restaurant,have,deal
tourist,have,gunman
authority,summon,assistant
authority,hand,letter
spell,inspire,he
company,have,profiling
PROPN,have,that
government,do,nothing
government,encourage,it
bugler,sound,retreat
office,decline,comment
failure,might,victory
PROPN,find,way
Police,question,man
other,have,family
PROPN,have,job
PROPN,do,more
PROPN,use,milk
people,to,I
adventurer,tell,PROPN
businessman,have,plea
PROPN,shake,hangover
developer,boost,construction
PROPN,will,care
PROPN,must,game
plan,would,some
publisher,have,overhead
publisher,cut,job
PROPN,announce,designation
PROPN,might,relationship
bank,enroll,customer
punishment,would,fine
PROPN,could,much
agent,blame,drop
PROPN,give,packet
PROPN,take,someone
PROPN,give,run
musician,sing,type
PROPN,have,gas
t,have,quality
government,have,crisis
incident,spark,row
other,be,charge
PROPN,should,it
journalist,have,room
rest,abandon,instrument
PROPN,meet,rifle
court,annul,decree
PROPN,could,plebiscite
PROPN,produce,documentary
PROPN,complete,research
official,tell,PROPN
PROPN,take,this
PROPN,have,attorney
movement,have,momentum
prosecution,accept,plea
officer,discuss,danger
investor,be,place
guest,sit,slack
change,might,introduction
supervisor,make,determination
government,order,closing
PROPN,have,death
PROPN,have,hope
PROPN,buy,building
PROPN,will,"1,000"
consumer,to,vehicle
consumer,buy,one
quest,could,costumer
economy,lose,job
ruling,will,impact
PROPN,never,solution
PROPN,have,solution
acquisition,to,entry
PROPN,include,member
official,accuse,whom
PROPN,take,responsibility
debtor,have,PROPN
PROPN,be,history
shareholder,leave,board
group,will,recommendation
advantage,reinforce,themselves
people,have,which
PROPN,be,way
party,would,stadium
door,have,sort
t,buy,it
average,add,point
bank,have,bad
PROPN,have,PROPN
lawyer,express,disappointment
statement,criticise,government
campaign,can,role
council,send,e
state,create,license
state,secure,credential
PROPN,beat,PROPN
decision,do,participation
ant,spread,sperm
bidder,ratchet,demand
PROPN,have,PROPN
PROPN,own,PROPN
PROPN,have,I
man,would,himself
sergeant,destroy,career
PROPN,do,PROPN
PROPN,oversee,workforce
blogger,compare,verdict
PROPN,write,letter
security,will,investor
board,have,courage
PROPN,break,serve
kid,be,it
PROPN,conduct,test
investor,be,figure
oasis,have,community
PROPN,have,child
word,lose,meaning
right,care,anything
right,know,anything
film,have,feeling
PROPN,attribute,takeoff
business,write,down
government,have,policy
government,stimulate,growth
source,recall,bombing
official,link,which
PROPN,arrest,PROPN
PROPN,need,approval
election,will,makeup
movie,end,run
game,cap,minicamp
militant,wreck,that
PROPN,slam,fastball
model,have,right
t,understand,most
retailer,begin,test
criminal,break,law
criminal,have,gun
cousin,tell,he
PROPN,retain,edge
scout,have,he
recall,affect,device
announcement,catch,most
PROPN,signal,interest
PROPN,receive,none
patient,can,year
fortson,score,point
slab,could,euro
globalization,can,bite
total,hit,ship
couple,spend,year
PROPN,be,decision
PROPN,be,5.25
People,have,symptom
PROPN,would,business
PROPN,suffer,loss
PROPN,do,what
tribesman,guard,it
tribesman,operate,it
people,to,money
dip,do,pressure
PROPN,warn,motorist
PROPN,cut,lead
PROPN,leave,kick
PROPN,launch,commercial
mother,care,nothing
problem,have,absence
PROPN,represent,eighth
PROPN,employ,staff
call,have,observer
crisis,slam,economy
PROPN,search,shore
PROPN,have,billionaire
result,highlight,risk
officer,direct,patrol
name,mean,stone
researcher,assess,man
partisanship,might,bit
estimate,have,toll
PROPN,will,PROPN
couple,have,car
state,produce,parade
campaign,have,future
lady,must,place
corporation,could,cost
national,bring,village
people,have,training
t,take,place
campus,seek,education
recession,strike,region
PROPN,have,choice
settlement,would,system
PROPN,create,laboratory
audience,trust,vision
audience,share,vision
government,be,that
PROPN,call,PROPN
agent,tell,they
PROPN,kick,PROPN
man,commit,suicide
government,order,closure
PROPN,have,effort
PROPN,accuse,that
PROPN,will,service
company,have,pollution
bill,would,employer
people,do,thing
people,learn,government
PROPN,owe,"77,506"
PROPN,open,PROPN
momentum,have,PROPN
PROPN,mark,step
cocaine,could,amphetamine
PROPN,do,smoking
alliance,will,user
user,can,criterion
snowfall,stop,operation
mourner,place,candle
villager,be,tunnel
customer,have,software
accord,have,fire
game,average,home
PROPN,have,mistake
bank,will,penalty
player,can,that
PROPN,have,announcement
officer,receive,injury
burglary,have,police
police,receive,report
PROPN,accompany,PROPN
president,initiate,review
suspect,to,plane
builder,to,plate
farmer,put,foundation
farmer,to,piece
PROPN,tell,reporter
shutdown,will,worker
PROPN,miss,size
farm,will,csa
PROPN,withdraw,asset
injury,may,person
PROPN,send,he
PROPN,see,what
eye,reflect,emotion
PROPN,cause,bleeding
t,leave,defense
t,improve,defense
participant,will,opportunity
director,flee,PROPN
PROPN,turn,management
t,eat,it
PROPN,visit,PROPN
PROPN,face,fine
man,enter,mine
firefighter,send,water
court,will,sentence
PROPN,direct,change
experiment,do,PROPN
PROPN,lead,PROPN
PROPN,have,support
PROPN,allow,application
PROPN,have,part
strategy,have,status
current,would,he
PROPN,could,share
ton,come,earning
ton,report,earning
leader,can,people
PROPN,bemoan,turnover
guard,play,turnover
PROPN,have,alliance
people,be,noroviru
PROPN,might,PROPN
PROPN,tell,wife
PROPN,walk,fire
PROPN,open,fire
plan,draw,criticism
PROPN,confirm,themselves
staffer,deny,that
parent,be,roommate
firework,set,room
poll,record,half
twin,play,baseball
minority,denounce,it
PROPN,blame,wife
lawmaker,intensify,effort
band,be,pop
waiter,squeeze,plate
woman,start,mammogram
wfc,gain,percent
PROPN,have,comeback
midfielder,get,kick
parrot,have,sense
pick,face,accusation
PROPN,begin,sequence
graduation,be,place
economy,be,place
action,affect,other
PROPN,be,compliance
borrower,must,fraction
research,could,image
PROPN,build,school
PROPN,provide,water
performance,provide,example
user,reduce,consumption
user,keep,own
party,would,it
wife,have,what
family,give,present
PROPN,have,employee
PROPN,have,chance
mother,push,pram
student,shout,slogan
PROPN,have,right
company,would,business
PROPN,have,fund
PROPN,make,investment
discussion,have,place
bank,have,total
PROPN,operate,store
authority,be,possibility
PROPN,have,PROPN
PROPN,approve,programme
firm,to,debt
PROPN,milk,cheer
deal,would,law
school,ban,they
police,stop,suspect
average,shed,point
astronaut,attach,compartment
PROPN,record,double
people,will,detachment
government,may,PROPN
leader,be,attention
government,can,legislation
government,ram,legislation
investigator,doubt,account
publicity,could,woman
stock,tumble,fear
market,sink,percent
stock,deepen,fear
topic,will,economist
economist,detect,sign
PROPN,should,game
unit,have,view
captor,be,compensation
none,offer,that
list,record,performance
rain,draw,shoot
crude,have,65
judge,make,decision
empathy,increase,ability
community,should,influence
PROPN,have,return
PROPN,make,return
PROPN,file,complaint
spokesman,tell,PROPN
force,have,palace
country,wave,flag
presence,have,effect
trip,cost,"30,000"
PROPN,get,cash
diver,have,sign
t,bring,issue
PROPN,like,PROPN
captain,smash,66
captain,bowl,66
captain,snare,wicket
%,use,office
%,blame,reason
user,download,software
haven,do,caveat
PROPN,want,it
t,give,blessing
PROPN,will,control
councillor,issue,warning
winner,take,office
court,could,constitutionality
attendee,will,opportunity
guest,can,late
guest,play,game
wife,work,evening
Police,arrest,man
crisis,be,role
PROPN,hail,feat
company,to,name
PROPN,play,game
PROPN,extend,streak
t,flag,it
PROPN,be,harm
development,will,functionality
PROPN,launch,series
military,have,she
word,catch,attention
future,may,what
PROPN,have,himself
official,invite,he
economy,have,total
soldier,raise,gun
soldier,tell,they
sheriff,note,instance
PROPN,have,capital
rival,have,door
development,play,role
search,take,place
beach,have,place
agreement,might,stability
ruling,set,celebration
professional,live,life
cac-40,end,point
PROPN,will,game
PROPN,play,game
PROPN,be,year
film,would,notion
option,would,vulnerability
government,purchase,security
vehicle,hit,wall
people,be,what
rule,have,tooth
bomb,knock,wall
doctor,helped,stop
patient,appreciate,distance
PROPN,would,success
bean,require,twig
runner,need,framework
bill,would,PROPN
minister,have,something
horse,will,trip
t,remember,time
body,touch,limit
PROPN,use,quarterback
force,will,what
school,pay,attention
led,be,move
company,see,value
festival,draw,people
official,deny,which
challenge,will,saving
taxis,present,PROPN
survey,question,people
survey,earn,"10,000"
company,be,opening
block,create,vista
mum,ask,we
t,notice,thing
PROPN,do,good
hospital,have,program
physician,take,time
president,have,power
show,evoke,male
challenge,be,facade
minister,hope,what
president,open,parliament
launch,will,PROPN
investigation,uncover,allegation
PROPN,perform,deux
man,bring,remain
official,would,store
investigator,have,store
store,receive,meat
PROPN,sneak,puck
technique,use,laser
judge,be,they
brother,tell,PROPN
PROPN,didn,violence
PROPN,describe,job
standstill,have,prospect
man,will,bail
hospitalization,trigger,discovery
authority,weigh,future
voter,cast,ballot
PROPN,say,trouble
PROPN,pull,car
PROPN,drag,she
comment,be,situation
room,have,transom
combination,may,power
consumer,should,possibility
t,bring,player
leader,to,face
PROPN,be,elimination
earthquake,shake,PROPN
PROPN,have,PROPN
PROPN,could,sale
tornado,kill,people
storm,rake,heart
result,will,consolation
consumer,can,result
PROPN,will,tool
donor,cite,belief
PROPN,have,belief
people,will,that
cost,include,expense
donor,give,"550,000"
assessment,provide,evidence
government,operate,store
turtle,use,field
turtle,remember,imprint
poll,show,majority
PROPN,could,rightwinger
PROPN,have,foe
PROPN,find,himself
PROPN,extricate,himself
t,have,authority
PROPN,should,book
PROPN,win,game
pub,survive,competition
liter,cost,9.40
party,win,total
regulator,seize,bank
financier,surrender,passport
resident,tell,PROPN
exhibition,will,sculpture
economy,stage,recovery
PROPN,have,presence
army,carry,patrol
PROPN,enforce,law
violator,endanger,health
PROPN,say,firm
PROPN,propose,those
PROPN,be,progress
bone,store,isotope
spider,get,cricket
voter,fill,ballot
economy,be,increase
caucus,grow,proceeding
caucus,conduct,proceeding
abuser,can,decision
PROPN,have,force
PROPN,send,police
PROPN,impose,sanction
PROPN,lead,fight
PROPN,be,foot
senator,will,PROPN
PROPN,publish,study
boy,have,head
militant,have,score
number,target,foreigner
PROPN,have,mandate
member,will,protest
PROPN,urge,he
youngster,upstage,they
insurer,raise,rate
PROPN,say,PROPN
clatter,answer,he
researcher,survey,13-
market,have,tendency
PROPN,fight,gold
president,earn,"138,702"
ratification,will,place
PROPN,write,novella
thousand,be,speech
thousand,give,speech
caliber,be,progress
spending,will,legislator
PROPN,have,guideline
police,would,woman
PROPN,have,they
headquarters,move,target
other,diagnose,ill
baker,turn,pastry
stack,decorate,window
campaign,can,flier
animal,be,forest
guy,punch,I
one,smash,head
percent,expect,crisis
PROPN,take,look
restructuring,entail,which
PROPN,tell,leader
PROPN,beat,marker
department,attach,string
shareholder,support,talk
hornet,extend,lease
PROPN,have,target
robber,take,jewelry
king,make,emperor
conflict,require,actor
witness,tell,PROPN
t,represent,veteran
PROPN,have,game
finding,have,end
car,have,access
police,block,access
club,need,presence
PROPN,liken,handling
euphoria,have,ephemera
money,include,1.1bn
staff,adopt,threshold
PROPN,have,more
income,total,cent
3dff,will,program
PROPN,tell,he
teenager,can,what
PROPN,have,monitoring
wording,take,concern
PROPN,face,subpoena
PROPN,be,rule
expert,blame,accident
film,tell,story
student,uncover,secret
story,hit,news
study,show,complication
PROPN,defend,belt
well,capture,quarter
government,rectify,oversight
people,see,that
senator,win,term
scientist,have,ring
t,have,bus
judge,score,it
judge,have,it
PROPN,have,what
qpr,enter,16
judge,do,team
measure,take,urgency
PROPN,celebrate,ranking
combination,create,potential
PROPN,leave,field
team,have,excuse
customer,taste,merlot
customer,shake,head
goodness,should,burden
buybull,tell,them
PROPN,develop,report
PROPN,have,people
family,have,hope
PROPN,have,plenty
t,hasn,game
king,pardon,they
PROPN,have,ton
people,throw,money
PROPN,have,status
PROPN,win,delegate
hacker,may,flaw
declaration,have,name
declaration,need,393
PROPN,have,reason
number,describe,treatment
client,include,PROPN
t,tell,we
president,oppose,they
man,have,51
agency,take,measure
PROPN,need,boost
gene,stop,activity
PROPN,develop,variation
PROPN,never,she
child,have,complexion
PROPN,have,itself
deal,value,PROPN
people,have,idea
one,shove,other
PROPN,have,talk
company,may,role
PROPN,have,writing
district,recognize,kilt
diplomat,to,clique
PROPN,hold,option
summit,give,role
thing,distinguish,couple
prospect,have,consternation
one,qualify,which
style,have,PROPN
woman,depress,brake
car,speed,foot
car,take,foot
PROPN,get,bribe
PROPN,say,buy
politic,might,role
leader,to,reconciliation
PROPN,recommend,customer
PROPN,have,finish
people,be,finish
trigger,go,rifle
dealer,have,fraction
PROPN,inherit,trainwreck
PROPN,tell,PROPN
judge,order,PROPN
trouble,aren,do
president,to,appearance
standout,have,repair
decision,mark,blow
PROPN,have,rating
survivor,donate,piece
supporter,celebrate,victory
man,haul,corpse
arrangement,have,suspect
government,have,warning
PROPN,have,opening
runner,reach,base
PROPN,cast,they
poacher,turn,gamekeeper
auditor,seek,information
shareholder,must,offer
figure,add,tween
figure,soar,tween
sand,can,pollutant
proposal,would,end
proposal,make,lapdog
employee,be,people
agency,have,investigation
PROPN,be,match
waitress,look,PROPN
arrangement,save,20
loss,be,profit
reduction,will,income
authority,have,line
attack,support,stance
administration,take,campaign
PROPN,have,involvement
thousand,be,stuff
court,take,action
firefighter,rescue,cat
pizzeria,have,slice
PROPN,indicate,satisfaction
aren,t,narcissist
PROPN,doesn,that
t,have,money
batch,bring,news
PROPN,tell,reporter
scientist,be,test
sort,have,number
employee,be,percent
authority,say,what
policy,have,business
protester,block,gate
PROPN,urge,he
PROPN,face,deterioration
director,tell,newspaper
people,accuse,he
PROPN,be,chance
unemployment,reach,cent
PROPN,be,some
people,lose,home
t,want,one
PROPN,be,division
PROPN,have,ground
opposition,to,election
PROPN,tell,newspaper
detective,have,evidence
share,risk,PROPN
bill,would,extension
PROPN,will,third
uncertainty,be,shadow
PROPN,rule,democracy
study,have,implication
t,mean,bit
incident,take,place
PROPN,have,gain
attack,demonstrate,grave
country,to,pound
PROPN,would,proceed
PROPN,be,much
PROPN,oversee,tournament
PROPN,take,opportunity
t,know,meaning
office,take,call
country,must,way
people,see,themselves
wind,fan,flame
wind,blow,wall
guy,be,behavior
condition,force,official
reporter,may,threat
bank,have,110bn
PROPN,estimate,110bn
PROPN,hear,last
people,should,it
storm,could,inch
bank,raise,capital
PROPN,would,practicality
toy,trot,hallway
PROPN,reveal,existence
problem,might,form
PROPN,tax,import
PROPN,subsidise,export
bank,have,that
PROPN,win,gold
PROPN,detain,PROPN
focus,please,businessman
report,examine,statement
PROPN,invade,PROPN
people,say,thing
PROPN,have,business
PROPN,get,business
PROPN,pitch,ball
PROPN,encounter,sniper
patient,notice,device
patient,contact,police
PROPN,could,herself
group,be,PROPN
PROPN,mount,display
act,can,name
character,sing,dialogue
PROPN,expect,earning
PROPN,expect,income
player,cradle,puck
player,whip,it
woman,shed,lb
PROPN,have,year
action,take,place
PROPN,fit,schematic
one,have,job
PROPN,invade,PROPN
PROPN,have,journey
t,justify,kind
PROPN,control,seat
doctor,do,kind
grandmother,be,care
doctor,hate,system
force,launch,rescue
PROPN,end,reservation
researcher,find,pattern
evaluation,have,date
PROPN,bring,he
PROPN,have,homer
prison,sit,number
prison,house,number
datum,will,dispute
shift,to,politician
tv,be,PROPN
PROPN,open,fourth
76er,start,period
meditation,may,image
typewriter,can,you
PROPN,say,thousand
people,describe,experience
wife,describe,night
PROPN,evaluate,depreciation
guy,tell,that
vote,open,door
assailant,open,fire
PROPN,have,wind
auctioning,will,competitiveness
PROPN,have,opponent
PROPN,drop,plan
student,share,theme
PROPN,never,lead
PROPN,have,ownership
people,will,what
discussion,conflate,question
boy,tell,court
regulator,will,incident
firm,announce,re
man,have,hulk
medication,may,problem
charge,fall,drop
electricity,record,drop
diplomacy,be,impact
concept,predate,experiment
newspaper,publish,photograph
mammogram,detect,tumor
restaurant,offer,menu
PROPN,tell,court
PROPN,manage,shot
secession,would,country
secession,deprive,north
apparatchik,have,that
PROPN,can,development
PROPN,unite,community
spokeswoman,dispute,version
edition,shorten,interval
student,to,teddy
airline,must,toilet
statement,urge,community
Police,have,train
object,contain,layer
entrance,have,visibility
entrance,enhance,prospect
PROPN,save,block
PROPN,make,block
police,continue,investigation
settlement,mark,conclusion
official,have,PROPN
family,can,measure
party,have,duty
politician,have,duty
child,have,PROPN
PROPN,depart,PROPN
PROPN,be,damage
PROPN,grant,application
teenager,attack,he
PROPN,be,neighbor
comment,will,fodder
PROPN,be,plenty
hook,stem,tide
PROPN,not,tackle
PROPN,restore,lead
